NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	131.796	78.564	19.581	58.2	0.63	0.668	60000.0
2	133.398	79.87	19.836	58.712	0.651	0.657	30000.0
3	130.517	79.055	19.3	58.026	0.631	0.669	40000.0
4	132.342	78.537	19.81	57.777	0.625	0.678	40000.0
5	132.44	79.276	19.803	58.009	0.636	0.674	40000.0
6	132.775	77.911	19.888	57.337	0.622	0.68	40000.0
7	129.83	77.976	19.391	57.035	0.627	0.684	40000.0
8	129.183	79.475	19.192	58.221	0.648	0.656	30000.0
9	132.415	79.261	19.658	57.672	0.632	0.678	40000.0
10	133.074	78.927	19.872	57.818	0.635	0.674	30000.0
11	130.984	78.678	19.529	57.395	0.637	0.676	50000.0
12	133.564	78.746	19.638	57.54	0.634	0.673	40000.0
13	126.685	77.854	18.586	56.856	0.629	0.676	50000.0
14	129.393	77.991	19.304	57.507	0.624	0.676	50000.0
15	130.458	78.118	19.423	57.348	0.63	0.676	60000.0
16	130.663	79.567	19.618	58.52	0.65	0.661	40000.0
17	131.909	79.347	19.67	58.386	0.642	0.66	80000.0
18	130.985	78.318	19.266	57.38	0.63	0.674	40000.0
19	132.871	78.878	19.803	57.578	0.633	0.681	40000.0
20	128.877	78.099	19.167	57.451	0.629	0.677	50000.0
21	133.846	79.08	20.126	58.189	0.638	0.673	50000.0
22	128.169	78.263	18.75	57.65	0.632	0.67	60000.0
23	129.029	77.327	19.036	56.919	0.609	0.681	50000.0
24	129.83	78.745	19.336	57.399	0.64	0.683	30000.0
25	131.882	79.874	19.512	58.5	0.648	0.663	40000.0
26	129.422	79.195	19.318	57.978	0.643	0.668	30000.0
27	130.44	77.87	19.393	56.772	0.621	0.687	50000.0
28	129.434	78.45	19.364	57.907	0.633	0.665	70000.0
29	131.084	77.774	19.872	57.611	0.619	0.679	50000.0
30	128.444	77.383	18.771	56.468	0.621	0.684	50000.0
31	131.719	78.802	19.733	58.008	0.64	0.672	100000.0
32	129.98	78.81	19.447	57.977	0.637	0.672	30000.0
33	129.548	78.344	19.489	57.932	0.634	0.672	50000.0
34	130.139	78.117	19.112	57.425	0.629	0.669	50000.0
35	130.266	77.347	19.539	57.452	0.617	0.678	40000.0
36	131.551	79.207	19.53	57.992	0.645	0.672	40000.0
37	131.346	78.205	19.557	57.682	0.623	0.678	30000.0
38	132.194	78.491	19.657	58.149	0.633	0.667	80000.0
39	131.526	77.45	19.435	57.117	0.613	0.688	50000.0
40	129.904	76.578	19.264	56.559	0.613	0.689	60000.0
41	131.611	79.463	19.694	58.075	0.644	0.675	50000.0
42	129.753	78.266	19.412	57.836	0.618	0.674	40000.0
43	134.269	79.625	20.203	58.444	0.643	0.663	40000.0
44	131.895	78.162	19.699	58.045	0.621	0.674	50000.0
45	128.325	77.7	19.272	57.557	0.622	0.678	40000.0
46	130.745	78.78	19.439	57.21	0.633	0.684	60000.0
47	130.699	78.707	19.578	58.132	0.639	0.666	70000.0
48	132.706	77.709	19.943	57.375	0.625	0.685	60000.0
49	135.506	77.762	20.303	57.096	0.618	0.685	70000.0
50	132.323	78.201	19.744	57.526	0.621	0.677	110000.0
51	130.319	78.122	19.218	57.366	0.623	0.679	50000.0
52	132.818	79.414	20.042	58.472	0.642	0.667	40000.0
53	129.571	78.778	19.312	58.152	0.645	0.669	30000.0
54	129.671	77.936	19.041	57.401	0.623	0.673	60000.0
55	128.93	77.884	19.201	57.853	0.628	0.671	60000.0
56	128.779	78.593	19.235	57.207	0.643	0.679	60000.0
57	131.963	79.623	19.572	58.483	0.651	0.658	50000.0
58	131.321	78.803	19.537	57.833	0.635	0.677	60000.0
59	132.473	79.572	19.716	58.445	0.646	0.665	70000.0
60	131.34	79.355	19.531	57.944	0.639	0.673	30000.0
61	129.335	79.0	19.308	57.945	0.632	0.671	60000.0
62	129.945	78.773	19.19	57.631	0.636	0.676	30000.0
63	131.986	77.763	19.697	57.791	0.618	0.673	30000.0
64	128.222	79.163	18.983	57.614	0.65	0.669	30000.0
65	129.821	79.572	19.377	58.686	0.652	0.657	40000.0
66	132.617	78.344	19.818	57.722	0.627	0.676	30000.0
67	132.491	78.067	19.585	57.667	0.622	0.675	40000.0
68	131.317	78.772	19.346	57.78	0.638	0.668	60000.0
69	127.233	78.758	18.735	57.491	0.637	0.675	90000.0
70	133.09	79.159	19.835	58.006	0.638	0.672	50000.0
71	129.553	78.057	19.209	57.032	0.633	0.682	30000.0
72	129.714	77.303	19.19	56.689	0.618	0.682	50000.0
73	130.902	77.93	19.351	56.99	0.619	0.686	20000.0
74	129.101	77.61	19.12	57.004	0.62	0.678	60000.0
75	134.106	78.698	20.02	57.663	0.634	0.676	40000.0
76	130.03	78.101	19.352	57.389	0.627	0.68	50000.0
77	128.573	78.001	19.093	57.33	0.629	0.677	20000.0
78	127.917	78.874	19.153	57.454	0.634	0.672	40000.0
