Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.916	162.602	45.042%	22.766	41.216%	0.20533	0.85
AX4914_vs_AX4895	270	0.911	147.859	54.763%	21.768	41.677%	0.31166	0.875
AX4915_vs_AX4895	483	0.89	232.01	48.035%	34.496	46.3%	0.22685	0.798
AX4916_vs_AX4896	405	0.859	189.264	46.732%	37.086	51.335%	0.25653	0.781
AX4918_vs_AX4897	292	0.896	147.97	50.675%	22.278	44.379%	0.31205	0.835
AX4921_vs_AX4898	517	0.917	214.305	41.452%	31.933	40.216%	0.17802	0.848
AX4923_vs_AX4906	296	0.888	153.499	51.858%	23.238	46.054%	0.26605	0.818
AX4925_vs_AX4901	689	0.917	280.974	40.78%	39.69	41.645%	0.17445	0.826
AX4927_vs_AX4905	973	0.939	331.789	34.1%	49.119	36.186%	0.11084	0.877
AX4928_vs_AQ5174	318	0.917	153.165	48.165%	23.023	39.873%	0.28209	0.877
AX4930_vs_AX4900	499	0.901	242.512	48.6%	34.99	43.396%	0.25126	0.83
AX4932_vs_AX4908	319	0.906	159.768	50.084%	24.786	42.439%	0.29279	0.861
AX4933_vs_AX4909	957	0.797	568.496	59.404%	81.348	62.745%	0.30836	0.507
AX4934_vs_AX4909	425	0.89	213.468	50.228%	30.629	45.593%	0.2402	0.802
AX4935_vs_AX4910	1845	0.985	502.953	27.26%	69.491	17.288%	0.08323	0.981
AX4937_vs_AX4894	271	0.844	144.458	53.306%	19.579	55.223%	0.26452	0.586
AX4938_vs_AX4896	93	0.811	71.095	76.446%	9.489	58.512%	0.52227	0.693
AX4940_vs_AX4904	129	0.734	101.571	78.737%	14.451	68.351%	0.4963	0.511
AX4942_vs_AX4898	107	0.717	88.093	82.33%	12.372	70.155%	0.64283	0.474
AX4943_vs_AX4898	69	0.664	68.505	99.283%	10.0	74.744%	0.81773	0.477
AX4944_vs_AX4897	621	0.847	295.752	47.625%	46.544	54.464%	0.21685	0.646
AX4945_vs_AX4898	27	0.616	33.668	124.696%	4.925	78.863%	1.24517	0.481
AX4946_vs_AX4895	457	0.921	183.443	40.141%	27.649	39.192%	0.15771	0.856
AX4947_vs_AX4895	370	0.864	192.742	52.092%	28.923	50.348%	0.25648	0.744
AX4951_vs_AX4903	680	0.938	276.769	40.701%	40.418	35.145%	0.1528	0.903
AX4958_vs_AQ5174	302	0.88	156.319	51.761%	21.179	47.887%	0.25239	0.756
AX4961_vs_AQ5174	252	0.851	136.722	54.255%	19.54	53.823%	0.28205	0.692
DIAF_vs_BLOOD	1065	0.885	449.218	42.18%	64.641	47.591%	0.1506	0.668
LNMETA_vs_BLOOD	1931	0.902	751.737	38.93%	107.752	44.723%	0.12395	0.716
LN_vs_BLOOD	1316	0.666	806.061	61.251%	157.233	77.151%	0.40178	0.337
OMEN_vs_BLOOD	658	0.86	308.358	46.863%	45.168	51.969%	0.19841	0.629
