Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.915	149.718	41.473%	22.396	40.546%	0.15826	0.843
AX4914_vs_AX4895	270	0.887	141.684	52.476%	24.511	46.929%	0.2383	0.844
AX4915_vs_AX4895	483	0.937	158.468	32.809%	26.164	35.117%	0.11009	0.885
AX4916_vs_AX4896	405	0.91	171.579	42.365%	30.027	41.564%	0.16562	0.864
AX4918_vs_AX4897	292	0.895	134.568	46.085%	22.436	44.694%	0.22013	0.832
AX4921_vs_AX4898	517	0.935	181.48	35.103%	28.139	35.438%	0.10752	0.881
AX4923_vs_AX4906	296	0.92	131.241	44.338%	19.845	39.33%	0.19568	0.873
AX4925_vs_AX4901	689	0.952	214.926	31.194%	29.933	31.408%	0.0904	0.899
AX4927_vs_AX4905	973	0.968	249.442	25.636%	34.228	25.216%	0.06985	0.932
AX4928_vs_AQ5174	318	0.942	134.701	42.359%	19.799	34.289%	0.18203	0.918
AX4930_vs_AX4900	499	0.925	220.748	44.238%	30.8	38.2%	0.16288	0.873
AX4932_vs_AX4908	319	0.942	129.901	40.721%	20.107	34.428%	0.1867	0.918
AX4933_vs_AX4909	957	0.839	526.027	54.966%	71.643	55.259%	0.27161	0.592
AX4934_vs_AX4909	425	0.941	154.255	36.295%	22.672	33.749%	0.13137	0.897
AX4935_vs_AX4910	1845	0.969	537.63	29.14%	116.805	29.059%	0.06921	0.967
AX4937_vs_AX4894	271	0.882	121.68	44.9%	16.877	47.602%	0.19245	0.672
AX4938_vs_AX4896	93	0.79	71.94	77.355%	10.05	61.971%	0.52539	0.676
AX4940_vs_AX4904	129	0.713	102.681	79.598%	14.856	70.266%	0.5116	0.451
AX4942_vs_AX4898	107	0.746	80.614	75.34%	11.753	66.645%	0.53939	0.529
AX4943_vs_AX4898	69	0.739	62.464	90.528%	9.073	67.815%	0.65098	0.622
AX4944_vs_AX4897	621	0.932	213.107	34.317%	31.216	36.528%	0.10509	0.844
AX4945_vs_AX4898	27	0.61	33.811	125.226%	4.961	79.44%	1.09553	0.476
AX4946_vs_AX4895	457	0.836	235.255	51.478%	38.79	54.984%	0.22633	0.684
AX4947_vs_AX4895	370	0.818	219.052	59.203%	33.039	57.514%	0.30116	0.647
AX4951_vs_AX4903	680	0.817	382.067	56.186%	66.683	57.983%	0.23653	0.697
AX4958_vs_AQ5174	302	0.837	172.892	57.249%	24.175	54.662%	0.29665	0.647
AX4961_vs_AQ5174	252	0.839	152.476	60.506%	19.776	54.473%	0.29718	0.638
DIAF_vs_BLOOD	1065	0.941	332.166	31.189%	46.391	34.154%	0.07873	0.829
LNMETA_vs_BLOOD	1931	0.953	521.295	26.996%	75.34	31.271%	0.064	0.868
LN_vs_BLOOD	1316	0.839	548.34	41.667%	111.116	54.522%	0.15182	0.693
OMEN_vs_BLOOD	658	0.914	245.887	37.369%	35.394	40.723%	0.1136	0.773
PADWRZ-01A_vs_PADWRZ-10A	34	0.653	37.775	111.103%	5.698	76.143%	0.94694	0.532
PADYZI-01A_vs_PADYZI-10A	215	0.881	107.564	50.03%	13.84	47.387%	0.21152	0.7
PAEHIP-01A_vs_PAEHIP-10A	110	0.846	68.927	62.661%	9.084	53.528%	0.39481	0.71
PAJLWM-01A_vs_PAJLWM-11A	70	0.729	62.903	89.861%	9.839	69.572%	0.7074	0.648
PAJNFP-01A_vs_PAJNFP-11A	236	0.737	165.476	70.117%	26.105	67.629%	0.397	0.505
PAKHTL-01A_vs_PAKHTL-11A	66	0.65	66.747	101.132%	10.079	75.973%	0.81235	0.472
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.784	122.022	69.727%	17.896	62.081%	0.46513	0.615
PAKTCT-01A_vs_PAKTCT-11A	42	0.612	48.304	115.01%	6.895	79.091%	1.02937	0.419
PARECB-01A_vs_PARECB-11A	21	0.556	29.703	141.443%	4.158	83.16%	1.38165	0.396
PAREWI-01A_vs_PAREWI-11A	183	0.856	100.216	54.763%	13.857	51.75%	0.30841	0.692
PARGRN-01A_vs_PARGRN-10A	249	0.761	159.522	64.065%	26.932	64.92%	0.37542	0.571
PARIRN-01A_vs_PARIRN-10A	63	0.692	59.294	94.117%	8.076	72.234%	0.76248	0.47
PARPFY-01A_vs_PARPFY-11A	126	0.756	95.952	76.152%	13.609	65.476%	0.4863	0.554
PARZRH-01A_vs_PARZRH-10A	31	0.625	39.017	125.861%	5.601	78.43%	1.08197	0.505
PASABD-01A_vs_PASABD-10A	121	0.82	81.055	66.988%	11.048	57.358%	0.43995	0.668
PASADZ-01A_vs_PASADZ-10A	25	0.569	34.255	137.02%	4.727	82.287%	1.23617	0.401
PASCDH-01A_vs_PASCDH-10A	335	0.874	160.085	47.787%	24.485	48.746%	0.21224	0.753
PASDLA-01A_vs_PASDLA-11A	34	0.602	39.815	117.103%	6.419	80.238%	1.05137	0.483
