Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PASZYE-01A_vs_PASZYE-10A	491	0.961	150.651	30.682%	19.287	27.601%	0.10474	0.918
PATAFT-01A_vs_PATAFT-10A	382	0.931	139.199	36.44%	17.492	36.778%	0.11801	0.777
PATBLF-01A_vs_PATBLF-10A	725	0.977	166.629	22.983%	22.101	21.5%	0.05457	0.952
PATDVL-01A_vs_PATDVL-10A	355	0.94	131.642	37.082%	17.086	34.247%	0.14987	0.868
PATENH-01A_vs_PATENH-11A	661	0.981	149.915	22.68%	19.722	19.286%	0.06529	0.967
PATFXW-01A_vs_PATFXW-10A	482	0.956	158.391	32.861%	21.646	29.473%	0.11535	0.918
PATFZZ-01A_vs_PATFZZ-10A	554	0.95	184.451	33.294%	23.327	31.161%	0.10289	0.88
PATXEE-01A_vs_PATXEE-10A	483	0.951	166.253	34.421%	22.214	31.066%	0.12572	0.904
PATXKA-01A_vs_PATXKA-10A	442	0.939	150.522	34.055%	20.375	34.342%	0.12856	0.849
PAUCGJ-01A_vs_PAUCGJ-10A	826	0.968	201.965	24.451%	27.569	25.165%	0.05675	0.92
PAUDPV-01A_vs_PAUDPV-11A	286	0.926	114.269	39.954%	15.354	37.685%	0.1669	0.842
PAUEKW-01A_vs_PAUEKW-10A	1267	0.988	209.211	16.512%	29.664	15.469%	0.0294	0.978
PAUFVP-01A_vs_PAUFVP-11A	704	0.971	179.663	25.52%	24.491	24.083%	0.07047	0.941
PAUGYZ-01A_vs_PAUGYZ-10A	435	0.966	135.493	31.148%	17.276	25.756%	0.10897	0.94
PAUHAZ-01A_vs_PAUHAZ-10A	259	0.941	104.405	40.311%	13.663	34.126%	0.16925	0.893
PAUNPA-01A_vs_PAUNPA-11A	761	0.976	185.301	24.35%	24.826	21.728%	0.06699	0.955
PAVCKS-01A_vs_PAVCKS-11A	1098	0.982	204.3	18.607%	27.916	18.73%	0.03748	0.959
PAVITI-01A_vs_PAVITI-10A	717	0.973	179.324	25.01%	23.446	23.271%	0.06358	0.941
PAVYDM-01A_vs_PAVYDM-11A	480	0.943	149.385	31.122%	20.661	33.437%	0.09734	0.84
PAVYKD-01A_vs_PAVYKD-10A	295	0.923	124.755	42.29%	16.18	38.383%	0.17746	0.837
PAWDGA-01A_vs_PAWDGA-11A	792	0.942	259.824	32.806%	38.655	33.44%	0.09233	0.884
PAWFBL-01A_vs_PAWFBL-11A	610	0.97	162.47	26.634%	21.168	24.397%	0.0652	0.937
PAWFWK-01A_vs_PAWFWK-10A	310	0.928	131.784	42.511%	17.689	37.275%	0.18339	0.866
SJBT030128_D1_vs_SJBT030128_G1	158	0.954	66.0	41.772%	9.673	30.14%	0.21245	0.938
SJBT030255_D1_vs_SJBT030255_G1	1136	0.969	261.736	23.04%	35.3	24.699%	0.05294	0.908
SJBT030581_D1_vs_SJBT030581_G1	1075	0.985	242.205	22.531%	32.662	17.413%	0.05136	0.977
SJBT030707_D2_vs_SJBT030707_G1	162	0.928	82.843	51.138%	11.238	37.172%	0.32794	0.896
SJBT030896_D1_vs_SJBT030896_G1	1820	0.977	431.863	23.729%	78.07	21.514%	0.04819	0.969
SJBT030997_D1_vs_SJBT030997_G1	400	0.913	181.214	45.304%	24.381	40.897%	0.1871	0.829
SJBT031235_D1_vs_SJBT031235_G1	37	0.892	32.093	86.738%	5.389	46.729%	0.6861	0.88
SJBT031605_D1_vs_SJBT031605_G1	1368	0.976	263.589	19.268%	36.391	21.561%	0.03984	0.923
SJBT031948_D2_vs_SJBT031948_G1	5707	0.995	583.243	10.22%	102.645	10.31%	0.00951	0.992
SJBT032047_D1_vs_SJBT032047_G1	7	0.335	12.234	174.771%	2.495	94.302%	2.65476	0.211
SJBT032346_D1_vs_SJBT032346_G1	662	0.979	184.814	27.918%	24.626	20.354%	0.07945	0.97
SJBT032393_D1_vs_SJBT032393_G1	991	0.992	175.044	17.663%	23.393	12.979%	0.04079	0.988
SJBT032417_D2_vs_SJBT032417_G1	95	0.915	63.591	66.938%	9.722	40.614%	0.46082	0.898
SJBT033133_D3_vs_SJBT033133_G1	9	0.534	14.244	158.267%	3.092	85.757%	1.93972	0.501
SJBT033236_D2_vs_SJBT033236_G1	57	0.849	50.71	88.965%	6.998	53.205%	0.70147	0.81
SJBT034089_D1_vs_SJBT034089_G1	46	0.918	34.335	74.641%	5.253	39.823%	0.66004	0.906
SJBT034110_D2_vs_SJBT034110_G1	119	0.863	79.435	66.752%	9.815	50.55%	0.44321	0.762
SJMRT014754_D1_vs_SJMRT014754_G1	1170	0.971	254.02	21.711%	38.332	24.078%	0.05428	0.932
SJMRT015723_D1_vs_SJMRT015723_G1	556	0.962	158.672	28.538%	20.763	27.306%	0.0772	0.913
SJMRT063832_X1_vs_SJMRT063832_G1	17564	0.999	550.337	3.133%	76.321	3.513%	0.00084	0.998
