Samples	SBS1	SBS2	SBS5	SBS8	SBS13	SBS17a	SBS17b	SBS18	SBS31	SBS35	SBS36	SBS46	SBS57	SBS84	SBS90
SJBT032047_D1_vs_SJBT032047_G1	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0
SJBT032346_D1_vs_SJBT032346_G1	210	0	371	0	0	0	0	111	0	0	0	0	0	0	0
SJBT032393_D1_vs_SJBT032393_G1	765	0	1063	557	0	0	0	0	0	0	0	0	0	0	0
SJBT032417_D2_vs_SJBT032417_G1	61	0	77	126	0	0	0	0	79	0	0	0	0	0	0
SJBT033133_D3_vs_SJBT033133_G1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0
SJBT033236_D2_vs_SJBT033236_G1	38	0	57	0	0	0	0	0	0	0	0	0	0	0	0
SJBT034089_D1_vs_SJBT034089_G1	41	0	40	0	0	0	0	0	0	0	0	0	0	0	0
SJBT034110_D2_vs_SJBT034110_G1	53	0	184	0	0	0	0	0	0	0	0	0	0	0	0
SJMRT014754_D1_vs_SJMRT014754_G1	77	0	480	325	0	0	0	258	250	0	0	0	0	0	0
SJMRT015723_D1_vs_SJMRT015723_G1	105	0	668	0	0	0	0	0	0	194	0	0	0	0	0
SJMRT063832_X1_vs_SJMRT063832_G1	821	0	11183	0	0	0	0	0	2147	0	0	3426	0	0	0
