Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PAVYKD-01A_vs_PAVYKD-10A	38	0.738	37.849	99.603%	5.342	67.843%	0.93302	0.639
PAWFBL-01A_vs_PAWFBL-11A	35	0.702	35.32	100.914%	5.006	71.514%	0.83015	0.57
PAWFWK-01A_vs_PAWFWK-10A	98	0.802	76.28	77.837%	10.587	59.937%	0.50905	0.694
SJBT030128_D1_vs_SJBT030128_G1	62	0.82	45.386	73.203%	6.01	57.303%	0.50671	0.696
SJBT030255_D1_vs_SJBT030255_G1	113	0.764	81.932	72.506%	10.768	65.411%	0.55459	0.473
SJBT030581_D1_vs_SJBT030581_G1	14	0.429	22.361	159.721%	3.383	90.414%	1.74792	0.22
SJBT030997_D1_vs_SJBT030997_G1	107	0.806	78.252	73.133%	11.025	59.185%	0.52024	0.683
SJBT031235_D1_vs_SJBT031235_G1	121	0.933	66.854	55.251%	8.972	36.062%	0.36201	0.91
SJBT031605_D1_vs_SJBT031605_G1	2274	0.973	452.472	19.898%	64.49	22.927%	0.03213	0.914
SJBT031948_D2_vs_SJBT031948_G1	1439	0.966	337.868	23.479%	54.557	25.952%	0.05251	0.932
SJBT032346_D1_vs_SJBT032346_G1	30	0.68	32.001	106.67%	4.751	73.31%	0.9133	0.555
SJBT032393_D1_vs_SJBT032393_G1	1394	0.991	221.636	15.899%	35.305	13.595%	0.02781	0.987
SJBT032417_D2_vs_SJBT032417_G1	248	0.914	109.16	44.016%	14.952	40.634%	0.21398	0.83
SJBT033236_D2_vs_SJBT033236_G1	38	0.87	33.026	86.911%	4.991	49.418%	0.72854	0.846
SJBT034089_D1_vs_SJBT034089_G1	35	0.839	33.961	97.031%	5.336	54.746%	0.88551	0.812
SJBT034110_D2_vs_SJBT034110_G1	118	0.894	67.965	57.597%	8.755	44.912%	0.34088	0.821
SJMRT014754_D1_vs_SJMRT014754_G1	220	0.867	108.728	49.422%	17.422	50.168%	0.2475	0.762
SJMRT015723_D1_vs_SJMRT015723_G1	411	0.94	138.496	33.697%	19.953	34.417%	0.11941	0.872
SJMRT063832_X1_vs_SJMRT063832_G1	13	0.522	19.607	150.823%	3.321	85.748%	1.5631	0.435
