NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	136.55	79.783	20.202	59.015	0.65	0.657	30000.0
2	137.153	80.9	20.197	59.221	0.668	0.648	30000.0
3	135.423	80.222	19.975	58.705	0.645	0.661	30000.0
4	137.869	80.363	20.688	58.852	0.648	0.661	30000.0
5	135.986	80.45	20.206	58.719	0.652	0.664	30000.0
6	137.177	79.975	20.541	58.696	0.649	0.66	40000.0
7	135.079	79.344	20.143	58.013	0.644	0.671	50000.0
8	135.74	80.581	20.224	58.958	0.659	0.649	20000.0
9	135.329	80.17	19.995	58.162	0.648	0.671	80000.0
10	137.469	80.512	20.458	58.747	0.656	0.66	60000.0
11	137.35	79.59	20.48	58.098	0.651	0.667	50000.0
12	136.61	80.289	20.006	58.432	0.657	0.66	40000.0
13	132.244	79.017	19.318	57.757	0.646	0.665	40000.0
14	133.943	79.224	19.909	58.333	0.64	0.665	20000.0
15	133.81	79.731	19.833	58.086	0.65	0.667	40000.0
16	134.711	80.818	20.265	59.464	0.667	0.647	20000.0
17	136.094	80.432	20.249	59.08	0.656	0.654	40000.0
18	135.245	80.122	19.794	58.383	0.649	0.66	40000.0
19	140.405	80.427	21.187	58.945	0.653	0.663	30000.0
20	133.069	79.735	19.688	58.239	0.651	0.665	40000.0
21	137.239	80.362	20.561	59.346	0.662	0.656	40000.0
22	136.08	79.417	20.155	58.643	0.646	0.66	20000.0
23	132.032	78.921	19.392	57.85	0.636	0.666	40000.0
24	138.64	80.05	20.752	58.518	0.657	0.67	60000.0
25	137.215	80.845	20.289	58.995	0.657	0.658	70000.0
26	135.173	79.928	20.146	58.606	0.656	0.661	40000.0
27	134.461	78.84	19.921	57.388	0.632	0.678	40000.0
28	134.136	80.01	19.961	58.96	0.651	0.651	30000.0
29	136.721	79.227	20.721	58.486	0.637	0.668	110000.0
30	133.128	78.648	19.505	57.333	0.639	0.672	40000.0
31	135.19	79.587	20.14	58.672	0.653	0.663	30000.0
32	134.772	79.871	20.094	58.623	0.651	0.666	30000.0
33	133.875	79.946	20.163	58.996	0.655	0.657	40000.0
34	134.156	79.993	19.652	58.604	0.654	0.656	50000.0
35	132.973	79.267	19.847	58.298	0.646	0.667	70000.0
36	135.229	80.63	19.938	58.837	0.665	0.66	40000.0
37	136.951	79.574	20.476	58.432	0.641	0.67	60000.0
38	137.445	79.99	20.377	58.862	0.662	0.656	60000.0
