Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.976	392.614	20.534%	56.235	21.669%	0.0578	0.945
AX4914_vs_AX4895	956	0.972	221.611	23.181%	30.701	23.389%	0.05142	0.937
AX4915_vs_AX4895	3472	0.969	659.037	18.981%	108.852	24.841%	0.03196	0.908
AX4916_vs_AX4896	533	0.958	167.914	31.504%	24.304	28.613%	0.10348	0.929
AX4918_vs_AX4897	2626	0.986	431.801	16.443%	58.181	16.92%	0.02263	0.963
AX4921_vs_AX4898	1234	0.981	244.04	19.776%	33.495	19.29%	0.0422	0.96
AX4922_vs_AX4899	4398	0.988	629.304	14.309%	114.381	15.354%	0.01831	0.981
AX4923_vs_AX4906	2859	0.976	557.304	19.493%	76.919	21.72%	0.03346	0.928
AX4924_vs_AX4901	209	0.957	90.731	43.412%	15.271	29.021%	0.26015	0.949
AX4925_vs_AX4901	863	0.976	190.12	22.03%	25.161	21.817%	0.05957	0.943
AX4926_vs_AX4904	181	0.965	86.876	47.998%	15.987	29.57%	0.26718	0.963
AX4927_vs_AX4905	1745	0.987	280.295	16.063%	36.527	15.779%	0.02432	0.969
AX4928_vs_AQ5174	1675	0.965	389.753	23.269%	54.585	26.088%	0.04963	0.892
AX4929_vs_AQ5174	258	0.98	80.081	31.039%	12.821	20.556%	0.13173	0.975
AX4930_vs_AX4900	1106	0.983	214.458	19.39%	31.266	18.553%	0.04521	0.968
AX4931_vs_AX4907	268	0.921	121.005	45.151%	17.926	39.457%	0.21601	0.875
AX4932_vs_AX4908	851	0.977	209.683	24.64%	29.486	21.404%	0.05261	0.961
AX4933_vs_AX4909	1146	0.921	426.648	37.229%	57.541	39.004%	0.13929	0.768
AX4934_vs_AX4909	531	0.957	176.221	33.187%	22.908	28.984%	0.10416	0.918
AX4935_vs_AX4910	2613	0.976	555.998	21.278%	102.22	21.653%	0.05327	0.965
AX4936_vs_AX4911	685	0.969	181.968	26.565%	23.547	24.836%	0.07045	0.93
AX4937_vs_AX4894	1783	0.974	378.619	21.235%	54.169	22.516%	0.03781	0.939
AX4938_vs_AX4896	251	0.931	101.413	40.404%	13.839	36.635%	0.18033	0.868
