NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	245.901	46.347	35.696	38.536	0.272	0.841	60000.0
2	246.6	45.604	35.482	38.063	0.263	0.842	130000.0
3	248.605	46.402	36.458	39.04	0.27	0.837	60000.0
4	253.848	47.233	36.959	39.832	0.27	0.827	70000.0
5	247.368	46.538	35.616	38.836	0.264	0.837	100000.0
6	251.388	46.28	36.299	38.748	0.262	0.839	40000.0
7	247.354	46.123	35.704	38.372	0.263	0.841	30000.0
8	251.512	45.767	36.498	38.153	0.252	0.848	60000.0
9	250.361	46.334	36.241	38.822	0.264	0.838	60000.0
10	251.64	46.739	36.522	39.171	0.271	0.836	50000.0
11	252.473	46.885	36.818	39.481	0.27	0.834	190000.0
12	253.559	46.718	36.514	39.426	0.268	0.831	60000.0
13	251.049	46.816	36.638	39.415	0.27	0.834	70000.0
14	251.781	46.534	36.264	39.143	0.262	0.835	120000.0
15	251.681	46.068	36.212	38.524	0.261	0.84	70000.0
16	247.583	46.456	36.05	38.982	0.267	0.835	40000.0
17	247.344	45.932	35.924	38.422	0.262	0.842	70000.0
18	252.444	46.53	36.531	38.941	0.262	0.834	120000.0
19	251.165	47.276	36.146	39.461	0.272	0.832	80000.0
20	247.329	46.082	35.842	38.363	0.26	0.843	60000.0
21	254.742	46.956	36.949	39.091	0.271	0.839	70000.0
22	250.833	46.553	36.075	38.789	0.266	0.838	60000.0
23	248.055	45.916	35.816	38.358	0.263	0.84	80000.0
24	247.268	46.18	35.879	38.735	0.268	0.836	60000.0
25	243.947	45.78	35.281	38.346	0.261	0.845	200000.0
26	245.066	45.873	35.665	38.427	0.264	0.842	50000.0
27	252.132	46.948	36.499	39.252	0.274	0.832	70000.0
28	247.827	46.367	35.68	39.201	0.268	0.833	30000.0
29	248.792	46.336	35.853	39.002	0.27	0.833	50000.0
30	251.162	46.153	37.013	38.998	0.269	0.839	70000.0
31	249.284	45.872	36.029	38.369	0.258	0.844	40000.0
32	248.32	46.235	35.506	38.617	0.263	0.839	50000.0
33	252.89	46.974	36.783	39.543	0.276	0.83	50000.0
34	250.002	46.317	36.247	38.884	0.269	0.837	50000.0
35	248.867	46.175	35.84	38.471	0.26	0.844	50000.0
36	250.834	46.57	36.342	38.886	0.264	0.839	70000.0
37	252.817	46.722	36.668	39.361	0.268	0.831	70000.0
38	251.719	46.591	36.165	38.735	0.269	0.839	50000.0
39	250.595	46.216	36.318	38.624	0.262	0.841	50000.0
40	250.328	46.723	36.291	39.323	0.266	0.832	50000.0
41	248.848	46.423	36.2	38.799	0.273	0.836	70000.0
42	249.107	46.619	35.878	38.771	0.269	0.838	40000.0
43	249.901	46.619	36.427	38.903	0.271	0.839	60000.0
44	250.489	45.86	36.201	38.454	0.262	0.839	50000.0
45	250.274	46.182	35.983	38.093	0.269	0.844	240000.0
46	250.788	46.284	36.542	39.062	0.27	0.834	70000.0
47	249.339	46.575	36.418	39.232	0.27	0.834	90000.0
48	248.71	46.273	36.264	38.829	0.267	0.837	90000.0
49	244.861	46.061	35.27	38.562	0.263	0.841	90000.0
50	246.899	46.054	35.845	38.522	0.263	0.843	40000.0
51	251.964	47.44	36.86	39.328	0.276	0.836	80000.0
52	245.508	45.64	35.665	38.577	0.26	0.837	60000.0
53	247.691	46.527	35.987	38.583	0.269	0.842	40000.0
54	250.239	46.399	36.298	38.602	0.273	0.839	80000.0
55	250.71	46.184	36.605	38.787	0.268	0.839	70000.0
56	251.364	46.303	36.24	39.005	0.265	0.836	70000.0
57	250.411	46.465	36.428	38.768	0.267	0.843	60000.0
58	251.273	46.29	36.621	38.69	0.267	0.839	60000.0
59	251.004	46.048	36.769	38.962	0.262	0.838	100000.0
60	252.863	46.888	36.334	39.128	0.27	0.833	60000.0
61	247.403	46.29	36.211	38.798	0.26	0.84	80000.0
62	250.51	46.383	36.451	38.742	0.265	0.839	70000.0
63	253.451	46.335	36.845	38.864	0.263	0.84	80000.0
64	253.389	47.411	36.539	39.386	0.279	0.834	60000.0
65	246.769	46.391	35.427	38.389	0.266	0.84	90000.0
66	247.789	46.088	35.861	38.464	0.257	0.842	70000.0
67	248.896	45.624	36.123	38.103	0.258	0.846	80000.0
68	252.133	46.193	36.444	38.713	0.259	0.839	140000.0
69	246.376	46.004	35.936	38.416	0.264	0.842	70000.0
70	251.839	47.044	36.334	39.036	0.272	0.835	70000.0
71	248.748	45.571	36.045	38.439	0.259	0.84	70000.0
72	249.892	46.307	36.002	38.721	0.264	0.839	70000.0
73	249.657	46.699	36.259	39.019	0.277	0.835	70000.0
74	248.491	46.055	35.998	38.259	0.259	0.847	80000.0
75	248.513	46.353	35.849	38.578	0.271	0.837	70000.0
76	249.111	46.196	36.394	38.866	0.269	0.836	50000.0
77	246.901	45.671	36.072	38.571	0.259	0.842	100000.0
78	250.582	46.202	35.938	38.597	0.263	0.836	70000.0
79	251.453	46.481	36.114	38.809	0.263	0.838	40000.0
80	246.561	46.11	35.8	38.7	0.268	0.84	60000.0
81	251.037	46.599	36.582	39.155	0.268	0.835	140000.0
82	252.509	46.674	36.324	39.008	0.262	0.839	90000.0
83	244.735	45.926	35.619	38.615	0.256	0.839	70000.0
84	249.621	46.458	36.6	38.786	0.267	0.84	80000.0
85	250.969	46.753	36.577	39.172	0.267	0.834	60000.0
86	248.123	46.326	35.749	38.566	0.268	0.84	50000.0
87	246.777	46.138	35.849	38.546	0.271	0.837	90000.0
88	250.652	46.612	36.648	39.215	0.273	0.833	40000.0
89	248.319	46.746	36.201	39.396	0.265	0.834	90000.0
90	249.415	46.42	36.301	38.984	0.266	0.837	130000.0
91	252.067	46.219	36.667	38.866	0.26	0.841	40000.0
92	249.471	46.301	35.787	38.519	0.271	0.841	60000.0
93	251.573	46.377	36.499	39.088	0.264	0.836	90000.0
