Samples	SBS1	SBS2	SBS5	SBS8	SBS13	SBS17a	SBS17b	SBS18	SBS31	SBS35	SBS46	SBS57	SBS84	SBS90
PASXNA-01A_vs_PASXNA-11A	73	0	292	131	0	0	0	0	0	0	0	0	0	0
PASYNF-01A_vs_PASYNF-10A	73	0	203	0	0	0	0	60	0	0	0	0	0	0
PASZYE-01A_vs_PASZYE-10A	83	0	301	0	0	0	0	107	0	0	0	0	0	0
PATAFT-01A_vs_PATAFT-10A	31	0	249	102	0	0	0	0	0	0	0	0	0	0
PATBLF-01A_vs_PATBLF-10A	89	0	433	0	0	0	0	203	0	0	0	0	0	0
PATDVL-01A_vs_PATDVL-10A	50	0	229	0	0	0	0	76	0	0	0	0	0	0
PATENH-01A_vs_PATENH-11A	137	48	323	0	21	0	0	132	0	0	0	0	0	0
PATFXW-01A_vs_PATFXW-10A	99	0	254	129	0	0	0	0	0	0	0	0	0	0
PATFZZ-01A_vs_PATFZZ-10A	72	0	305	177	0	0	0	0	0	0	0	0	0	0
PATXEE-01A_vs_PATXEE-10A	82	0	283	0	0	0	0	118	0	0	0	0	0	0
PATXKA-01A_vs_PATXKA-10A	38	0	306	0	0	0	0	98	0	0	0	0	0	0
PAUCGJ-01A_vs_PAUCGJ-10A	47	33	355	264	46	27	54	0	0	0	0	0	0	0
PAUDPV-01A_vs_PAUDPV-11A	33	20	117	90	8	0	18	0	0	0	0	0	0	0
PAUEKW-01A_vs_PAUEKW-10A	277	0	990	0	0	0	0	0	0	0	0	0	0	0
PAUFVP-01A_vs_PAUFVP-11A	118	19	357	170	40	0	0	0	0	0	0	0	0	0
PAUGYZ-01A_vs_PAUGYZ-10A	72	0	209	0	0	0	0	154	0	0	0	0	0	0
PAUHAZ-01A_vs_PAUHAZ-10A	58	0	119	82	0	0	0	0	0	0	0	0	0	0
PAUNPA-01A_vs_PAUNPA-11A	101	39	306	0	0	0	0	315	0	0	0	0	0	0
PAVCKS-01A_vs_PAVCKS-11A	159	0	571	286	0	0	82	0	0	0	0	0	0	0
PAVITI-01A_vs_PAVITI-10A	97	0	448	0	0	0	0	172	0	0	0	0	0	0
PAVYDM-01A_vs_PAVYDM-11A	60	0	263	157	0	0	0	0	0	0	0	0	0	0
PAVYKD-01A_vs_PAVYKD-10A	50	0	157	88	0	0	0	0	0	0	0	0	0	0
PAWDGA-01A_vs_PAWDGA-11A	45	60	452	0	119	0	0	116	0	0	0	0	0	0
PAWFBL-01A_vs_PAWFBL-11A	60	0	339	0	0	0	0	211	0	0	0	0	0	0
PAWFWK-01A_vs_PAWFWK-10A	57	0	195	0	0	0	0	58	0	0	0	0	0	0
SJBT030128_D1_vs_SJBT030128_G1	51	0	43	0	0	0	0	64	0	0	0	0	0	0
SJBT030255_D1_vs_SJBT030255_G1	132	0	573	431	0	0	0	0	0	0	0	0	0	0
SJBT030581_D1_vs_SJBT030581_G1	282	0	586	0	0	0	0	207	0	0	0	0	0	0
SJBT030707_D2_vs_SJBT030707_G1	47	0	115	0	0	0	0	0	0	0	0	0	0	0
SJBT030896_D1_vs_SJBT030896_G1	120	0	59	0	0	0	0	0	1069	572	0	0	0	0
SJBT030997_D1_vs_SJBT030997_G1	69	0	331	0	0	0	0	0	0	0	0	0	0	0
SJBT031235_D1_vs_SJBT031235_G1	21	0	16	0	0	0	0	0	0	0	0	0	0	0
SJBT031605_D1_vs_SJBT031605_G1	113	0	810	445	0	0	0	0	0	0	0	0	0	0
SJBT031948_D2_vs_SJBT031948_G1	89	0	563	0	0	0	0	693	2861	1501	0	0	0	0
SJBT032047_D1_vs_SJBT032047_G1	0	0	2	0	0	0	0	0	0	0	0	5	0	0
SJBT032346_D1_vs_SJBT032346_G1	222	0	440	0	0	0	0	0	0	0	0	0	0	0
SJBT032393_D1_vs_SJBT032393_G1	310	0	437	244	0	0	0	0	0	0	0	0	0	0
SJBT032417_D2_vs_SJBT032417_G1	41	0	54	0	0	0	0	0	0	0	0	0	0	0
SJBT033133_D3_vs_SJBT033133_G1	1	0	8	0	0	0	0	0	0	0	0	0	0	0
SJBT033236_D2_vs_SJBT033236_G1	19	0	21	17	0	0	0	0	0	0	0	0	0	0
SJBT034089_D1_vs_SJBT034089_G1	24	0	22	0	0	0	0	0	0	0	0	0	0	0
SJBT034110_D2_vs_SJBT034110_G1	27	0	92	0	0	0	0	0	0	0	0	0	0	0
SJMRT014754_D1_vs_SJMRT014754_G1	77	0	376	255	0	0	0	243	219	0	0	0	0	0
SJMRT015723_D1_vs_SJMRT015723_G1	81	0	475	0	0	0	0	0	0	0	0	0	0	0
SJMRT063832_X1_vs_SJMRT063832_G1	820	0	11179	0	0	0	0	0	2145	0	3420	0	0	0
