Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
SJBT031948_D2_vs_SJBT031948_G1	1.11E+01	2.44E+01	3.99E+01	2.91E+01	2.97E+01	5.13E+00	4.68E+00	7.30E+00
SJBT032047_D1_vs_SJBT032047_G1	2.12E-01	0.00E+00	2.00E-02	0.00E+00	1.30E-01	8.75E-02	5.06E-02	1.02E-01
SJBT032346_D1_vs_SJBT032346_G1	3.03E+00	3.59E+00	4.49E+00	8.78E-01	1.19E+00	2.56E+00	7.75E-01	1.45E+00
SJBT032393_D1_vs_SJBT032393_G1	5.26E+00	7.17E+00	8.26E+00	7.97E+00	3.46E+00	6.43E+00	1.40E+00	3.25E+00
SJBT032417_D2_vs_SJBT032417_G1	1.49E+00	2.19E+00	9.42E-01	3.54E+00	1.81E+00	1.63E+00	9.38E-01	8.32E-01
SJBT033133_D3_vs_SJBT033133_G1	2.06E-01	9.00E-02	2.61E-01	0.00E+00	1.38E-01	1.86E-01	0.00E+00	1.55E-01
SJBT033236_D2_vs_SJBT033236_G1	8.78E-01	6.81E-01	3.98E-01	8.13E-01	3.32E-01	1.01E+00	5.09E-02	3.03E-01
SJBT034089_D1_vs_SJBT034089_G1	6.42E-01	2.23E-01	3.86E-01	2.22E-01	5.21E-01	6.53E-01	5.57E-02	1.45E-01
SJBT034110_D2_vs_SJBT034110_G1	1.51E+00	1.29E+00	1.49E+00	1.86E+00	7.65E-01	1.23E+00	3.11E-01	8.48E-01
SJMRT014754_D1_vs_SJMRT014754_G1	3.32E+00	8.39E+00	6.82E+00	7.21E+00	5.04E+00	2.76E+00	1.41E+00	2.23E+00
SJMRT015723_D1_vs_SJMRT015723_G1	4.10E+00	4.76E+00	4.50E+00	5.99E+00	2.92E+00	2.19E+00	1.40E+00	2.13E+00
SJMRT063832_X1_vs_SJMRT063832_G1	7.95E+01	1.89E+01	9.01E+01	5.11E+01	3.63E+01	4.79E+01	5.59E+00	1.52E+01
