Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PAWDGA-01A_vs_PAWDGA-11A	28	177	454	38	11	33	17	34
PAWFBL-01A_vs_PAWFBL-11A	0	229	132	130	17	92	19	26
PAWFWK-01A_vs_PAWFWK-10A	58	122	0	67	17	103	17	24
SJBT030128_D1_vs_SJBT030128_G1	5	105	0	0	2	94	2	12
SJBT030255_D1_vs_SJBT030255_G1	144	144	64	460	93	188	109	47
SJBT030581_D1_vs_SJBT030581_G1	99	238	124	87	70	454	2	15
SJBT030707_D2_vs_SJBT030707_G1	22	0	46	0	1	69	0	24
SJBT030896_D1_vs_SJBT030896_G1	161	34	0	0	1442	176	0	7
SJBT030997_D1_vs_SJBT030997_G1	112	122	53	7	27	120	56	10
SJBT031235_D1_vs_SJBT031235_G1	15	32	0	0	0	98	0	13
SJBT031605_D1_vs_SJBT031605_G1	653	179	551	1515	301	144	196	103
SJBT031948_D2_vs_SJBT031948_G1	372	560	307	1193	4361	20	245	88
SJBT032047_D1_vs_SJBT032047_G1	3	0	0	0	2	0	0	2
SJBT032346_D1_vs_SJBT032346_G1	67	121	132	0	13	314	17	28
SJBT032393_D1_vs_SJBT032393_G1	135	415	255	158	82	1198	52	90
SJBT032417_D2_vs_SJBT032417_G1	12	24	0	91	98	92	18	8
SJBT033133_D3_vs_SJBT033133_G1	0	0	6	0	1	1	0	1
SJBT033236_D2_vs_SJBT033236_G1	20	5	1	4	5	57	0	3
SJBT034089_D1_vs_SJBT034089_G1	10	1	5	0	3	62	0	0
SJBT034110_D2_vs_SJBT034110_G1	56	6	35	41	10	75	4	10
SJMRT014754_D1_vs_SJMRT014754_G1	7	291	83	487	296	108	42	76
SJMRT015723_D1_vs_SJMRT015723_G1	86	57	322	176	95	122	72	37
SJMRT063832_X1_vs_SJMRT063832_G1	11343	0	1924	200	2120	984	472	534
