Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
AX4912_vs_AX4894	259	157	227	571	70	77	310	46	195
AX4914_vs_AX4895	92	92	79	149	52	146	152	12	182
AX4915_vs_AX4895	0	423	1342	125	658	369	161	145	249
AX4916_vs_AX4896	32	85	0	30	6	98	70	14	198
AX4918_vs_AX4897	158	352	530	555	48	46	209	523	205
AX4921_vs_AX4898	84	255	126	348	60	0	166	21	174
AX4922_vs_AX4899	102	161	12	289	2705	872	64	91	102
AX4923_vs_AX4906	258	75	984	172	160	784	7	139	280
AX4924_vs_AX4901	0	0	0	0	0	26	5	0	178
AX4925_vs_AX4901	131	54	55	134	34	139	51	28	237
AX4926_vs_AX4904	0	0	0	3	0	0	0	1	177
AX4927_vs_AX4905	208	198	400	74	503	18	81	63	200
AX4928_vs_AQ5174	323	190	661	0	0	104	129	37	231
AX4929_vs_AQ5174	10	0	13	1	1	0	1	5	227
AX4930_vs_AX4900	0	174	0	363	0	134	221	19	195
AX4931_vs_AX4907	60	4	0	0	18	36	22	0	128
AX4932_vs_AX4908	41	32	177	0	3	128	289	3	178
AX4933_vs_AX4909	164	0	572	81	108	118	3	0	100
AX4934_vs_AX4909	60	43	56	50	34	57	65	0	166
AX4935_vs_AX4910	0	0	0	815	1590	91	14	17	86
AX4936_vs_AX4911	41	83	148	40	30	0	98	83	162
AX4937_vs_AX4894	263	183	233	527	22	183	290	38	44
AX4938_vs_AX4896	7	57	26	17	16	55	52	16	5
AX4940_vs_AX4904	166	106	290	27	22	225	85	56	23
AX4942_vs_AX4898	248	660	528	344	17	0	128	61	132
AX4943_vs_AX4898	210	695	536	445	14	0	119	80	117
AX4944_vs_AX4897	216	394	478	656	72	35	233	590	100
AX4945_vs_AX4898	28	197	147	206	71	0	140	17	25
AX4946_vs_AX4895	428	2521	300	1060	108	126	10	143	160
AX4947_vs_AX4895	577	2376	353	972	53	0	14	161	157
AX4951_vs_AX4903	115	0	170	155	42	0	313	12	25
AX4958_vs_AQ5174	384	1082	923	189	0	425	101	73	68
AX4961_vs_AQ5174	361	1081	841	263	8	453	85	68	75
DIAF_vs_BLOOD	268	190	719	142	312	374	156	73	75
HK_vs_BLOOD	0	0	0	2	0	0	10	0	6
LNMETA_vs_BLOOD	236	93	943	157	438	565	118	121	127
LN_vs_BLOOD	259	116	7	208	100	385	202	556	45
OMEN_vs_BLOOD	116	174	441	101	164	210	179	66	74
PABKLN-01A_vs_PABKLN-11A	97	52	0	219	31	138	66	186	21
PADWRZ-01A_vs_PADWRZ-10A	113	146	0	62	35	118	106	36	39
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	0	0	1367	0
PAEHIP-01A_vs_PAEHIP-10A	0	36	0	41	17	56	93	23	24
PAJLWM-01A_vs_PAJLWM-11A	28	54	0	60	27	52	75	24	8
PAJMBW-01A_vs_PAJMBW-10A	38	59	18	34	30	90	18	289	13
PAJMRB-01A_vs_PAJMRB-11A	28	45	0	73	11	34	112	0	9
PAJNER-01A_vs_PAJNER-11A	35	12	7	58	1	62	42	6	18
PAJNFP-01A_vs_PAJNFP-11A	47	88	86	59	61	192	50	273	62
PAJNFZ-01A_vs_PAJNFZ-10A	91	64	21	53	2	94	121	116	29
PAKHTL-01A_vs_PAKHTL-11A	121	88	80	308	0	14	194	57	54
PAKLYZ-01A_vs_PAKLYZ-10A	15	624	0	27	88	478	44	18	12
PAKTCT-01A_vs_PAKTCT-11A	108	111	66	154	35	293	115	21	27
PARECB-01A_vs_PARECB-11A	58	30	6	50	7	76	44	22	4
PAREWI-01A_vs_PAREWI-11A	22	18	78	139	5	79	62	96	31
PARGRN-01A_vs_PARGRN-10A	16	53	0	144	7	134	35	149	15
PARIRN-01A_vs_PARIRN-10A	14	0	48	167	5	263	164	13	31
PARPFY-01A_vs_PARPFY-11A	45	153	77	78	11	133	78	42	7
PARRCL-01A_vs_PARRCL-11A	54	56	0	64	44	110	84	77	20
PARTKH-01A_vs_PARTKH-10A	80	52	25	36	14	174	60	61	36
PARUGK-01A_vs_PARUGK-10A	42	26	12	106	19	48	84	14	4
PARZBI-01A_vs_PARZBI-11A	69	26	62	98	9	123	107	65	28
