Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.956	500.676	26.186%	76.158	29.345%	0.0529	0.899
AX4914_vs_AX4895	956	0.936	302.058	31.596%	46.236	35.224%	0.08958	0.852
AX4915_vs_AX4895	3472	0.961	745.159	21.462%	122.197	27.887%	0.03694	0.89
AX4916_vs_AX4896	533	0.835	261.136	48.994%	46.826	55.128%	0.22587	0.7
AX4918_vs_AX4897	2626	0.951	585.147	22.283%	105.979	30.821%	0.04573	0.871
AX4921_vs_AX4898	1234	0.957	341.931	27.709%	51.782	29.822%	0.07441	0.917
AX4922_vs_AX4899	4398	0.987	788.226	17.922%	121.341	16.288%	0.02387	0.979
AX4923_vs_AX4906	2859	0.929	858.373	30.024%	133.112	37.587%	0.0698	0.78
AX4924_vs_AX4901	209	0.504	235.02	112.45%	45.459	86.389%	0.9818	0.327
AX4925_vs_AX4901	863	0.886	352.321	40.825%	53.829	46.674%	0.13482	0.703
AX4926_vs_AX4904	181	0.46	214.784	118.665%	48.024	88.827%	1.17671	0.33
AX4927_vs_AX4905	1745	0.976	354.275	20.302%	50.554	21.839%	0.03808	0.941
AX4928_vs_AQ5174	1675	0.922	585.428	34.951%	82.544	39.451%	0.09091	0.768
AX4929_vs_AQ5174	258	0.508	271.036	105.053%	53.721	86.133%	0.88632	0.314
AX4930_vs_AX4900	1106	0.942	413.839	37.418%	58.782	34.881%	0.11176	0.909
AX4931_vs_AX4907	268	0.688	203.601	75.971%	33.032	72.708%	0.47816	0.425
AX4932_vs_AX4908	851	0.868	398.481	46.825%	69.078	50.145%	0.16411	0.775
AX4933_vs_AX4909	1146	0.869	560.72	48.928%	74.632	50.589%	0.19707	0.629
AX4934_vs_AX4909	531	0.851	270.301	50.904%	41.46	52.456%	0.22106	0.694
AX4935_vs_AX4910	2613	0.963	761.061	29.126%	132.416	28.05%	0.07393	0.948
AX4936_vs_AX4911	685	0.915	255.587	37.312%	38.289	40.385%	0.11793	0.802
AX4937_vs_AX4894	1783	0.956	477.674	26.79%	71.074	29.543%	0.05509	0.894
AX4938_vs_AX4896	251	0.902	117.089	46.649%	16.486	43.642%	0.20494	0.821
AX4940_vs_AX4904	1000	0.933	326.882	32.688%	45.359	37.023%	0.09129	0.788
AX4942_vs_AX4898	2118	0.948	586.395	27.686%	89.184	31.91%	0.0592	0.864
AX4943_vs_AX4898	2216	0.947	630.053	28.432%	94.221	32.123%	0.05968	0.863
AX4944_vs_AX4897	2774	0.947	637.113	22.967%	117.09	32.08%	0.04928	0.861
AX4945_vs_AX4898	831	0.953	272.925	32.843%	36.978	31.287%	0.08428	0.915
AX4946_vs_AX4895	4856	0.887	1732.753	35.683%	314.514	46.268%	0.10156	0.737
AX4947_vs_AX4895	4663	0.89	1593.552	34.174%	294.561	45.508%	0.09441	0.741
AX4951_vs_AX4903	832	0.85	424.26	50.993%	76.699	53.726%	0.20296	0.777
AX4958_vs_AQ5174	3245	0.932	988.036	30.448%	149.226	36.657%	0.06655	0.797
AX4961_vs_AQ5174	3235	0.932	1010.457	31.235%	148.158	36.926%	0.06837	0.791
DIAF_vs_BLOOD	2309	0.973	487.72	21.123%	66.391	23.284%	0.03724	0.918
HK_vs_BLOOD	18	0.519	27.944	155.244%	5.028	86.229%	1.81163	0.461
LNMETA_vs_BLOOD	2798	0.97	617.048	22.053%	85.541	25.187%	0.03933	0.91
LN_vs_BLOOD	1878	0.885	556.03	29.608%	123.248	46.536%	0.10732	0.739
OMEN_vs_BLOOD	1525	0.977	321.194	21.062%	40.702	21.221%	0.04065	0.932
PABKLN-01A_vs_PABKLN-11A	810	0.911	282.942	34.931%	45.952	41.213%	0.11126	0.789
PADWRZ-01A_vs_PADWRZ-10A	655	0.956	198.591	30.319%	25.817	29.435%	0.077	0.892
PADYZI-01A_vs_PADYZI-10A	1367	0.418	1302.032	95.247%	343.0	91.024%	0.83861	0.222
PAEHIP-01A_vs_PAEHIP-10A	290	0.879	145.716	50.247%	23.563	48.962%	0.237	0.817
PAJLWM-01A_vs_PAJLWM-11A	328	0.904	148.696	45.334%	22.186	43.747%	0.19828	0.841
PAJMBW-01A_vs_PAJMBW-10A	589	0.708	342.299	58.115%	70.178	70.728%	0.32958	0.465
PAJMRB-01A_vs_PAJMRB-11A	312	0.84	186.386	59.739%	31.63	55.827%	0.31376	0.783
PAJNER-01A_vs_PAJNER-11A	241	0.905	110.846	45.994%	14.831	42.654%	0.21398	0.8
PAJNFP-01A_vs_PAJNFP-11A	918	0.864	382.176	41.631%	63.278	50.534%	0.16063	0.661
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.923	229.794	38.882%	33.334	38.742%	0.14094	0.844
PAKHTL-01A_vs_PAKHTL-11A	916	0.944	289.22	31.574%	44.755	33.585%	0.08184	0.893
PAKLYZ-01A_vs_PAKLYZ-10A	1306	0.85	590.688	45.229%	98.132	52.653%	0.16017	0.659
PAKTCT-01A_vs_PAKTCT-11A	930	0.966	228.896	24.612%	30.922	25.679%	0.06493	0.909
PARECB-01A_vs_PARECB-11A	297	0.919	122.845	41.362%	16.104	39.372%	0.17905	0.81
PAREWI-01A_vs_PAREWI-11A	530	0.928	186.51	35.191%	27.381	37.386%	0.11317	0.833
PARGRN-01A_vs_PARGRN-10A	553	0.888	225.558	40.788%	35.073	45.986%	0.15291	0.733
PARIRN-01A_vs_PARIRN-10A	705	0.918	293.019	41.563%	42.738	40.328%	0.13556	0.85
PARPFY-01A_vs_PARPFY-11A	624	0.935	216.441	34.686%	29.499	35.518%	0.10781	0.833
PARRCL-01A_vs_PARRCL-11A	509	0.934	172.403	33.871%	24.795	35.74%	0.10255	0.844
PARTKH-01A_vs_PARTKH-10A	538	0.925	201.248	37.407%	27.256	38.084%	0.12177	0.806
PARUGK-01A_vs_PARUGK-10A	355	0.899	156.194	43.998%	22.576	43.963%	0.1732	0.787
PARZBI-01A_vs_PARZBI-11A	587	0.946	202.455	34.49%	26.47	32.457%	0.08995	0.882
PARZRH-01A_vs_PARZRH-10A	961	0.937	302.162	31.442%	48.28	35.337%	0.09629	0.875
PASABD-01A_vs_PASABD-10A	439	0.93	158.394	36.081%	23.061	36.932%	0.12686	0.854
PASADZ-01A_vs_PASADZ-10A	617	0.937	203.506	32.983%	29.37	34.824%	0.09738	0.853
PASCDH-01A_vs_PASCDH-10A	576	0.922	200.34	34.781%	32.308	38.872%	0.10743	0.842
PASDLA-01A_vs_PASDLA-11A	316	0.919	128.164	40.558%	18.177	39.703%	0.15815	0.839
PASGCL-01A_vs_PASGCL-10A	513	0.922	200.427	39.07%	30.392	39.604%	0.13079	0.861
PASRHU-01A_vs_PASRHU-10A	228	0.845	127.972	56.128%	23.223	55.23%	0.44172	0.793
PASVDP-01A_vs_PASVDP-10A	419	0.921	168.398	40.19%	22.882	39.156%	0.13732	0.822
