Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PAUEKW-01A_vs_PAUEKW-10A	152	190	52	61	179	165	376	11	19	62
PAUFVP-01A_vs_PAUFVP-11A	0	168	27	24	79	0	134	227	25	20
PAUGYZ-01A_vs_PAUGYZ-10A	0	0	129	11	3	37	90	142	2	21
PAUHAZ-01A_vs_PAUHAZ-10A	0	3	20	12	30	60	80	25	10	19
PAUNPA-01A_vs_PAUNPA-11A	18	0	311	27	138	76	152	0	5	34
PAVCKS-01A_vs_PAVCKS-11A	77	0	102	35	198	178	193	112	162	41
PAVITI-01A_vs_PAVITI-10A	56	75	162	59	61	55	142	40	36	31
PAVYDM-01A_vs_PAVYDM-11A	65	36	9	14	12	52	50	212	19	11
PAVYKD-01A_vs_PAVYKD-10A	15	29	7	0	23	69	57	58	20	17
PAWDGA-01A_vs_PAWDGA-11A	0	257	60	11	297	0	7	128	5	27
PAWFBL-01A_vs_PAWFBL-11A	8	0	176	7	116	28	64	176	11	24
PAWFWK-01A_vs_PAWFWK-10A	27	23	38	0	0	0	66	120	11	25
SJBT030128_D1_vs_SJBT030128_G1	0	0	73	0	0	0	76	0	2	7
SJBT030255_D1_vs_SJBT030255_G1	86	106	43	41	0	154	101	515	62	28
SJBT030581_D1_vs_SJBT030581_G1	35	146	187	62	102	47	431	51	0	14
SJBT030707_D2_vs_SJBT030707_G1	15	26	0	1	32	0	66	0	0	22
SJBT030896_D1_vs_SJBT030896_G1	0	292	0	1374	0	0	148	0	0	6
SJBT030997_D1_vs_SJBT030997_G1	47	100	15	21	14	0	72	95	31	5
SJBT031235_D1_vs_SJBT031235_G1	1	0	8	0	0	0	28	0	0	0
SJBT031605_D1_vs_SJBT031605_G1	260	0	0	69	90	241	68	552	37	51
SJBT031948_D2_vs_SJBT031948_G1	105	0	489	3547	214	638	0	507	115	92
SJBT032047_D1_vs_SJBT032047_G1	3	0	0	2	0	0	0	0	0	2
SJBT032346_D1_vs_SJBT032346_G1	29	112	78	14	106	0	291	0	12	20
SJBT032393_D1_vs_SJBT032393_G1	49	45	123	27	61	34	452	123	13	64
SJBT032417_D2_vs_SJBT032417_G1	8	0	0	0	0	0	57	28	2	0
SJBT033133_D3_vs_SJBT033133_G1	0	0	0	1	6	0	1	0	0	1
SJBT033236_D2_vs_SJBT033236_G1	13	0	5	4	0	1	26	8	0	0
SJBT034089_D1_vs_SJBT034089_G1	4	0	3	2	2	0	35	0	0	0
SJBT034110_D2_vs_SJBT034110_G1	14	13	0	1	10	32	32	14	2	1
SJMRT014754_D1_vs_SJMRT014754_G1	0	0	239	211	39	506	110	0	32	33
SJMRT015723_D1_vs_SJMRT015723_G1	45	166	0	1	121	51	91	20	35	26
SJMRT063832_X1_vs_SJMRT063832_G1	10814	1556	0	1711	1102	958	701	0	326	396
