Samples	SBS96A	SBS96B	SBS96C	SBS96D
AX4912_vs_AX4894	1.60E+01	1.57E+01	3.22E+00	1.58E+01
AX4914_vs_AX4895	8.34E+00	7.60E+00	1.97E+00	5.06E+00
AX4915_vs_AX4895	1.47E+01	1.41E+01	9.50E+00	1.93E+01
AX4916_vs_AX4896	1.88E+00	1.81E+00	5.46E-01	1.18E+00
AX4918_vs_AX4897	1.22E+01	1.62E+01	3.96E+00	1.87E+01
AX4921_vs_AX4898	7.02E+00	6.45E+00	2.00E+00	3.33E+00
AX4922_vs_AX4899	2.34E+01	1.04E+01	1.84E+01	8.62E+00
AX4923_vs_AX4906	1.71E+01	2.61E+01	7.05E+00	2.98E+01
AX4924_vs_AX4901	1.64E+00	7.04E+00	7.49E-01	6.91E+00
AX4925_vs_AX4901	1.95E+00	2.49E+00	7.21E-01	2.70E+00
AX4926_vs_AX4904	1.78E+00	7.26E+00	3.22E-01	7.36E+00
AX4927_vs_AX4905	4.59E+00	4.64E+00	3.02E+00	6.08E+00
AX4928_vs_AQ5174	1.37E+01	2.22E+01	3.71E+00	2.68E+01
AX4929_vs_AQ5174	1.85E+00	7.66E+00	7.46E-01	7.40E+00
AX4930_vs_AX4900	9.95E+00	9.59E+00	1.40E+00	3.05E+00
AX4931_vs_AX4907	2.48E+00	4.76E+00	1.57E+00	5.72E+00
AX4932_vs_AX4908	7.98E+00	7.39E+00	1.58E+00	5.91E+00
AX4933_vs_AX4909	2.71E+00	2.42E+00	7.76E-01	1.56E+00
AX4934_vs_AX4909	1.62E+00	1.57E+00	5.56E-01	9.49E-01
AX4935_vs_AX4910	5.96E+00	5.96E+00	2.17E+00	4.20E+00
AX4936_vs_AX4911	4.36E+00	5.06E+00	2.17E+00	5.24E+00
AX4937_vs_AX4894	1.42E+01	1.54E+01	3.36E+00	1.65E+01
AX4938_vs_AX4896	2.06E+00	1.67E+00	7.85E-01	1.33E+00
AX4940_vs_AX4904	5.59E+00	7.99E+00	2.88E+00	1.01E+01
AX4942_vs_AX4898	1.03E+01	1.42E+01	5.05E+00	1.82E+01
AX4943_vs_AX4898	1.19E+01	1.48E+01	5.02E+00	1.77E+01
AX4944_vs_AX4897	1.28E+01	1.68E+01	3.68E+00	1.82E+01
AX4945_vs_AX4898	7.27E+00	6.52E+00	2.18E+00	4.51E+00
AX4946_vs_AX4895	2.03E+01	2.19E+01	9.80E+00	2.35E+01
AX4947_vs_AX4895	2.08E+01	2.38E+01	1.01E+01	2.65E+01
AX4951_vs_AX4903	2.13E+00	2.33E+00	5.45E-01	2.51E+00
AX4958_vs_AQ5174	1.88E+01	2.44E+01	7.59E+00	3.13E+01
AX4961_vs_AQ5174	2.01E+01	2.66E+01	7.37E+00	3.35E+01
DIAF_vs_BLOOD	8.11E+00	1.10E+01	3.69E+00	1.34E+01
HK_vs_BLOOD	4.64E-01	4.97E-01	1.52E-01	2.80E-01
LNMETA_vs_BLOOD	6.93E+00	7.49E+00	2.23E+00	8.99E+00
LN_vs_BLOOD	5.17E+00	5.27E+00	1.95E+00	6.02E+00
OMEN_vs_BLOOD	7.92E+00	7.84E+00	2.64E+00	8.06E+00
PABKLN-01A_vs_PABKLN-11A	5.19E+00	7.26E+00	1.82E+00	7.05E+00
PADWRZ-01A_vs_PADWRZ-10A	5.12E+00	4.16E+00	2.07E+00	5.01E+00
PADYZI-01A_vs_PADYZI-10A	2.59E+01	5.18E+01	1.52E+00	5.35E+01
PAEHIP-01A_vs_PAEHIP-10A	3.58E+00	3.40E+00	6.26E-01	1.06E+00
PAJLWM-01A_vs_PAJLWM-11A	2.95E+00	2.52E+00	1.13E+00	1.45E+00
PAJMBW-01A_vs_PAJMBW-10A	6.38E+00	1.22E+01	1.58E+00	1.23E+01
PAJMRB-01A_vs_PAJMRB-11A	5.15E+00	5.01E+00	1.03E+00	1.34E+00
PAJNER-01A_vs_PAJNER-11A	3.03E+00	2.79E+00	9.94E-01	2.91E+00
PAJNFP-01A_vs_PAJNFP-11A	4.82E+00	7.11E+00	1.95E+00	7.09E+00
PAJNFZ-01A_vs_PAJNFZ-10A	5.04E+00	4.95E+00	1.34E+00	4.88E+00
PAKHTL-01A_vs_PAKHTL-11A	8.55E+00	8.12E+00	1.57E+00	7.94E+00
PAKLYZ-01A_vs_PAKLYZ-10A	6.66E+00	5.08E+00	4.29E+00	3.21E+00
PAKTCT-01A_vs_PAKTCT-11A	6.97E+00	7.35E+00	2.44E+00	8.21E+00
PARECB-01A_vs_PARECB-11A	2.68E+00	2.84E+00	1.13E+00	3.47E+00
PAREWI-01A_vs_PAREWI-11A	3.84E+00	3.48E+00	1.07E+00	2.89E+00
PARGRN-01A_vs_PARGRN-10A	3.18E+00	2.99E+00	8.43E-01	2.33E+00
PARIRN-01A_vs_PARIRN-10A	9.78E+00	9.56E+00	1.81E+00	4.08E+00
PARPFY-01A_vs_PARPFY-11A	4.24E+00	3.73E+00	1.31E+00	2.97E+00
PARRCL-01A_vs_PARRCL-11A	3.62E+00	3.64E+00	1.44E+00	3.41E+00
PARTKH-01A_vs_PARTKH-10A	3.29E+00	3.51E+00	2.06E+00	3.91E+00
PARUGK-01A_vs_PARUGK-10A	3.80E+00	3.36E+00	1.26E+00	3.43E+00
PARZBI-01A_vs_PARZBI-11A	5.58E+00	4.48E+00	1.65E+00	4.81E+00
PARZRH-01A_vs_PARZRH-10A	6.56E+00	6.27E+00	2.62E+00	4.17E+00
PASABD-01A_vs_PASABD-10A	3.27E+00	2.77E+00	1.14E+00	2.04E+00
PASADZ-01A_vs_PASADZ-10A	3.69E+00	4.42E+00	1.40E+00	4.62E+00
PASCDH-01A_vs_PASCDH-10A	2.64E+00	2.71E+00	8.89E-01	2.77E+00
PASDLA-01A_vs_PASDLA-11A	2.63E+00	2.30E+00	1.36E+00	2.01E+00
PASGCL-01A_vs_PASGCL-10A	5.34E+00	5.68E+00	1.43E+00	5.00E+00
PASRHU-01A_vs_PASRHU-10A	4.13E+00	4.09E+00	6.07E-01	1.18E+00
PASVDP-01A_vs_PASVDP-10A	2.93E+00	2.24E+00	1.47E+00	2.79E+00
PASWZZ-01A_vs_PASWZZ-10A	2.48E+00	2.25E+00	8.04E-01	2.06E+00
PASXNA-01A_vs_PASXNA-11A	4.64E+00	4.46E+00	1.69E+00	6.27E+00
PASYNF-01A_vs_PASYNF-10A	4.93E+00	4.48E+00	1.38E+00	1.50E+00
