Samples	SBS96A	SBS96B	SBS96C	SBS96D
AX4912_vs_AX4894	646	672	133	100
AX4914_vs_AX4895	314	290	82	0
AX4915_vs_AX4895	1163	301	1107	418
AX4916_vs_AX4896	30	87	6	5
AX4918_vs_AX4897	829	409	114	982
AX4921_vs_AX4898	373	257	87	0
AX4922_vs_AX4899	641	123	3464	170
AX4923_vs_AX4906	1175	116	477	795
AX4924_vs_AX4901	40	27	0	142
AX4925_vs_AX4901	79	55	8	32
AX4926_vs_AX4904	31	10	0	140
AX4927_vs_AX4905	278	104	297	93
AX4928_vs_AQ5174	667	192	109	389
AX4929_vs_AQ5174	34	14	1	209
AX4930_vs_AX4900	241	366	0	0
AX4931_vs_AX4907	52	54	35	127
AX4932_vs_AX4908	84	427	21	0
AX4933_vs_AX4909	64	110	15	0
AX4934_vs_AX4909	38	57	11	0
AX4935_vs_AX4910	582	109	32	45
AX4936_vs_AX4911	182	186	57	260
AX4937_vs_AX4894	661	636	114	101
AX4938_vs_AX4896	52	85	13	8
AX4940_vs_AX4904	392	175	117	187
AX4942_vs_AX4898	1328	231	144	308
AX4943_vs_AX4898	1453	207	154	333
AX4944_vs_AX4897	645	401	119	988
AX4945_vs_AX4898	418	269	117	0
AX4946_vs_AX4895	3795	0	298	306
AX4947_vs_AX4895	3639	0	260	394
AX4951_vs_AX4903	0	143	9	0
AX4958_vs_AQ5174	2117	176	249	401
AX4961_vs_AQ5174	2173	150	252	408
DIAF_vs_BLOOD	442	328	289	185
HK_vs_BLOOD	0	18	0	0
LNMETA_vs_BLOOD	333	296	133	105
LN_vs_BLOOD	175	251	80	56
OMEN_vs_BLOOD	340	320	125	82
PABKLN-01A_vs_PABKLN-11A	245	151	54	360
PADWRZ-01A_vs_PADWRZ-10A	260	212	72	77
PADYZI-01A_vs_PADYZI-10A	0	0	0	1152
PAEHIP-01A_vs_PAEHIP-10A	25	150	5	0
PAJLWM-01A_vs_PAJLWM-11A	97	127	28	6
PAJMBW-01A_vs_PAJMBW-10A	68	15	28	478
PAJMRB-01A_vs_PAJMRB-11A	98	199	15	0
PAJNER-01A_vs_PAJNER-11A	101	99	15	26
PAJNFP-01A_vs_PAJNFP-11A	184	97	76	325
PAJNFZ-01A_vs_PAJNFZ-10A	143	229	15	204
PAKHTL-01A_vs_PAKHTL-11A	334	403	31	82
PAKLYZ-01A_vs_PAKLYZ-10A	971	0	160	0
PAKTCT-01A_vs_PAKTCT-11A	452	278	103	55
PARECB-01A_vs_PARECB-11A	108	90	19	59
PAREWI-01A_vs_PAREWI-11A	82	139	18	108
PARGRN-01A_vs_PARGRN-10A	114	123	9	58
PARIRN-01A_vs_PARIRN-10A	246	358	38	0
PARPFY-01A_vs_PARPFY-11A	274	172	29	23
PARRCL-01A_vs_PARRCL-11A	152	169	66	122
PARTKH-01A_vs_PARTKH-10A	198	134	46	160
PARUGK-01A_vs_PARUGK-10A	133	180	37	5
PARZBI-01A_vs_PARZBI-11A	184	236	37	130
PARZRH-01A_vs_PARZRH-10A	620	170	94	46
PASABD-01A_vs_PASABD-10A	123	133	29	33
PASADZ-01A_vs_PASADZ-10A	214	142	27	209
PASCDH-01A_vs_PASCDH-10A	80	131	24	6
PASDLA-01A_vs_PASDLA-11A	125	115	29	13
PASGCL-01A_vs_PASGCL-10A	183	260	55	15
PASRHU-01A_vs_PASRHU-10A	59	167	2	0
PASVDP-01A_vs_PASVDP-10A	132	129	69	35
PASWZZ-01A_vs_PASWZZ-10A	80	108	9	27
PASXNA-01A_vs_PASXNA-11A	152	205	46	93
PASYNF-01A_vs_PASYNF-10A	110	192	34	0
PASZYE-01A_vs_PASZYE-10A	221	218	26	26
PATAFT-01A_vs_PATAFT-10A	156	78	52	96
PATBLF-01A_vs_PATBLF-10A	404	233	57	31
PATDVL-01A_vs_PATDVL-10A	150	126	47	32
PATENH-01A_vs_PATENH-11A	283	344	34	0
PATFXW-01A_vs_PATFXW-10A	146	261	18	57
PATFZZ-01A_vs_PATFZZ-10A	200	197	57	100
PATXEE-01A_vs_PATXEE-10A	240	211	32	0
PATXKA-01A_vs_PATXKA-10A	190	90	50	112
PAUCGJ-01A_vs_PAUCGJ-10A	443	75	40	268
PAUDPV-01A_vs_PAUDPV-11A	127	83	7	69
PAUEKW-01A_vs_PAUEKW-10A	356	775	136	0
PAUFVP-01A_vs_PAUFVP-11A	285	342	62	15
PAUGYZ-01A_vs_PAUGYZ-10A	232	168	35	0
PAUHAZ-01A_vs_PAUHAZ-10A	79	155	25	0
PAUNPA-01A_vs_PAUNPA-11A	491	218	52	0
PAVCKS-01A_vs_PAVCKS-11A	356	385	76	281
PAVITI-01A_vs_PAVITI-10A	319	265	99	34
PAVYDM-01A_vs_PAVYDM-11A	174	169	63	74
PAVYKD-01A_vs_PAVYKD-10A	99	133	17	46
PAWDGA-01A_vs_PAWDGA-11A	564	107	43	78
PAWFBL-01A_vs_PAWFBL-11A	422	150	38	0
PAWFWK-01A_vs_PAWFWK-10A	110	161	18	21
