Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PARIRN-01A_vs_PARIRN-10A	4.85E+00	2.95E+00	1.73E+00	3.44E+00	6.37E+00	5.27E-01
PARPFY-01A_vs_PARPFY-11A	4.34E+00	2.44E+00	1.15E+00	2.02E+00	5.42E+00	1.10E+00
PARRCL-01A_vs_PARRCL-11A	3.12E+00	2.86E+00	1.41E+00	2.04E+00	3.24E+00	1.70E+00
PARTKH-01A_vs_PARTKH-10A	4.62E+00	3.08E+00	1.95E+00	2.01E+00	5.01E+00	1.66E+00
PARUGK-01A_vs_PARUGK-10A	2.54E+00	2.24E+00	1.13E+00	2.04E+00	1.96E+00	8.27E-01
PARZBI-01A_vs_PARZBI-11A	3.46E+00	2.94E+00	1.40E+00	2.52E+00	3.36E+00	1.52E+00
PARZRH-01A_vs_PARZRH-10A	6.36E+00	2.60E+00	2.51E+00	2.91E+00	7.04E+00	1.39E+00
PASABD-01A_vs_PASABD-10A	2.45E+00	2.22E+00	1.03E+00	1.57E+00	1.81E+00	8.19E-01
PASADZ-01A_vs_PASADZ-10A	3.94E+00	2.92E+00	1.06E+00	2.29E+00	3.46E+00	1.95E+00
PASCDH-01A_vs_PASCDH-10A	1.67E+00	1.92E+00	9.63E-01	1.61E+00	1.46E+00	5.09E-01
PASDLA-01A_vs_PASDLA-11A	2.05E+00	1.78E+00	1.37E+00	1.51E+00	2.49E+00	7.32E-01
PASGCL-01A_vs_PASGCL-10A	2.59E+00	3.05E+00	1.42E+00	2.66E+00	2.54E+00	6.79E-01
PASRHU-01A_vs_PASRHU-10A	1.60E+00	9.76E-01	5.60E-01	1.38E+00	1.46E+00	6.31E-01
PASVDP-01A_vs_PASVDP-10A	2.15E+00	1.85E+00	1.33E+00	1.72E+00	1.73E+00	8.75E-01
PASWZZ-01A_vs_PASWZZ-10A	1.61E+00	1.69E+00	7.23E-01	1.44E+00	1.41E+00	8.84E-01
PASXNA-01A_vs_PASXNA-11A	4.49E+00	2.70E+00	1.69E+00	1.94E+00	5.32E+00	1.25E+00
PASYNF-01A_vs_PASYNF-10A	2.30E+00	1.39E+00	1.35E+00	2.17E+00	1.76E+00	7.56E-01
PASZYE-01A_vs_PASZYE-10A	3.25E+00	2.72E+00	1.30E+00	2.07E+00	3.28E+00	8.93E-01
PATAFT-01A_vs_PATAFT-10A	3.11E+00	2.89E+00	1.48E+00	1.49E+00	3.29E+00	9.06E-01
PATBLF-01A_vs_PATBLF-10A	3.25E+00	3.39E+00	1.84E+00	2.74E+00	3.49E+00	1.08E+00
PATDVL-01A_vs_PATDVL-10A	2.20E+00	1.98E+00	1.25E+00	1.80E+00	1.32E+00	9.00E-01
PATENH-01A_vs_PATENH-11A	3.34E+00	2.62E+00	1.59E+00	3.27E+00	3.17E+00	9.99E-01
PATFXW-01A_vs_PATFXW-10A	3.97E+00	2.81E+00	8.01E-01	2.63E+00	4.61E+00	1.19E+00
PATFZZ-01A_vs_PATFZZ-10A	5.57E+00	2.88E+00	1.91E+00	2.61E+00	7.29E+00	1.17E+00
PATXEE-01A_vs_PATXEE-10A	2.78E+00	2.67E+00	1.48E+00	2.50E+00	2.05E+00	1.09E+00
PATXKA-01A_vs_PATXKA-10A	3.24E+00	2.37E+00	1.31E+00	1.92E+00	2.93E+00	1.60E+00
PAUCGJ-01A_vs_PAUCGJ-10A	6.31E+00	3.81E+00	2.13E+00	2.68E+00	7.55E+00	1.88E+00
