Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
AX4912_vs_AX4894	457	442	76	453	85	38
AX4914_vs_AX4895	239	122	62	214	48	1
AX4915_vs_AX4895	834	590	957	216	286	106
AX4916_vs_AX4896	27	16	5	65	1	14
AX4918_vs_AX4897	775	600	91	333	73	462
AX4921_vs_AX4898	310	120	68	194	11	14
AX4922_vs_AX4899	499	66	3252	97	383	101
AX4923_vs_AX4906	719	884	344	59	442	115
AX4924_vs_AX4901	0	0	0	0	209	0
AX4925_vs_AX4901	52	58	2	35	21	6
AX4926_vs_AX4904	0	0	0	0	181	0
AX4927_vs_AX4905	216	159	261	75	28	33
AX4928_vs_AQ5174	379	700	30	96	131	21
AX4929_vs_AQ5174	0	0	0	0	256	2
AX4930_vs_AX4900	230	30	0	304	35	8
AX4931_vs_AX4907	0	49	15	19	185	0
AX4932_vs_AX4908	69	81	16	330	33	3
AX4933_vs_AX4909	53	26	12	81	10	7
AX4934_vs_AX4909	34	11	10	47	2	2
AX4935_vs_AX4910	487	142	14	100	0	25
AX4936_vs_AX4911	101	111	40	125	235	73
AX4937_vs_AX4894	461	437	58	429	96	31
AX4938_vs_AX4896	42	23	10	63	8	12
AX4940_vs_AX4904	272	247	83	121	99	49
AX4942_vs_AX4898	1014	539	71	173	159	55
AX4943_vs_AX4898	1133	559	81	164	139	71
AX4944_vs_AX4897	602	618	96	314	76	447
AX4945_vs_AX4898	349	124	95	206	16	14
AX4946_vs_AX4895	3287	503	205	54	219	131
AX4947_vs_AX4895	3139	623	164	37	185	145
AX4951_vs_AX4903	0	46	4	95	1	6
AX4958_vs_AQ5174	1609	787	138	154	193	62
AX4961_vs_AQ5174	1653	758	141	140	234	57
DIAF_vs_BLOOD	296	312	232	219	139	46
HK_vs_BLOOD	0	0	0	12	6	0
LNMETA_vs_BLOOD	236	204	101	204	84	38
LN_vs_BLOOD	124	131	62	174	40	31
OMEN_vs_BLOOD	248	173	97	225	85	39
PABKLN-01A_vs_PABKLN-11A	234	189	48	122	47	170
PADWRZ-01A_vs_PADWRZ-10A	191	113	54	151	78	34
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	1152
PAEHIP-01A_vs_PAEHIP-10A	25	0	5	120	23	7
PAJLWM-01A_vs_PAJLWM-11A	84	11	25	97	20	21
PAJMBW-01A_vs_PAJMBW-10A	137	80	47	35	20	270
PAJMRB-01A_vs_PAJMRB-11A	92	34	13	162	11	0
PAJNER-01A_vs_PAJNER-11A	64	62	6	66	38	5
PAJNFP-01A_vs_PAJNFP-11A	172	100	74	82	101	153
PAJNFZ-01A_vs_PAJNFZ-10A	127	125	10	170	50	109
PAKHTL-01A_vs_PAKHTL-11A	243	228	6	275	63	35
PAKLYZ-01A_vs_PAKLYZ-10A	844	0	140	40	91	16
PAKTCT-01A_vs_PAKTCT-11A	323	184	71	198	95	17
PARECB-01A_vs_PARECB-11A	79	89	11	63	12	22
PAREWI-01A_vs_PAREWI-11A	67	53	15	102	55	55
PARGRN-01A_vs_PARGRN-10A	92	49	5	92	30	36
PARIRN-01A_vs_PARIRN-10A	177	71	25	266	99	4
PARPFY-01A_vs_PARPFY-11A	224	98	16	128	7	25
PARRCL-01A_vs_PARRCL-11A	132	70	60	128	48	71
PARTKH-01A_vs_PARTKH-10A	144	118	33	96	90	57
PARUGK-01A_vs_PARUGK-10A	102	77	26	125	11	14
PARZBI-01A_vs_PARZBI-11A	134	141	23	168	61	60
PARZRH-01A_vs_PARZRH-10A	573	0	87	161	31	78
PASABD-01A_vs_PASABD-10A	96	54	22	98	24	24
PASADZ-01A_vs_PASADZ-10A	176	108	19	109	88	92
PASCDH-01A_vs_PASCDH-10A	60	58	17	91	4	11
PASDLA-01A_vs_PASDLA-11A	100	28	23	85	30	16
PASGCL-01A_vs_PASGCL-10A	127	110	37	177	50	12
PASRHU-01A_vs_PASRHU-10A	64	0	3	137	10	14
PASVDP-01A_vs_PASVDP-10A	113	52	60	95	16	29
PASWZZ-01A_vs_PASWZZ-10A	57	44	3	76	32	12
PASXNA-01A_vs_PASXNA-11A	96	131	29	138	67	35
PASYNF-01A_vs_PASYNF-10A	97	22	31	147	22	17
PASZYE-01A_vs_PASZYE-10A	167	102	12	152	40	18
PATAFT-01A_vs_PATAFT-10A	109	109	38	53	47	26
PATBLF-01A_vs_PATBLF-10A	346	101	42	180	13	43
PATDVL-01A_vs_PATDVL-10A	127	57	39	93	13	26
PATENH-01A_vs_PATENH-11A	267	36	31	277	9	41
PATFXW-01A_vs_PATFXW-10A	121	46	13	196	51	55
PATFZZ-01A_vs_PATFZZ-10A	156	78	47	149	65	59
PATXEE-01A_vs_PATXEE-10A	209	48	25	161	16	24
PATXKA-01A_vs_PATXKA-10A	155	62	41	70	67	47
PAUCGJ-01A_vs_PAUCGJ-10A	405	132	33	78	45	133
PAUDPV-01A_vs_PAUDPV-11A	113	45	4	66	17	41
PAUEKW-01A_vs_PAUEKW-10A	222	323	88	515	95	24
PAUFVP-01A_vs_PAUFVP-11A	219	89	47	248	66	35
PAUGYZ-01A_vs_PAUGYZ-10A	206	0	32	144	48	5
PAUHAZ-01A_vs_PAUHAZ-10A	65	5	22	119	35	13
PAUNPA-01A_vs_PAUNPA-11A	465	0	49	204	35	8
