Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.97	428.566	22.415%	63.75	24.564%	0.03899	0.929
AX4914_vs_AX4895	956	0.948	275.82	28.851%	41.762	31.815%	0.07927	0.88
AX4915_vs_AX4895	3472	0.964	726.972	20.938%	117.778	26.878%	0.0369	0.893
AX4916_vs_AX4896	533	0.838	265.71	49.852%	46.553	54.806%	0.22675	0.709
AX4918_vs_AX4897	2626	0.982	463.313	17.643%	64.686	18.812%	0.02536	0.955
AX4921_vs_AX4898	1234	0.963	318.089	25.777%	47.468	27.337%	0.06348	0.927
AX4922_vs_AX4899	4398	0.988	642.337	14.605%	114.049	15.309%	0.01807	0.982
AX4923_vs_AX4906	2859	0.957	764.448	26.738%	102.297	28.886%	0.05606	0.861
AX4924_vs_AX4901	209	0.551	226.168	108.214%	44.027	83.668%	0.92114	0.421
AX4925_vs_AX4901	863	0.904	317.389	36.777%	49.317	42.762%	0.12169	0.75
AX4926_vs_AX4904	181	0.511	213.314	117.853%	46.796	86.555%	1.13856	0.434
AX4927_vs_AX4905	1745	0.981	304.521	17.451%	44.521	19.233%	0.03118	0.955
AX4928_vs_AQ5174	1675	0.954	453.83	27.094%	62.721	29.976%	0.06325	0.854
AX4929_vs_AQ5174	258	0.592	257.753	99.904%	50.504	80.975%	0.78615	0.477
AX4930_vs_AX4900	1106	0.961	315.991	28.571%	47.139	27.972%	0.07931	0.93
AX4931_vs_AX4907	268	0.743	192.972	72.004%	30.405	66.925%	0.41129	0.548
AX4932_vs_AX4908	851	0.957	274.702	32.28%	39.93	28.986%	0.08025	0.928
AX4933_vs_AX4909	1146	0.92	434.408	37.906%	57.781	39.167%	0.13973	0.766
AX4934_vs_AX4909	531	0.872	255.147	48.05%	38.759	49.038%	0.19534	0.745
AX4935_vs_AX4910	2613	0.965	688.127	26.335%	125.501	26.585%	0.06636	0.95
AX4936_vs_AX4911	685	0.931	243.236	35.509%	34.623	36.518%	0.10369	0.843
AX4937_vs_AX4894	1783	0.969	402.522	22.576%	59.487	24.727%	0.03988	0.926
AX4938_vs_AX4896	251	0.926	107.185	42.703%	14.284	37.813%	0.17959	0.857
AX4940_vs_AX4904	1000	0.939	306.73	30.673%	42.543	34.725%	0.08132	0.795
AX4942_vs_AX4898	2118	0.974	434.059	20.494%	63.285	22.643%	0.03798	0.937
AX4943_vs_AX4898	2216	0.977	425.035	19.18%	62.86	21.431%	0.03503	0.944
AX4944_vs_AX4897	2774	0.981	469.585	16.928%	70.582	19.338%	0.0245	0.953
AX4945_vs_AX4898	831	0.972	207.429	24.961%	27.851	23.564%	0.05873	0.943
AX4946_vs_AX4895	4856	0.993	560.406	11.54%	82.449	12.129%	0.01225	0.985
AX4947_vs_AX4895	4663	0.99	591.125	12.677%	94.151	14.546%	0.0145	0.978
AX4951_vs_AX4903	832	0.972	249.474	29.985%	33.789	23.669%	0.09381	0.956
AX4958_vs_AQ5174	3245	0.985	490.341	15.111%	71.827	17.644%	0.01911	0.956
