Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.947	461.366	29.746%	70.971	32.409%	0.06684	0.89
AX4914_vs_AX4895	686	0.931	240.289	35.028%	35.762	36.652%	0.11688	0.857
AX4915_vs_AX4895	2989	0.949	711.363	23.799%	122.138	32.011%	0.04621	0.863
AX4916_vs_AX4896	128	0.787	91.418	71.42%	14.268	61.976%	0.45566	0.671
AX4918_vs_AX4897	2334	0.936	589.056	25.238%	109.435	35.277%	0.06198	0.835
AX4921_vs_AX4898	717	0.95	240.308	33.516%	33.745	32.365%	0.09357	0.914
AX4922_vs_AX4899	4398	0.985	817.906	18.597%	129.075	17.326%	0.02787	0.976
AX4923_vs_AX4906	2563	0.918	818.612	31.94%	128.53	40.547%	0.08114	0.748
AX4924_vs_AX4901	209	0.473	238.972	114.341%	46.408	88.192%	1.03907	0.274
AX4925_vs_AX4901	174	0.883	94.156	54.113%	11.705	47.008%	0.2847	0.742
AX4926_vs_AX4904	181	0.428	217.987	120.435%	48.86	90.373%	1.24596	0.275
AX4927_vs_AX4905	772	0.974	171.136	22.168%	23.244	22.543%	0.0513	0.937
AX4928_vs_AQ5174	1357	0.907	501.692	36.971%	72.974	43.395%	0.10968	0.721
AX4929_vs_AQ5174	258	0.476	277.517	107.565%	54.944	88.094%	0.94477	0.255
AX4930_vs_AX4900	607	0.907	277.191	45.666%	45.672	44.167%	0.19669	0.875
AX4931_vs_AX4907	268	0.667	208.587	77.831%	33.996	74.83%	0.50447	0.381
AX4932_vs_AX4908	532	0.838	271.706	51.073%	51.219	55.205%	0.22398	0.75
AX4933_vs_AX4909	189	0.859	109.75	58.069%	15.288	51.332%	0.31974	0.746
AX4934_vs_AX4909	106	0.785	82.239	77.584%	11.173	62.072%	0.55003	0.635
AX4935_vs_AX4910	768	0.753	354.728	46.189%	91.381	66.028%	0.23035	0.607
AX4936_vs_AX4911	685	0.903	266.896	38.963%	40.783	43.015%	0.13035	0.771
AX4937_vs_AX4894	1512	0.956	408.954	27.047%	62.301	29.663%	0.05658	0.904
AX4938_vs_AX4896	158	0.856	89.234	56.477%	13.157	52.008%	0.30207	0.748
AX4940_vs_AX4904	871	0.929	295.639	33.942%	40.701	38.112%	0.09996	0.777
AX4942_vs_AX4898	2011	0.951	534.084	26.558%	81.923	30.894%	0.05405	0.873
AX4943_vs_AX4898	2147	0.948	602.104	28.044%	90.094	31.848%	0.05741	0.864
AX4944_vs_AX4897	2153	0.928	566.585	26.316%	106.746	37.231%	0.07156	0.816
AX4945_vs_AX4898	804	0.956	256.974	31.962%	35.052	30.532%	0.08175	0.921
AX4946_vs_AX4895	4399	0.893	1479.527	33.633%	275.349	44.922%	0.0928	0.752
AX4947_vs_AX4895	4293	0.895	1405.423	32.738%	265.271	44.595%	0.08812	0.752
AX4951_vs_AX4903	152	0.767	118.279	77.815%	19.982	65.174%	0.58386	0.687
AX4958_vs_AQ5174	2943	0.936	874.259	29.706%	131.763	35.817%	0.06418	0.809
AX4961_vs_AQ5174	2983	0.936	889.661	29.824%	133.428	36.136%	0.065	0.804
DIAF_vs_BLOOD	1244	0.975	264.151	21.234%	34.875	22.172%	0.04149	0.927
HK_vs_BLOOD	18	0.524	27.779	154.328%	5.014	85.989%	1.80881	0.466
