Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.955	438.364	28.263%	65.249	29.796%	0.05988	0.903
AX4914_vs_AX4895	686	0.95	206.286	30.071%	30.437	31.195%	0.09433	0.895
AX4915_vs_AX4895	2989	0.95	703.383	23.532%	122.209	32.03%	0.04656	0.865
AX4916_vs_AX4896	128	0.856	86.607	67.662%	11.914	51.751%	0.40209	0.778
AX4918_vs_AX4897	2334	0.971	509.746	21.84%	75.019	24.183%	0.03768	0.932
AX4921_vs_AX4898	717	0.964	198.889	27.739%	27.868	26.728%	0.07111	0.929
AX4922_vs_AX4899	4398	0.987	697.967	15.87%	119.427	16.031%	0.02108	0.98
AX4923_vs_AX4906	2563	0.935	774.035	30.2%	113.825	35.908%	0.07321	0.79
AX4924_vs_AX4901	209	0.531	226.279	108.267%	44.586	84.73%	0.91981	0.377
AX4925_vs_AX4901	174	0.875	95.517	54.895%	12.104	48.611%	0.2942	0.726
AX4926_vs_AX4904	181	0.51	205.571	113.575%	46.678	86.337%	1.07534	0.413
AX4927_vs_AX4905	772	0.974	172.201	22.306%	23.506	22.797%	0.05438	0.936
AX4928_vs_AQ5174	1357	0.902	506.372	37.316%	74.537	44.324%	0.11513	0.693
AX4929_vs_AQ5174	258	0.572	256.488	99.414%	51.159	82.025%	0.76293	0.428
AX4930_vs_AX4900	607	0.968	189.436	31.209%	27.18	26.284%	0.09785	0.953
AX4931_vs_AX4907	268	0.692	197.071	73.534%	32.84	72.285%	0.46242	0.435
AX4932_vs_AX4908	532	0.96	179.877	33.811%	25.993	28.016%	0.11989	0.938
AX4933_vs_AX4909	189	0.907	95.876	50.728%	12.595	42.29%	0.27906	0.834
AX4934_vs_AX4909	106	0.829	74.524	70.306%	10.075	55.972%	0.5044	0.715
AX4935_vs_AX4910	768	0.779	362.852	47.246%	86.859	62.76%	0.21007	0.652
AX4936_vs_AX4911	685	0.929	242.025	35.332%	35.176	37.101%	0.10353	0.837
AX4937_vs_AX4894	1512	0.96	398.693	26.369%	58.867	28.028%	0.05336	0.912
AX4938_vs_AX4896	158	0.891	86.02	54.443%	11.463	45.311%	0.27929	0.809
AX4940_vs_AX4904	871	0.926	304.347	34.942%	41.434	38.798%	0.10547	0.77
AX4942_vs_AX4898	2011	0.97	420.371	20.904%	64.64	24.376%	0.04013	0.923
AX4943_vs_AX4898	2147	0.973	423.898	19.744%	65.378	23.111%	0.03738	0.931
AX4944_vs_AX4897	2153	0.973	452.02	20.995%	67.22	23.445%	0.03819	0.937
AX4945_vs_AX4898	804	0.97	204.625	25.451%	28.096	24.473%	0.06124	0.939
AX4946_vs_AX4895	4399	0.991	572.031	13.004%	83.109	13.559%	0.01635	0.98
AX4947_vs_AX4895	4293	0.988	615.781	14.344%	90.695	15.247%	0.01749	0.975
AX4951_vs_AX4903	152	0.919	85.552	56.284%	12.092	39.44%	0.38003	0.889
AX4958_vs_AQ5174	2943	0.974	582.523	19.794%	86.342	23.47%	0.03513	0.93
AX4961_vs_AQ5174	2983	0.978	583.541	19.562%	82.142	22.246%	0.03601	0.942
