NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	280.434	51.044	41.66	43.084	0.311	0.8	90000.0
2	282.67	50.9	41.427	43.066	0.308	0.8	80000.0
3	284.658	51.86	42.588	44.165	0.318	0.792	40000.0
4	284.196	52.246	42.834	44.691	0.317	0.782	50000.0
5	278.814	51.044	41.127	43.055	0.311	0.797	80000.0
6	282.193	50.771	42.227	43.442	0.299	0.8	60000.0
7	281.348	50.914	41.838	43.092	0.303	0.799	90000.0
8	282.735	50.75	42.266	43.112	0.296	0.805	250000.0
9	284.609	51.445	42.555	43.807	0.311	0.792	90000.0
10	284.294	51.365	42.662	43.877	0.313	0.794	60000.0
11	283.249	52.003	42.626	44.393	0.318	0.788	120000.0
12	298.716	53.425	46.108	46.114	0.321	0.777	50000.0
13	286.738	51.926	43.027	44.406	0.314	0.789	60000.0
14	282.914	51.023	42.107	43.653	0.303	0.793	40000.0
15	282.65	51.001	42.015	43.362	0.304	0.798	130000.0
16	281.501	51.252	41.826	43.691	0.309	0.791	30000.0
17	282.351	50.723	42.356	43.162	0.303	0.8	80000.0
18	284.14	51.519	42.444	44.033	0.305	0.79	110000.0
19	284.016	51.775	42.144	44.036	0.315	0.789	50000.0
20	281.944	51.148	42.098	43.322	0.303	0.798	70000.0
21	287.279	51.867	42.662	43.741	0.315	0.795	80000.0
22	284.763	51.318	42.466	43.693	0.307	0.795	60000.0
23	282.198	51.117	41.82	43.27	0.305	0.797	80000.0
24	282.327	51.32	42.297	43.899	0.314	0.79	50000.0
25	276.54	50.298	41.126	42.847	0.302	0.801	140000.0
26	279.661	50.79	41.79	43.154	0.308	0.797	30000.0
27	283.46	51.616	42.441	43.897	0.315	0.79	70000.0
28	280.301	50.873	41.768	43.451	0.305	0.799	40000.0
29	283.666	51.335	42.247	43.825	0.31	0.792	90000.0
30	285.713	50.921	43.098	43.569	0.309	0.8	60000.0
31	282.449	50.882	42.378	43.308	0.299	0.802	100000.0
32	282.653	51.494	41.546	43.624	0.31	0.794	60000.0
33	285.768	51.688	42.884	44.332	0.316	0.788	40000.0
34	284.278	51.436	42.648	43.785	0.308	0.797	50000.0
35	283.415	51.509	42.155	43.612	0.309	0.796	60000.0
36	282.553	51.411	42.215	43.586	0.306	0.797	50000.0
37	284.268	50.971	42.733	43.468	0.305	0.797	90000.0
38	283.362	51.182	41.656	42.741	0.313	0.802	80000.0
39	283.007	51.159	41.785	43.229	0.309	0.798	40000.0
40	283.986	51.747	42.36	44.187	0.309	0.788	20000.0
41	283.566	51.714	42.347	43.814	0.318	0.793	40000.0
42	279.862	51.046	41.674	43.291	0.309	0.796	70000.0
43	282.968	51.794	42.251	43.803	0.319	0.793	30000.0
44	282.426	51.388	41.899	43.568	0.311	0.793	120000.0
45	281.149	51.286	41.801	43.258	0.312	0.8	100000.0
46	282.636	50.968	42.566	43.793	0.309	0.792	40000.0
47	280.096	51.668	41.733	43.954	0.317	0.789	60000.0
48	280.252	50.985	42.286	43.638	0.315	0.794	30000.0
49	278.914	51.013	41.492	43.508	0.306	0.796	180000.0
50	278.071	50.606	41.802	43.167	0.301	0.803	30000.0
51	285.467	51.888	42.694	43.608	0.313	0.797	40000.0
52	297.463	49.744	45.941	42.7	0.29	0.808	60000.0
53	280.871	51.415	42.201	43.546	0.311	0.797	60000.0
54	283.042	51.501	42.519	43.588	0.317	0.796	70000.0
55	282.554	51.112	42.581	43.436	0.311	0.795	90000.0
56	281.131	51.645	41.613	43.97	0.312	0.79	50000.0
57	282.616	51.131	42.373	43.387	0.307	0.801	80000.0
58	284.645	52.303	42.057	44.033	0.319	0.79	160000.0
59	282.284	51.368	42.066	43.828	0.311	0.791	70000.0
60	286.013	51.616	42.457	44.082	0.313	0.791	60000.0
61	281.652	50.688	42.336	43.45	0.302	0.797	80000.0
62	282.365	51.482	42.374	43.725	0.313	0.794	120000.0
63	283.128	50.929	41.899	42.849	0.306	0.806	50000.0
64	302.724	51.079	46.181	43.069	0.307	0.806	110000.0
65	280.971	51.242	41.423	43.213	0.308	0.797	40000.0
66	282.023	50.804	41.96	43.121	0.299	0.802	60000.0
67	282.733	50.653	42.046	42.78	0.298	0.804	90000.0
68	282.997	51.742	41.895	43.761	0.308	0.793	70000.0
69	278.075	50.963	41.895	43.277	0.307	0.8	70000.0
70	285.532	51.838	42.497	43.581	0.318	0.794	70000.0
71	282.29	50.936	42.156	43.583	0.306	0.793	60000.0
72	283.777	51.407	42.146	43.596	0.307	0.796	50000.0
73	283.365	51.561	42.207	43.721	0.319	0.793	130000.0
74	282.259	50.739	42.443	43.156	0.303	0.803	60000.0
75	284.956	51.995	41.775	43.664	0.318	0.791	60000.0
76	286.331	51.498	42.468	43.341	0.317	0.796	130000.0
77	282.061	50.511	42.103	43.124	0.297	0.803	90000.0
78	283.586	51.463	41.998	43.638	0.309	0.792	40000.0
79	283.174	51.292	42.068	43.661	0.304	0.795	40000.0
80	281.727	50.785	42.135	43.408	0.313	0.797	50000.0
81	282.602	51.288	42.409	43.805	0.311	0.792	100000.0
