Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.969	371.659	23.963%	53.976	24.648%	0.04578	0.934
AX4914_vs_AX4895	686	0.957	200.609	29.243%	28.424	29.132%	0.08609	0.908
AX4915_vs_AX4895	2989	0.96	622.285	20.819%	107.064	28.061%	0.03931	0.886
AX4916_vs_AX4896	128	0.867	84.701	66.173%	11.476	49.849%	0.38846	0.796
AX4918_vs_AX4897	2334	0.981	430.45	18.443%	60.217	19.412%	0.02943	0.953
AX4921_vs_AX4898	717	0.974	172.328	24.035%	23.563	22.599%	0.05449	0.949
AX4922_vs_AX4899	4398	0.987	635.698	14.454%	118.22	15.869%	0.01919	0.98
AX4923_vs_AX4906	2563	0.964	594.621	23.2%	84.279	26.587%	0.04531	0.885
AX4924_vs_AX4901	209	0.967	86.901	41.579%	14.015	26.634%	0.22935	0.961
AX4925_vs_AX4901	174	0.892	89.176	51.251%	11.285	45.322%	0.27507	0.765
AX4926_vs_AX4904	181	0.966	91.852	50.747%	17.884	33.079%	0.25693	0.968
AX4927_vs_AX4905	772	0.976	162.042	20.99%	22.283	21.611%	0.04955	0.942
AX4928_vs_AQ5174	1357	0.957	360.283	26.55%	48.99	29.132%	0.05877	0.859
AX4929_vs_AQ5174	258	0.981	81.662	31.652%	12.505	20.05%	0.1268	0.977
AX4930_vs_AX4900	607	0.977	157.259	25.908%	22.113	21.384%	0.08182	0.964
AX4931_vs_AX4907	268	0.921	120.501	44.963%	17.657	38.865%	0.2035	0.874
AX4932_vs_AX4908	532	0.975	150.644	28.317%	20.726	22.339%	0.08609	0.961
AX4933_vs_AX4909	189	0.91	93.494	49.468%	12.434	41.749%	0.27264	0.842
AX4934_vs_AX4909	106	0.835	74.248	70.045%	9.959	55.328%	0.48944	0.727
AX4935_vs_AX4910	768	0.817	373.05	48.574%	79.878	57.716%	0.19224	0.716
AX4936_vs_AX4911	685	0.969	181.457	26.49%	23.581	24.872%	0.06973	0.93
AX4937_vs_AX4894	1512	0.973	335.617	22.197%	48.136	22.919%	0.03985	0.942
AX4938_vs_AX4896	158	0.894	85.878	54.353%	11.313	44.719%	0.27929	0.814
AX4940_vs_AX4904	871	0.943	265.435	30.475%	35.648	33.38%	0.07932	0.805
AX4942_vs_AX4898	2011	0.979	390.51	19.419%	54.88	20.696%	0.03242	0.946
AX4943_vs_AX4898	2147	0.981	384.925	17.929%	54.947	19.423%	0.03014	0.952
AX4944_vs_AX4897	2153	0.983	385.086	17.886%	53.419	18.632%	0.03061	0.957
AX4945_vs_AX4898	804	0.977	184.442	22.941%	24.408	21.261%	0.04857	0.953
AX4946_vs_AX4895	4399	0.994	441.073	10.027%	65.75	10.727%	0.00916	0.988
AX4947_vs_AX4895	4293	0.992	478.681	11.15%	73.516	12.359%	0.00899	0.983
AX4951_vs_AX4903	152	0.929	82.602	54.343%	11.425	37.264%	0.34481	0.903
AX4958_vs_AQ5174	2943	0.989	390.703	13.276%	53.473	14.536%	0.01564	0.968
AX4961_vs_AQ5174	2983	0.991	373.786	12.531%	50.779	13.752%	0.01626	0.971
DIAF_vs_BLOOD	1244	0.98	240.38	19.323%	31.55	20.058%	0.03488	0.941
HK_vs_BLOOD	18	0.716	20.477	113.761%	4.11	70.486%	1.38726	0.679
LNMETA_vs_BLOOD	867	0.975	203.395	23.46%	25.437	22.2%	0.0541	0.937
LN_vs_BLOOD	562	0.963	163.118	29.025%	20.716	26.924%	0.08658	0.915
OMEN_vs_BLOOD	867	0.975	203.241	23.442%	25.942	22.305%	0.05493	0.939
PABKLN-01A_vs_PABKLN-11A	810	0.959	216.404	26.717%	31.61	28.35%	0.06641	0.906
PADWRZ-01A_vs_PADWRZ-10A	621	0.958	180.888	29.129%	23.875	28.579%	0.07713	0.899
PADYZI-01A_vs_PADYZI-10A	1152	0.996	156.04	13.545%	39.802	10.971%	0.01448	0.995
PAEHIP-01A_vs_PAEHIP-10A	180	0.94	88.208	49.004%	12.222	34.108%	0.27061	0.918
PAJLWM-01A_vs_PAJLWM-11A	258	0.932	112.454	43.587%	14.398	36.176%	0.19439	0.876
PAJMBW-01A_vs_PAJMBW-10A	589	0.97	178.684	30.337%	24.233	24.423%	0.10677	0.953
PAJMRB-01A_vs_PAJMRB-11A	312	0.938	135.347	43.38%	19.652	34.686%	0.1866	0.909
PAJNER-01A_vs_PAJNER-11A	241	0.921	101.545	42.135%	13.562	39.004%	0.19712	0.834
PAJNFP-01A_vs_PAJNFP-11A	682	0.967	182.341	26.736%	23.215	25.442%	0.07772	0.919
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.963	181.767	30.756%	23.391	27.186%	0.09641	0.927
PAKHTL-01A_vs_PAKHTL-11A	850	0.974	192.411	22.637%	28.323	22.681%	0.05889	0.95
PAKLYZ-01A_vs_PAKLYZ-10A	1131	0.956	328.226	29.021%	48.055	29.421%	0.06817	0.913
PAKTCT-01A_vs_PAKTCT-11A	888	0.976	196.264	22.102%	25.048	21.685%	0.0551	0.937
PARECB-01A_vs_PARECB-11A	276	0.913	120.254	43.57%	15.754	40.895%	0.19144	0.8
PAREWI-01A_vs_PAREWI-11A	347	0.943	129.727	37.385%	17.016	33.212%	0.15736	0.888
PARGRN-01A_vs_PARGRN-10A	304	0.936	110.236	36.262%	15.229	35.33%	0.14166	0.862
PARIRN-01A_vs_PARIRN-10A	642	0.964	190.431	29.662%	26.33	26.742%	0.08277	0.934
PARPFY-01A_vs_PARPFY-11A	498	0.941	168.337	33.803%	23.122	33.908%	0.10774	0.862
PARRCL-01A_vs_PARRCL-11A	509	0.954	156.952	30.835%	20.804	29.987%	0.08248	0.892
PARTKH-01A_vs_PARTKH-10A	538	0.938	180.503	33.551%	24.794	34.644%	0.11038	0.842
PARUGK-01A_vs_PARUGK-10A	355	0.939	133.601	37.634%	17.783	34.63%	0.14668	0.877
PARZBI-01A_vs_PARZBI-11A	587	0.964	168.667	28.734%	21.737	26.654%	0.0731	0.92
PARZRH-01A_vs_PARZRH-10A	930	0.978	206.039	22.155%	27.728	21.033%	0.04773	0.954
PASABD-01A_vs_PASABD-10A	318	0.927	131.741	41.428%	17.358	37.628%	0.16032	0.849
PASADZ-01A_vs_PASADZ-10A	592	0.954	175.641	29.669%	24.298	29.95%	0.08371	0.896
PASCDH-01A_vs_PASCDH-10A	241	0.94	94.887	39.372%	12.314	34.14%	0.18186	0.885
PASDLA-01A_vs_PASDLA-11A	282	0.921	116.985	41.484%	16.088	38.928%	0.17907	0.84
PASGCL-01A_vs_PASGCL-10A	513	0.963	154.906	30.196%	20.777	27.075%	0.09682	0.929
PASRHU-01A_vs_PASRHU-10A	228	0.96	86.478	37.929%	11.733	27.904%	0.21048	0.942
PASVDP-01A_vs_PASVDP-10A	365	0.931	138.293	37.888%	19.142	36.629%	0.15142	0.854
PASWZZ-01A_vs_PASWZZ-10A	224	0.926	100.973	45.077%	13.108	37.745%	0.23518	0.866
PASXNA-01A_vs_PASXNA-11A	496	0.947	160.566	32.372%	21.104	32.251%	0.09338	0.863
PASYNF-01A_vs_PASYNF-10A	336	0.956	122.331	36.408%	15.908	29.469%	0.14336	0.925
PASZYE-01A_vs_PASZYE-10A	491	0.961	151.233	30.801%	19.381	27.735%	0.10506	0.917
PATAFT-01A_vs_PATAFT-10A	382	0.929	139.892	36.621%	17.727	37.273%	0.12138	0.773
PATBLF-01A_vs_PATBLF-10A	725	0.974	171.784	23.694%	23.33	22.695%	0.05772	0.946
PATDVL-01A_vs_PATDVL-10A	355	0.94	133.979	37.741%	17.131	34.338%	0.14885	0.868
PATENH-01A_vs_PATENH-11A	661	0.976	163.873	24.792%	22.283	21.791%	0.07213	0.958
PATFXW-01A_vs_PATFXW-10A	482	0.956	157.085	32.59%	21.539	29.327%	0.11415	0.919
PATFZZ-01A_vs_PATFZZ-10A	554	0.948	188.647	34.052%	23.816	31.814%	0.1026	0.874
PATXEE-01A_vs_PATXEE-10A	483	0.946	174.56	36.141%	23.168	32.4%	0.13412	0.895
PATXKA-01A_vs_PATXKA-10A	442	0.939	151.019	34.167%	20.427	34.43%	0.12853	0.848
PAUCGJ-01A_vs_PAUCGJ-10A	826	0.965	211.91	25.655%	28.62	26.124%	0.06083	0.913
PAUDPV-01A_vs_PAUDPV-11A	286	0.903	129.246	45.191%	17.552	43.08%	0.19406	0.788
PAUEKW-01A_vs_PAUEKW-10A	1267	0.988	215.436	17.004%	30.393	15.849%	0.03124	0.977
PAUFVP-01A_vs_PAUFVP-11A	704	0.966	187.191	26.59%	26.18	25.743%	0.07622	0.931
PAUGYZ-01A_vs_PAUGYZ-10A	435	0.952	154.695	35.562%	20.851	31.086%	0.12842	0.915
PAUHAZ-01A_vs_PAUHAZ-10A	259	0.941	103.429	39.934%	13.662	34.123%	0.16953	0.893
PAUNPA-01A_vs_PAUNPA-11A	761	0.963	217.367	28.563%	30.619	26.798%	0.08363	0.931
PAVCKS-01A_vs_PAVCKS-11A	1098	0.98	220.541	20.086%	30.024	20.144%	0.04136	0.953
PAVITI-01A_vs_PAVITI-10A	717	0.969	184.785	25.772%	24.909	24.723%	0.06745	0.934
PAVYDM-01A_vs_PAVYDM-11A	480	0.942	150.984	31.455%	20.883	33.797%	0.09853	0.837
PAVYKD-01A_vs_PAVYKD-10A	295	0.923	124.789	42.301%	16.232	38.506%	0.176	0.835
PAWDGA-01A_vs_PAWDGA-11A	792	0.91	289.654	36.572%	47.935	41.468%	0.11904	0.816
PAWFBL-01A_vs_PAWFBL-11A	610	0.963	176.125	28.873%	23.492	27.076%	0.07474	0.921
PAWFWK-01A_vs_PAWFWK-10A	310	0.916	135.008	43.551%	19.024	40.088%	0.20157	0.843
SJBT030128_D1_vs_SJBT030128_G1	158	0.908	89.603	56.711%	13.673	42.603%	0.32358	0.878
