NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	386.56	47.567	58.025	42.69	0.266	0.793	250000.0
2	379.975	48.998	58.601	44.22	0.269	0.793	90000.0
3	390.128	50.026	61.644	45.16	0.281	0.782	60000.0
4	374.726	49.491	58.047	43.983	0.278	0.793	70000.0
5	380.626	47.372	56.279	42.126	0.269	0.799	280000.0
6	372.722	48.559	57.529	43.795	0.274	0.781	30000.0
7	372.724	49.537	58.076	44.207	0.282	0.79	150000.0
8	382.735	49.414	59.616	44.515	0.287	0.784	40000.0
9	385.782	49.433	60.294	44.506	0.275	0.786	100000.0
10	385.474	49.976	60.572	45.568	0.283	0.772	100000.0
11	370.13	47.073	55.784	41.559	0.256	0.808	80000.0
12	372.406	47.812	56.894	42.585	0.266	0.797	80000.0
13	380.671	48.837	58.344	43.958	0.268	0.795	50000.0
14	373.372	48.858	58.224	43.98	0.286	0.788	70000.0
15	367.37	47.278	56.076	41.962	0.263	0.8	90000.0
16	374.267	49.5	58.122	44.377	0.278	0.789	60000.0
17	374.5	49.493	57.688	44.206	0.282	0.786	60000.0
18	373.532	49.172	57.739	43.892	0.273	0.795	30000.0
19	376.431	50.011	58.569	45.007	0.286	0.776	50000.0
20	383.834	49.227	59.618	44.303	0.268	0.797	90000.0
21	382.412	49.665	59.71	44.747	0.278	0.782	70000.0
22	371.304	48.467	57.598	43.572	0.267	0.797	100000.0
23	377.814	49.169	57.265	43.937	0.274	0.791	80000.0
24	377.033	49.45	58.166	43.989	0.273	0.793	40000.0
25	382.08	49.492	59.87	45.182	0.277	0.773	80000.0
26	369.412	48.008	57.091	42.85	0.268	0.795	30000.0
27	385.82	47.83	57.455	42.687	0.262	0.798	110000.0
28	385.497	49.819	60.456	44.852	0.271	0.788	40000.0
29	369.143	47.847	57.223	43.149	0.264	0.794	70000.0
30	370.964	47.589	56.058	41.962	0.265	0.804	110000.0
31	373.493	47.704	56.724	42.461	0.267	0.798	40000.0
32	370.239	47.796	56.316	42.177	0.265	0.8	40000.0
33	371.186	48.507	57.195	43.79	0.265	0.784	70000.0
34	384.22	49.48	60.426	44.717	0.278	0.786	40000.0
35	372.426	49.042	57.631	43.96	0.272	0.789	40000.0
36	385.136	49.657	60.648	45.036	0.28	0.78	100000.0
37	373.236	48.077	57.758	43.016	0.272	0.795	80000.0
38	383.659	49.824	58.829	44.518	0.282	0.784	20000.0
39	380.768	48.999	57.847	43.518	0.267	0.798	30000.0
40	369.599	47.447	56.452	42.106	0.259	0.804	30000.0
41	379.16	48.744	57.835	43.813	0.273	0.793	70000.0
42	384.343	50.002	60.532	45.25	0.28	0.781	30000.0
43	379.698	49.738	59.989	45.4	0.279	0.772	110000.0
44	378.313	48.162	58.515	42.848	0.271	0.798	30000.0
45	379.959	49.482	59.423	44.722	0.275	0.782	150000.0
46	373.84	47.943	57.439	42.914	0.259	0.8	90000.0
47	371.191	49.784	57.125	44.96	0.281	0.775	130000.0
48	377.543	48.108	57.803	42.936	0.273	0.793	70000.0
49	374.959	49.012	58.022	44.079	0.278	0.789	50000.0
50	368.497	48.555	57.484	43.443	0.264	0.801	40000.0
51	383.964	49.355	60.487	44.933	0.281	0.778	40000.0
52	375.873	48.645	57.938	43.364	0.273	0.794	100000.0
53	375.654	49.464	58.42	44.203	0.276	0.789	40000.0
54	370.121	47.891	57.315	43.077	0.256	0.797	160000.0
55	374.047	47.315	57.568	42.289	0.259	0.804	60000.0
56	374.755	49.573	58.214	44.596	0.275	0.785	50000.0
57	369.786	47.272	56.408	41.914	0.262	0.806	80000.0
58	374.684	49.023	57.82	44.108	0.273	0.782	70000.0
59	371.719	48.579	57.911	43.636	0.276	0.784	70000.0
60	377.631	48.059	57.791	43.114	0.261	0.795	120000.0
61	370.76	48.041	57.085	42.806	0.262	0.798	110000.0
62	376.227	48.645	57.578	43.424	0.263	0.79	70000.0
63	374.293	48.175	57.569	42.898	0.266	0.795	60000.0
64	384.9	47.644	57.163	42.415	0.264	0.801	40000.0
65	371.967	48.072	57.452	42.967	0.265	0.799	150000.0
66	374.813	48.087	57.933	43.115	0.264	0.793	50000.0
67	373.275	47.982	57.208	42.99	0.26	0.801	290000.0
68	367.941	48.757	56.956	43.38	0.276	0.797	50000.0
69	372.609	49.883	57.374	44.856	0.282	0.777	90000.0
70	374.294	49.359	58.032	44.05	0.27	0.793	50000.0
71	374.178	49.002	57.765	43.881	0.27	0.783	30000.0
72	375.535	49.075	58.422	44.133	0.286	0.777	100000.0
73	373.838	48.522	57.436	42.924	0.273	0.793	20000.0
74	384.509	49.685	60.635	45.079	0.284	0.777	40000.0
75	382.217	49.577	58.367	44.167	0.284	0.793	20000.0
76	378.737	49.298	57.497	43.77	0.277	0.796	40000.0
77	373.273	48.786	57.626	43.582	0.277	0.789	210000.0
78	367.748	47.193	55.772	41.848	0.263	0.803	210000.0
79	372.734	48.095	57.259	43.236	0.269	0.791	180000.0
80	375.567	48.356	57.914	43.484	0.266	0.79	40000.0
81	371.938	48.837	57.616	43.8	0.275	0.791	20000.0
82	374.194	47.948	57.69	42.902	0.263	0.796	50000.0
83	385.811	49.818	60.328	45.121	0.276	0.779	70000.0
84	374.693	49.147	58.059	43.9	0.269	0.795	60000.0
85	371.534	48.791	57.483	43.701	0.275	0.79	70000.0
86	375.357	49.237	57.759	43.933	0.275	0.793	40000.0
87	372.257	48.135	57.72	43.303	0.264	0.793	130000.0
88	382.602	47.58	57.093	42.551	0.266	0.795	90000.0
89	369.504	48.177	56.862	43.014	0.272	0.792	190000.0
90	379.122	49.189	59.562	44.607	0.271	0.787	70000.0
91	367.093	47.987	56.411	42.812	0.266	0.795	80000.0
92	376.38	49.402	58.288	44.531	0.272	0.786	30000.0
93	371.649	47.38	57.104	42.711	0.259	0.798	50000.0
94	376.217	47.592	57.642	42.149	0.261	0.802	30000.0
95	369.821	48.787	57.698	43.759	0.278	0.79	70000.0
96	371.232	47.929	56.684	42.689	0.259	0.801	30000.0
97	373.621	48.117	57.614	43.043	0.257	0.8	120000.0
98	378.622	48.799	58.438	43.291	0.273	0.793	40000.0
99	373.997	49.39	58.003	44.236	0.276	0.789	50000.0
100	368.505	48.694	57.503	43.756	0.267	0.796	90000.0
