Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.978	295.649	19.062%	46.091	21.047%	0.03318	0.953
AX4914_vs_AX4895	686	0.957	200.852	29.279%	28.326	29.031%	0.0876	0.909
AX4915_vs_AX4895	2989	0.978	545.166	18.239%	79.953	20.955%	0.02683	0.937
AX4916_vs_AX4896	128	0.871	85.051	66.446%	11.298	49.075%	0.38272	0.803
AX4918_vs_AX4897	2334	0.992	285.87	12.248%	38.469	12.401%	0.01382	0.981
AX4921_vs_AX4898	717	0.978	161.216	22.485%	21.72	20.832%	0.05314	0.957
AX4922_vs_AX4899	4398	0.986	732.687	16.66%	125.735	16.878%	0.02345	0.977
AX4923_vs_AX4906	2563	0.973	538.528	21.012%	74.165	23.397%	0.03616	0.914
AX4924_vs_AX4901	209	0.969	83.619	40.009%	13.121	24.935%	0.20292	0.963
AX4925_vs_AX4901	174	0.891	90.809	52.189%	11.336	45.526%	0.27872	0.761
AX4926_vs_AX4904	181	0.976	74.31	41.055%	13.117	24.262%	0.22042	0.974
AX4927_vs_AX4905	772	0.978	159.922	20.715%	21.384	20.739%	0.05016	0.947
AX4928_vs_AQ5174	1357	0.975	261.63	19.28%	37.475	22.285%	0.03592	0.921
AX4929_vs_AQ5174	258	0.984	72.015	27.913%	11.026	17.678%	0.11295	0.981
AX4930_vs_AX4900	607	0.982	141.958	23.387%	19.42	18.78%	0.06939	0.973
AX4931_vs_AX4907	268	0.927	117.891	43.989%	17.09	37.617%	0.20393	0.882
AX4932_vs_AX4908	532	0.979	143.659	27.004%	19.096	20.582%	0.0748	0.967
AX4933_vs_AX4909	189	0.91	94.825	50.172%	12.434	41.749%	0.27911	0.841
AX4934_vs_AX4909	106	0.836	73.966	69.779%	9.961	55.339%	0.48529	0.731
AX4935_vs_AX4910	768	0.943	242.079	31.521%	46.278	33.438%	0.07954	0.916
AX4936_vs_AX4911	685	0.973	177.657	25.935%	21.943	23.144%	0.06378	0.94
AX4937_vs_AX4894	1512	0.979	284.524	18.818%	43.019	20.482%	0.03058	0.953
AX4938_vs_AX4896	158	0.9	86.204	54.559%	11.039	43.635%	0.26841	0.824
AX4940_vs_AX4904	871	0.947	253.595	29.115%	34.287	32.106%	0.07408	0.819
AX4942_vs_AX4898	2011	0.982	360.786	17.941%	50.122	18.902%	0.02862	0.956
AX4943_vs_AX4898	2147	0.984	356.41	16.6%	50.13	17.721%	0.02646	0.961
AX4944_vs_AX4897	2153	0.993	242.926	11.283%	32.783	11.434%	0.01353	0.984
AX4945_vs_AX4898	804	0.981	175.083	21.776%	22.536	19.63%	0.04727	0.961
AX4946_vs_AX4895	4399	0.997	335.087	7.617%	47.534	7.755%	0.00572	0.993
AX4947_vs_AX4895	4293	0.997	323.95	7.546%	48.108	8.088%	0.00451	0.993
AX4951_vs_AX4903	152	0.942	76.083	50.055%	10.401	33.924%	0.31853	0.923
AX4958_vs_AQ5174	2943	0.994	313.069	10.638%	41.815	11.367%	0.00982	0.98
AX4961_vs_AQ5174	2983	0.993	319.661	10.716%	43.32	11.732%	0.01211	0.98
DIAF_vs_BLOOD	1244	0.982	228.149	18.34%	29.352	18.66%	0.03019	0.949
HK_vs_BLOOD	18	0.72	19.984	111.022%	4.061	69.646%	1.33937	0.684
LNMETA_vs_BLOOD	867	0.981	173.194	19.976%	22.545	19.676%	0.04218	0.952
LN_vs_BLOOD	562	0.973	136.228	24.24%	17.767	23.092%	0.0647	0.938
OMEN_vs_BLOOD	867	0.982	173.873	20.055%	22.272	19.15%	0.04113	0.956
PABKLN-01A_vs_PABKLN-11A	810	0.967	199.264	24.6%	28.485	25.547%	0.05884	0.926
PADWRZ-01A_vs_PADWRZ-10A	621	0.963	172.914	27.844%	22.367	26.774%	0.07156	0.912
PADYZI-01A_vs_PADYZI-10A	1152	0.996	119.169	10.345%	33.272	9.171%	0.0081	0.996
PAEHIP-01A_vs_PAEHIP-10A	180	0.94	87.031	48.351%	12.225	34.117%	0.26229	0.918
PAJLWM-01A_vs_PAJLWM-11A	258	0.94	108.03	41.872%	13.567	34.088%	0.18367	0.891
PAJMBW-01A_vs_PAJMBW-10A	589	0.972	172.115	29.222%	23.387	23.57%	0.10269	0.956
PAJMRB-01A_vs_PAJMRB-11A	312	0.946	127.069	40.727%	18.483	32.623%	0.17876	0.921
PAJNER-01A_vs_PAJNER-11A	241	0.928	99.066	41.106%	12.96	37.273%	0.18398	0.85
PAJNFP-01A_vs_PAJNFP-11A	682	0.971	173.406	25.426%	21.86	23.957%	0.07053	0.929
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.964	177.286	29.998%	22.881	26.593%	0.09455	0.929
PAKHTL-01A_vs_PAKHTL-11A	850	0.978	194.272	22.856%	26.141	20.934%	0.05744	0.957
PAKLYZ-01A_vs_PAKLYZ-10A	1131	0.971	265.158	23.445%	39.079	23.925%	0.05198	0.941
PAKTCT-01A_vs_PAKTCT-11A	888	0.977	196.118	22.085%	24.478	21.192%	0.05392	0.94
