NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	232.527	44.393	33.5	36.832	0.255	0.854	90000.0
2	233.065	44.021	33.466	36.749	0.252	0.853	80000.0
3	235.09	44.948	34.337	37.769	0.259	0.848	100000.0
4	237.528	45.794	34.572	38.629	0.259	0.837	80000.0
5	232.8	45.043	33.475	37.487	0.253	0.848	90000.0
6	235.57	44.865	33.964	37.472	0.251	0.849	90000.0
7	231.273	44.77	33.021	37.111	0.254	0.849	100000.0
8	237.48	44.25	34.369	36.762	0.241	0.858	50000.0
9	236.163	45.186	34.004	37.573	0.256	0.847	70000.0
10	237.577	44.936	34.715	37.658	0.258	0.849	120000.0
11	238.433	45.463	34.822	38.24	0.258	0.844	100000.0
12	236.191	44.953	34.033	37.891	0.255	0.843	70000.0
13	236.914	45.19	34.489	38.017	0.257	0.845	90000.0
14	235.85	45.18	33.687	37.991	0.251	0.843	90000.0
15	235.92	44.492	33.881	37.205	0.247	0.85	80000.0
16	234.301	44.688	34.052	37.541	0.253	0.847	50000.0
17	233.547	44.208	34.027	37.01	0.249	0.852	50000.0
18	237.027	44.996	34.408	37.675	0.251	0.844	120000.0
19	236.456	45.795	33.743	38.167	0.26	0.843	100000.0
20	233.39	44.629	33.793	37.031	0.249	0.853	120000.0
21	241.686	45.253	34.891	37.769	0.256	0.849	80000.0
22	239.592	45.072	34.484	37.644	0.252	0.848	70000.0
23	233.033	44.561	33.739	37.167	0.252	0.85	110000.0
24	232.629	44.687	33.758	37.413	0.257	0.845	90000.0
25	232.685	44.282	33.507	37.111	0.248	0.855	70000.0
26	232.151	44.101	33.573	36.975	0.249	0.855	50000.0
27	236.846	45.511	34.118	37.968	0.262	0.841	70000.0
28	232.37	44.315	33.099	37.149	0.251	0.85	50000.0
29	235.6	44.839	34.041	37.682	0.258	0.844	80000.0
30	236.816	44.306	34.538	37.196	0.255	0.854	70000.0
31	235.039	44.282	33.646	37.009	0.245	0.855	100000.0
32	234.595	45.06	33.239	37.508	0.253	0.847	110000.0
33	238.053	45.405	34.519	38.1	0.263	0.842	190000.0
34	236.609	44.919	34.031	37.481	0.252	0.849	60000.0
35	236.92	44.698	34.259	37.36	0.248	0.853	50000.0
36	238.161	45.254	34.274	37.724	0.252	0.848	80000.0
37	240.483	44.159	34.946	37.089	0.246	0.851	50000.0
38	237.744	44.892	34.1	37.388	0.253	0.85	80000.0
39	236.174	44.763	33.903	37.404	0.252	0.85	90000.0
40	238.479	45.347	34.669	38.107	0.254	0.842	140000.0
41	233.905	44.811	33.901	37.339	0.258	0.847	80000.0
42	234.49	44.995	33.826	37.42	0.255	0.849	110000.0
43	236.753	45.041	34.372	37.614	0.259	0.849	60000.0
44	235.903	44.369	34.132	37.082	0.248	0.851	70000.0
45	232.12	44.533	33.171	36.612	0.254	0.855	80000.0
46	236.114	44.805	34.439	37.71	0.257	0.844	40000.0
47	233.49	44.892	33.485	37.577	0.257	0.846	90000.0
48	234.3	44.707	34.031	37.406	0.26	0.848	80000.0
49	231.149	44.381	33.234	37.051	0.25	0.853	110000.0
50	233.486	44.431	34.095	37.185	0.25	0.854	60000.0
51	236.903	45.041	34.452	37.302	0.259	0.851	80000.0
52	232.349	44.167	33.725	37.288	0.248	0.848	110000.0
53	233.47	44.776	33.711	37.15	0.253	0.853	50000.0
54	236.611	44.983	34.451	37.447	0.257	0.849	60000.0
55	236.129	44.665	34.564	37.498	0.255	0.849	60000.0
56	236.693	44.727	34.363	37.784	0.252	0.846	90000.0
57	233.637	44.956	33.704	37.418	0.255	0.852	40000.0
58	236.226	45.068	34.067	37.526	0.257	0.847	100000.0
59	236.217	44.321	34.327	37.328	0.25	0.851	70000.0
60	239.681	45.469	34.393	37.838	0.259	0.844	60000.0
61	234.466	44.706	34.227	37.546	0.249	0.85	120000.0
62	235.994	44.778	34.031	37.376	0.251	0.85	60000.0
63	235.915	44.531	34.278	37.366	0.249	0.852	90000.0
64	239.882	45.6	34.465	37.824	0.262	0.847	60000.0
65	233.286	44.811	33.363	37.112	0.253	0.85	100000.0
66	231.44	44.227	33.494	36.935	0.244	0.853	50000.0
67	230.644	44.339	33.223	36.912	0.25	0.855	70000.0
68	239.044	44.786	34.659	37.495	0.247	0.849	50000.0
69	233.122	44.415	33.832	37.021	0.251	0.852	90000.0
70	238.212	45.718	34.214	37.853	0.26	0.844	70000.0
71	235.133	44.167	34.013	37.112	0.248	0.851	60000.0
72	234.926	44.836	33.74	37.288	0.253	0.85	120000.0
73	237.213	45.269	34.39	37.818	0.266	0.844	200000.0
74	235.066	44.619	33.946	36.955	0.247	0.858	90000.0
75	234.581	44.855	33.31	37.195	0.26	0.847	90000.0
76	234.591	44.853	34.237	37.623	0.259	0.846	50000.0
77	232.571	44.065	33.646	37.115	0.247	0.852	110000.0
78	237.97	44.792	34.227	37.409	0.253	0.847	50000.0
79	237.218	45.084	33.915	37.609	0.252	0.847	70000.0
80	232.019	44.832	33.255	37.451	0.258	0.849	60000.0
81	235.948	45.145	34.477	37.872	0.257	0.845	90000.0
82	238.845	45.175	34.482	37.792	0.251	0.848	110000.0
83	232.46	44.227	33.71	37.209	0.243	0.849	100000.0
84	234.464	45.232	34.226	37.664	0.259	0.848	70000.0
85	237.809	45.043	34.578	37.771	0.252	0.846	110000.0
