NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	142.331	81.266	21.051	59.941	0.668	0.644	50000.0
2	144.801	82.131	21.601	60.33	0.684	0.637	40000.0
3	142.093	81.901	20.911	59.703	0.676	0.645	30000.0
4	142.033	81.227	21.187	59.581	0.666	0.65	30000.0
5	142.115	81.763	21.252	59.766	0.674	0.648	30000.0
6	142.492	81.508	21.274	59.556	0.676	0.646	20000.0
7	143.052	80.31	21.426	59.026	0.658	0.659	30000.0
8	142.202	81.73	21.052	59.566	0.674	0.642	30000.0
9	143.568	81.501	21.378	59.14	0.663	0.66	20000.0
10	144.358	81.639	21.559	59.515	0.672	0.652	40000.0
11	142.302	81.276	21.124	59.11	0.675	0.651	60000.0
12	145.55	81.517	21.403	59.29	0.672	0.651	20000.0
13	141.634	80.155	21.139	58.836	0.656	0.653	30000.0
14	141.527	80.948	21.02	59.329	0.66	0.653	30000.0
15	139.54	81.162	20.594	58.925	0.668	0.654	30000.0
16	142.858	82.273	21.52	60.565	0.688	0.634	30000.0
17	144.066	81.628	21.601	59.988	0.668	0.643	20000.0
18	141.086	81.156	20.93	59.506	0.667	0.645	50000.0
19	144.437	81.873	21.743	59.902	0.675	0.648	20000.0
20	141.381	81.362	20.884	59.564	0.67	0.648	30000.0
21	144.316	81.969	21.527	60.172	0.682	0.645	40000.0
22	141.458	80.857	20.965	59.608	0.668	0.646	30000.0
23	138.277	80.565	20.122	58.862	0.655	0.652	40000.0
24	143.512	81.402	21.397	59.36	0.68	0.655	30000.0
25	143.742	82.465	21.16	59.94	0.681	0.644	40000.0
26	142.844	81.396	21.33	59.577	0.675	0.649	40000.0
27	139.773	79.904	20.742	58.306	0.651	0.666	30000.0
28	140.586	81.7	20.923	59.976	0.673	0.637	40000.0
29	142.612	80.802	21.474	59.492	0.654	0.655	30000.0
30	139.774	80.142	20.402	58.275	0.666	0.658	40000.0
31	141.996	81.34	21.287	59.617	0.676	0.651	30000.0
32	142.322	81.322	21.286	59.542	0.672	0.654	50000.0
33	142.346	80.969	21.422	59.874	0.668	0.648	30000.0
34	142.7	81.167	21.036	59.426	0.67	0.647	40000.0
35	139.328	80.562	20.772	59.245	0.664	0.656	40000.0
36	142.636	81.995	21.478	59.937	0.682	0.647	40000.0
37	144.313	80.908	21.615	59.337	0.662	0.657	60000.0
38	144.52	81.271	21.513	59.781	0.67	0.645	30000.0
39	144.076	80.99	21.396	59.608	0.652	0.657	20000.0
40	141.747	79.838	21.133	58.83	0.659	0.657	40000.0
41	144.025	82.44	21.44	60.211	0.681	0.645	50000.0
42	140.168	81.276	20.871	59.571	0.665	0.649	40000.0
43	143.807	82.413	21.515	60.418	0.686	0.631	60000.0
44	144.866	81.486	21.712	60.204	0.67	0.643	50000.0
45	140.726	80.274	21.122	59.49	0.655	0.653	20000.0
46	143.84	81.304	21.535	59.133	0.668	0.66	50000.0
47	143.477	81.415	21.342	59.962	0.68	0.639	30000.0
48	141.76	79.756	21.355	58.709	0.654	0.668	20000.0
49	144.194	80.749	21.467	58.981	0.662	0.659	30000.0
50	145.072	81.295	21.561	59.735	0.661	0.646	40000.0
51	142.023	80.655	21.104	59.283	0.66	0.653	40000.0
52	144.308	81.459	21.805	59.979	0.677	0.647	20000.0
53	144.095	81.368	21.548	60.144	0.676	0.644	20000.0
54	141.591	81.143	21.039	59.403	0.666	0.646	20000.0
55	141.138	80.586	21.006	59.471	0.658	0.652	40000.0
56	142.374	81.255	21.08	58.919	0.673	0.658	30000.0
57	142.438	82.246	21.218	60.042	0.688	0.636	30000.0
58	143.771	83.741	21.388	61.237	0.695	0.628	20000.0
59	142.399	82.742	21.267	60.56	0.69	0.633	50000.0
60	141.353	81.909	20.987	59.885	0.679	0.646	20000.0
61	141.695	81.471	21.158	59.733	0.662	0.649	30000.0
62	141.573	81.494	20.882	59.611	0.677	0.645	50000.0
63	142.67	80.553	21.457	59.955	0.664	0.644	50000.0
64	139.964	81.635	20.513	59.132	0.685	0.648	40000.0
65	140.967	81.853	21.16	60.386	0.689	0.634	40000.0
66	143.725	81.485	21.576	59.869	0.668	0.646	40000.0
67	141.89	81.445	20.986	59.884	0.669	0.641	40000.0
68	143.672	81.334	20.965	59.426	0.673	0.645	30000.0
69	141.496	81.497	20.86	59.558	0.67	0.648	30000.0
70	144.214	82.576	21.369	60.16	0.689	0.641	40000.0
71	142.027	81.583	20.956	59.508	0.676	0.649	30000.0
72	141.05	80.38	20.773	58.685	0.661	0.654	50000.0
73	138.525	80.348	20.502	58.697	0.656	0.661	30000.0
74	140.506	80.032	20.777	58.697	0.655	0.655	30000.0
75	145.108	81.085	21.433	59.14	0.668	0.656	40000.0
76	142.645	80.882	21.443	59.319	0.662	0.656	50000.0
77	142.435	80.105	21.293	58.947	0.658	0.659	20000.0
78	142.471	81.267	21.287	59.447	0.666	0.65	50000.0
79	141.642	80.494	21.059	59.156	0.657	0.652	20000.0
80	143.037	80.021	21.324	59.214	0.648	0.654	40000.0
81	141.29	81.545	20.783	59.527	0.677	0.639	40000.0
82	144.838	82.442	21.593	60.15	0.674	0.645	30000.0
83	144.95	81.691	21.787	59.623	0.665	0.656	40000.0
84	143.978	81.256	21.565	59.546	0.67	0.652	40000.0
85	143.615	80.351	21.21	58.952	0.656	0.657	20000.0
86	141.2	81.029	21.114	59.597	0.667	0.646	40000.0
87	144.548	82.079	21.21	59.969	0.669	0.644	30000.0
88	143.072	81.103	21.229	59.554	0.664	0.649	30000.0
89	141.739	82.111	21.144	59.915	0.676	0.637	30000.0
90	141.871	80.499	21.012	58.988	0.65	0.654	60000.0
91	143.277	80.804	21.444	59.467	0.664	0.648	30000.0
92	141.193	81.374	21.277	59.816	0.676	0.645	30000.0
93	143.574	81.61	21.008	59.832	0.677	0.645	50000.0
94	141.121	80.838	20.681	59.232	0.655	0.649	40000.0
95	144.389	81.038	21.707	59.831	0.667	0.645	60000.0
96	141.689	80.708	20.903	58.893	0.664	0.657	40000.0
97	141.187	81.306	20.937	59.397	0.673	0.658	30000.0
98	143.264	80.704	21.374	59.315	0.668	0.649	30000.0
99	142.778	80.979	21.245	59.002	0.665	0.661	50000.0
100	142.829	81.781	20.96	59.452	0.676	0.647	30000.0
