Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.952	123.026	34.079%	16.855	30.515%	0.12837	0.913
AX4914_vs_AX4895	270	0.968	96.356	35.687%	13.114	25.108%	0.15185	0.956
AX4915_vs_AX4895	483	0.966	136.327	28.225%	19.41	26.052%	0.08713	0.939
AX4916_vs_AX4896	405	0.939	149.637	36.947%	24.96	34.55%	0.14197	0.908
AX4918_vs_AX4897	292	0.952	105.629	36.174%	15.411	30.699%	0.15768	0.925
AX4921_vs_AX4898	517	0.959	149.552	28.927%	22.394	28.203%	0.07648	0.926
AX4923_vs_AX4906	296	0.955	109.319	36.932%	14.974	29.676%	0.15701	0.929
AX4925_vs_AX4901	689	0.972	175.707	25.502%	22.589	23.702%	0.07324	0.94
AX4927_vs_AX4905	973	0.974	232.113	23.855%	30.61	22.551%	0.06382	0.944
AX4928_vs_AQ5174	318	0.979	90.345	28.41%	11.698	20.26%	0.12208	0.97
AX4930_vs_AX4900	499	0.956	176.195	35.31%	23.804	29.523%	0.12629	0.927
AX4932_vs_AX4908	319	0.961	114.131	35.778%	16.223	27.777%	0.16597	0.942
AX4933_vs_AX4909	957	0.93	347.65	36.327%	47.632	36.739%	0.1289	0.831
AX4934_vs_AX4909	425	0.949	151.841	35.727%	21.18	31.528%	0.12797	0.911
AX4935_vs_AX4910	1845	0.991	254.309	13.784%	56.312	14.01%	0.01575	0.989
AX4937_vs_AX4894	271	0.906	111.647	41.198%	15.092	42.568%	0.17231	0.747
AX4938_vs_AX4896	93	0.828	65.64	70.581%	9.161	56.489%	0.50187	0.729
AX4940_vs_AX4904	129	0.796	87.028	67.464%	12.819	60.632%	0.41593	0.638
AX4942_vs_AX4898	107	0.772	75.428	70.493%	11.201	63.515%	0.50175	0.588
AX4943_vs_AX4898	69	0.771	57.797	83.764%	8.55	63.906%	0.6052	0.667
AX4944_vs_AX4897	621	0.954	186.529	30.037%	25.72	30.097%	0.08008	0.894
AX4945_vs_AX4898	27	0.648	31.79	117.741%	4.765	76.301%	1.04423	0.532
AX4946_vs_AX4895	457	0.952	138.416	30.288%	21.664	30.708%	0.08559	0.913
AX4947_vs_AX4895	370	0.909	171.669	46.397%	23.911	41.624%	0.18538	0.834
AX4951_vs_AX4903	680	0.97	202.36	29.759%	28.117	24.449%	0.09459	0.953
AX4958_vs_AQ5174	302	0.917	133.892	44.335%	17.654	39.917%	0.19653	0.831
AX4961_vs_AQ5174	252	0.919	106.836	42.395%	14.322	39.45%	0.2029	0.832
DIAF_vs_BLOOD	1065	0.973	237.784	22.327%	31.325	23.062%	0.04399	0.927
LNMETA_vs_BLOOD	1931	0.974	403.561	20.899%	54.189	22.492%	0.03761	0.921
LN_vs_BLOOD	1316	0.99	177.598	13.495%	28.579	14.023%	0.01849	0.983
OMEN_vs_BLOOD	658	0.933	211.097	32.082%	31.372	36.096%	0.09244	0.824
PADWRZ-01A_vs_PADWRZ-10A	34	0.76	32.134	94.512%	4.885	65.279%	0.7815	0.684
PADYZI-01A_vs_PADYZI-10A	215	0.898	100.611	46.796%	12.839	43.96%	0.19257	0.746
PAEHIP-01A_vs_PAEHIP-10A	110	0.862	65.082	59.165%	8.592	50.629%	0.37483	0.738
PAJLWM-01A_vs_PAJLWM-11A	70	0.761	59.75	85.357%	9.281	65.627%	0.64525	0.675
PAJNFP-01A_vs_PAJNFP-11A	236	0.952	85.937	36.414%	11.965	30.997%	0.1376	0.921
PAKHTL-01A_vs_PAKHTL-11A	66	0.665	65.285	98.917%	9.911	74.707%	0.79975	0.499
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.844	107.996	61.712%	15.481	53.703%	0.38449	0.73
PAKTCT-01A_vs_PAKTCT-11A	42	0.629	47.231	112.455%	6.778	77.749%	1.00185	0.452
PARECB-01A_vs_PARECB-11A	21	0.61	27.616	131.505%	3.963	79.26%	1.32285	0.48
PAREWI-01A_vs_PAREWI-11A	183	0.868	97.595	53.331%	13.299	49.666%	0.29336	0.722
PARGRN-01A_vs_PARGRN-10A	249	0.921	112.53	45.193%	16.191	39.029%	0.20094	0.87
PARIRN-01A_vs_PARIRN-10A	63	0.699	57.179	90.76%	8.001	71.563%	0.75759	0.488
PARPFY-01A_vs_PARPFY-11A	126	0.802	88.555	70.282%	12.423	59.77%	0.43299	0.65
