Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.971	409.735	21.43%	62.172	23.956%	0.0373	0.932
AX4914_vs_AX4895	956	0.973	219.517	22.962%	30.514	23.246%	0.05009	0.938
AX4915_vs_AX4895	3472	0.965	672.199	19.361%	114.985	26.241%	0.034	0.9
AX4916_vs_AX4896	533	0.958	166.072	31.158%	24.252	28.552%	0.10168	0.929
AX4918_vs_AX4897	2626	0.983	455.088	17.33%	64.3	18.7%	0.02499	0.956
AX4921_vs_AX4898	1234	0.971	292.494	23.703%	41.93	24.148%	0.05104	0.942
AX4922_vs_AX4899	4398	0.988	622.639	14.157%	113.686	15.26%	0.01758	0.982
AX4923_vs_AX4906	2859	0.964	674.568	23.595%	93.589	26.427%	0.04693	0.885
AX4924_vs_AX4901	209	0.963	89.03	42.598%	14.47	27.498%	0.2513	0.956
AX4925_vs_AX4901	863	0.976	194.48	22.535%	25.441	22.059%	0.05862	0.941
AX4926_vs_AX4904	181	0.954	97.012	53.598%	18.659	34.512%	0.309	0.952
AX4927_vs_AX4905	1745	0.988	279.955	16.043%	36.492	15.764%	0.02463	0.969
AX4928_vs_AQ5174	1675	0.962	409.843	24.468%	57.558	27.509%	0.05657	0.88
AX4929_vs_AQ5174	258	0.974	91.348	35.406%	14.31	22.944%	0.15383	0.969
AX4930_vs_AX4900	1106	0.979	228.179	20.631%	34.789	20.643%	0.0496	0.962
AX4931_vs_AX4907	268	0.924	121.794	45.446%	17.355	38.201%	0.20676	0.879
AX4932_vs_AX4908	851	0.973	236.87	27.834%	32.284	23.435%	0.06027	0.954
AX4933_vs_AX4909	1146	0.921	430.485	37.564%	57.375	38.891%	0.14123	0.771
AX4934_vs_AX4909	531	0.959	174.514	32.865%	22.453	28.408%	0.10226	0.921
AX4935_vs_AX4910	2613	0.965	676.784	25.901%	125.372	26.558%	0.06524	0.95
AX4936_vs_AX4911	685	0.967	183.965	26.856%	24.084	25.402%	0.07249	0.927
AX4937_vs_AX4894	1783	0.972	385.976	21.648%	56.848	23.63%	0.03754	0.932
AX4938_vs_AX4896	251	0.927	105.417	41.999%	14.194	37.574%	0.17643	0.859
AX4940_vs_AX4904	1000	0.94	302.825	30.283%	42.135	34.392%	0.08175	0.798
AX4942_vs_AX4898	2118	0.975	432.918	20.44%	63.002	22.542%	0.03754	0.937
AX4943_vs_AX4898	2216	0.977	423.774	19.123%	62.627	21.352%	0.03475	0.945
AX4944_vs_AX4897	2774	0.983	451.581	16.279%	67.138	18.394%	0.02293	0.958
AX4945_vs_AX4898	831	0.974	208.026	25.033%	27.185	23.001%	0.0571	0.947
AX4946_vs_AX4895	4856	0.993	556.746	11.465%	81.604	12.005%	0.01201	0.985
AX4947_vs_AX4895	4663	0.99	577.973	12.395%	92.748	14.329%	0.01397	0.979
AX4951_vs_AX4903	832	0.978	222.839	26.784%	30.286	21.215%	0.08334	0.966
AX4958_vs_AQ5174	3245	0.985	477.866	14.726%	70.549	17.33%	0.01856	0.957
AX4961_vs_AQ5174	3235	0.987	467.194	14.442%	65.707	16.377%	0.02046	0.963
DIAF_vs_BLOOD	2309	0.979	422.879	18.314%	57.767	20.26%	0.0301	0.933
HK_vs_BLOOD	18	0.71	20.566	114.256%	4.141	71.018%	1.38	0.673
LNMETA_vs_BLOOD	2798	0.977	554.804	19.829%	73.218	21.559%	0.03186	0.922
LN_vs_BLOOD	1878	0.981	322.945	17.196%	51.484	19.439%	0.02784	0.96
OMEN_vs_BLOOD	1525	0.98	292.378	19.172%	38.301	19.969%	0.03708	0.94
PABKLN-01A_vs_PABKLN-11A	810	0.957	213.651	26.377%	32.281	28.952%	0.06611	0.904
PADWRZ-01A_vs_PADWRZ-10A	655	0.96	188.815	28.827%	24.494	27.926%	0.07292	0.902
PADYZI-01A_vs_PADYZI-10A	1367	0.991	243.595	17.82%	58.656	15.566%	0.02419	0.99
PAEHIP-01A_vs_PAEHIP-10A	290	0.954	104.686	36.099%	14.455	30.036%	0.15307	0.925
PAJLWM-01A_vs_PAJLWM-11A	328	0.935	133.269	40.631%	18.07	35.631%	0.1714	0.882
PAJMBW-01A_vs_PAJMBW-10A	589	0.971	178.28	30.268%	23.912	24.1%	0.1036	0.954
PAJMRB-01A_vs_PAJMRB-11A	312	0.938	135.909	43.561%	19.714	34.795%	0.18871	0.909
PAJNER-01A_vs_PAJNER-11A	241	0.921	101.319	42.041%	13.583	39.065%	0.19729	0.833
PAJNFP-01A_vs_PAJNFP-11A	918	0.97	237.762	25.9%	30.374	24.257%	0.06414	0.932
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.962	180.102	30.474%	23.683	27.525%	0.0966	0.923
PAKHTL-01A_vs_PAKHTL-11A	916	0.963	239.895	26.189%	36.142	27.122%	0.06843	0.927
PAKLYZ-01A_vs_PAKLYZ-10A	1306	0.95	396.34	30.348%	58.541	31.41%	0.08064	0.897
PAKTCT-01A_vs_PAKTCT-11A	930	0.974	209.343	22.51%	27.331	22.697%	0.05615	0.931
PARECB-01A_vs_PARECB-11A	297	0.926	118.134	39.776%	15.405	37.663%	0.16935	0.828
PAREWI-01A_vs_PAREWI-11A	530	0.947	165.849	31.292%	23.471	32.047%	0.09598	0.88
PARGRN-01A_vs_PARGRN-10A	553	0.957	160.557	29.034%	22.077	28.946%	0.089	0.904
PARIRN-01A_vs_PARIRN-10A	705	0.963	209.772	29.755%	28.712	27.093%	0.08206	0.929
PARPFY-01A_vs_PARPFY-11A	624	0.946	188.868	30.267%	27.133	32.669%	0.09594	0.864
PARRCL-01A_vs_PARRCL-11A	509	0.955	155.846	30.618%	20.621	29.724%	0.08163	0.894
PARTKH-01A_vs_PARTKH-10A	538	0.93	195.679	36.372%	26.366	36.84%	0.11757	0.819
PARUGK-01A_vs_PARUGK-10A	355	0.938	135.592	38.195%	17.933	34.922%	0.1528	0.873
PARZBI-01A_vs_PARZBI-11A	587	0.964	168.217	28.657%	21.83	26.768%	0.07327	0.919
PARZRH-01A_vs_PARZRH-10A	961	0.975	218.02	22.687%	30.236	22.13%	0.05168	0.949
PASABD-01A_vs_PASABD-10A	439	0.941	152.016	34.628%	21.106	33.801%	0.11643	0.874
PASADZ-01A_vs_PASADZ-10A	617	0.953	180.987	29.333%	25.661	30.426%	0.08299	0.89
PASCDH-01A_vs_PASCDH-10A	576	0.952	184.209	31.981%	25.367	30.521%	0.09098	0.903
PASDLA-01A_vs_PASDLA-11A	316	0.933	118.442	37.482%	16.425	35.876%	0.14899	0.863
PASGCL-01A_vs_PASGCL-10A	513	0.961	155.335	30.28%	21.416	27.907%	0.10136	0.925
PASRHU-01A_vs_PASRHU-10A	228	0.96	86.619	37.991%	11.82	28.111%	0.20666	0.941
PASVDP-01A_vs_PASVDP-10A	419	0.932	154.128	36.785%	21.164	36.216%	0.13506	0.848
PASWZZ-01A_vs_PASWZZ-10A	288	0.939	111.784	38.814%	14.824	34.409%	0.17124	0.882
PASXNA-01A_vs_PASXNA-11A	510	0.934	187.889	36.841%	24.252	36.421%	0.1107	0.83
PASYNF-01A_vs_PASYNF-10A	336	0.955	121.939	36.291%	15.998	29.636%	0.14588	0.924
PASZYE-01A_vs_PASZYE-10A	491	0.961	151.364	30.828%	19.379	27.732%	0.10439	0.917
PATAFT-01A_vs_PATAFT-10A	518	0.939	170.239	32.865%	21.786	35.221%	0.09105	0.779
PATBLF-01A_vs_PATBLF-10A	725	0.974	173.986	23.998%	23.501	22.862%	0.05859	0.946
PATDVL-01A_vs_PATDVL-10A	373	0.93	147.324	39.497%	19.207	36.74%	0.16395	0.845
PATENH-01A_vs_PATENH-11A	725	0.975	186.671	25.748%	24.434	22.203%	0.0648	0.954
PATFXW-01A_vs_PATFXW-10A	584	0.963	176.91	30.293%	23.299	27.162%	0.09098	0.927
PATFZZ-01A_vs_PATFZZ-10A	677	0.942	220.53	32.575%	30.552	33.982%	0.1025	0.855
PATXEE-01A_vs_PATXEE-10A	843	0.962	248.627	29.493%	32.828	27.252%	0.09227	0.921
PATXKA-01A_vs_PATXKA-10A	442	0.939	151.512	34.279%	20.439	34.45%	0.1304	0.848
PAUCGJ-01A_vs_PAUCGJ-10A	826	0.966	207.921	25.172%	28.369	25.895%	0.06105	0.914
PAUDPV-01A_vs_PAUDPV-11A	286	0.902	130.288	45.555%	17.64	43.296%	0.19584	0.786
