NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	191.461	93.313	30.591	70.731	0.794	0.504	20000.0
2	188.128	93.251	29.854	70.029	0.802	0.514	30000.0
3	189.06	93.934	30.272	70.646	0.812	0.501	30000.0
4	187.795	93.861	30.168	70.503	0.805	0.51	20000.0
5	190.202	93.776	30.802	70.838	0.813	0.502	20000.0
6	190.331	93.496	30.438	70.294	0.803	0.512	40000.0
7	187.337	92.603	30.25	69.991	0.786	0.521	50000.0
8	190.651	93.626	30.556	70.689	0.802	0.499	20000.0
9	189.099	93.982	30.438	70.629	0.806	0.508	20000.0
10	191.812	94.007	31.259	71.204	0.805	0.501	40000.0
11	190.239	93.185	30.933	70.292	0.804	0.51	20000.0
12	189.892	93.284	30.249	70.469	0.8	0.507	30000.0
13	186.689	92.629	30.273	70.21	0.79	0.511	50000.0
14	188.293	92.948	30.468	70.354	0.792	0.509	30000.0
15	185.203	92.759	30.056	70.091	0.792	0.519	30000.0
16	188.63	93.712	30.826	71.224	0.819	0.493	30000.0
17	189.665	93.158	30.464	70.364	0.79	0.511	20000.0
18	189.163	92.939	30.157	70.184	0.803	0.505	20000.0
19	188.875	93.884	30.544	70.594	0.814	0.51	30000.0
20	189.14	93.454	30.27	70.43	0.804	0.506	20000.0
21	190.76	93.621	30.897	70.919	0.811	0.501	30000.0
22	188.169	92.918	30.141	70.34	0.804	0.505	30000.0
23	186.273	92.062	29.642	69.913	0.78	0.515	40000.0
24	187.243	92.824	30.036	69.856	0.799	0.524	20000.0
25	187.164	93.429	29.782	70.37	0.803	0.509	40000.0
26	190.515	94.534	30.623	70.756	0.815	0.501	30000.0
27	187.257	92.566	30.392	69.974	0.786	0.521	40000.0
28	187.098	92.93	29.764	69.931	0.791	0.511	30000.0
29	186.629	92.324	30.396	70.267	0.783	0.514	30000.0
30	189.915	93.237	30.379	70.365	0.801	0.509	30000.0
31	191.336	93.695	30.747	70.513	0.805	0.511	30000.0
32	188.349	93.487	30.553	70.518	0.81	0.509	30000.0
33	187.815	93.057	30.503	70.519	0.805	0.508	30000.0
34	188.562	92.924	30.093	70.084	0.793	0.511	40000.0
35	186.4	92.466	29.948	70.207	0.797	0.511	20000.0
36	187.251	93.904	29.77	70.334	0.81	0.508	30000.0
37	187.093	93.238	30.088	70.238	0.801	0.511	30000.0
38	191.792	93.738	30.85	70.922	0.802	0.501	30000.0
39	189.248	93.044	30.335	70.137	0.784	0.518	20000.0
40	189.16	92.61	30.57	70.205	0.794	0.515	20000.0
41	189.502	94.319	30.528	70.741	0.814	0.502	40000.0
42	187.165	92.722	29.843	70.017	0.787	0.511	20000.0
43	189.545	94.813	30.392	71.225	0.823	0.488	30000.0
44	189.845	93.613	30.767	70.724	0.798	0.508	20000.0
45	188.114	92.386	30.515	70.157	0.781	0.516	30000.0
46	189.685	93.527	30.791	70.257	0.801	0.517	20000.0
47	188.813	93.439	30.264	70.474	0.804	0.507	20000.0
48	191.117	92.914	30.687	70.191	0.791	0.521	20000.0
49	189.297	92.954	30.364	70.178	0.799	0.517	60000.0
50	189.428	92.959	30.319	70.195	0.785	0.513	20000.0
51	188.451	93.657	29.913	70.452	0.804	0.505	30000.0
52	190.971	93.65	30.769	70.775	0.808	0.505	20000.0
53	187.985	93.224	30.143	70.18	0.8	0.512	30000.0
54	185.818	92.861	29.746	69.951	0.793	0.511	30000.0
55	187.178	93.482	30.289	70.754	0.803	0.503	30000.0
56	187.265	93.12	29.94	69.914	0.8	0.518	30000.0
57	188.384	93.847	30.635	70.697	0.82	0.502	20000.0
58	188.531	93.996	29.931	70.577	0.809	0.505	30000.0
59	187.416	93.566	30.278	70.604	0.813	0.502	40000.0
60	189.16	93.8	30.387	70.509	0.805	0.506	30000.0
61	189.19	92.976	30.306	70.156	0.788	0.513	20000.0
62	188.678	93.649	29.997	70.556	0.805	0.506	50000.0
63	186.157	92.349	30.215	70.191	0.801	0.508	30000.0
64	188.799	93.528	30.243	70.498	0.812	0.507	30000.0
65	187.96	93.11	30.219	70.71	0.813	0.502	20000.0
66	191.223	93.193	30.638	70.506	0.791	0.508	30000.0
67	188.25	93.075	30.433	70.34	0.8	0.508	20000.0
68	190.45	92.962	30.615	70.372	0.795	0.509	40000.0
69	185.677	92.803	29.47	69.956	0.795	0.509	40000.0
70	188.912	93.853	30.124	70.589	0.815	0.504	30000.0
71	189.745	93.825	30.382	70.521	0.81	0.506	20000.0
72	189.392	93.195	30.315	70.24	0.795	0.507	20000.0
73	188.228	93.038	30.536	70.195	0.792	0.516	30000.0
74	189.805	93.457	30.739	70.678	0.795	0.502	30000.0
75	192.641	93.932	31.145	70.64	0.81	0.51	30000.0
76	187.043	92.796	30.401	70.268	0.787	0.515	20000.0
77	190.508	92.485	30.702	70.18	0.788	0.515	70000.0
78	189.783	93.552	30.792	70.735	0.806	0.505	20000.0
79	188.281	93.423	30.178	70.588	0.8	0.506	20000.0
80	187.629	92.396	30.287	70.085	0.791	0.514	30000.0
81	188.759	94.111	29.98	70.656	0.81	0.499	20000.0
82	187.374	93.129	29.986	70.203	0.794	0.509	20000.0
83	190.59	94.101	30.876	70.958	0.802	0.509	20000.0
84	191.073	93.788	30.838	70.937	0.814	0.5	20000.0
85	189.68	93.029	30.601	70.371	0.79	0.512	50000.0
86	188.385	93.425	30.639	70.868	0.798	0.505	40000.0
87	193.094	93.921	31.356	70.908	0.8	0.504	30000.0
88	188.952	92.175	30.575	70.273	0.789	0.508	40000.0
89	188.712	93.693	30.325	70.411	0.794	0.505	30000.0
90	187.743	92.487	30.569	70.233	0.781	0.513	40000.0
91	188.599	92.535	30.543	70.361	0.792	0.51	20000.0
92	186.499	92.92	30.075	70.382	0.801	0.511	30000.0
93	190.547	93.35	30.323	70.158	0.797	0.514	20000.0
94	188.981	92.44	30.081	69.877	0.78	0.515	20000.0
95	191.044	93.304	30.77	70.698	0.798	0.506	20000.0
96	187.825	92.89	30.125	70.025	0.79	0.517	30000.0
97	188.996	93.716	30.561	70.541	0.8	0.517	30000.0
