Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.846	174.416	48.315%	29.507	53.42%	0.20781	0.699
AX4914_vs_AX4895	270	0.736	179.616	66.524%	35.52	68.007%	0.38516	0.61
AX4915_vs_AX4895	483	0.901	205.114	42.467%	32.833	44.068%	0.15147	0.824
AX4916_vs_AX4896	405	0.825	227.47	56.165%	41.212	57.047%	0.26822	0.736
AX4918_vs_AX4897	292	0.807	166.297	56.951%	29.798	59.359%	0.31369	0.687
AX4921_vs_AX4898	517	0.905	186.916	36.154%	34.086	42.927%	0.13542	0.83
AX4923_vs_AX4906	296	0.799	186.561	63.027%	30.433	60.314%	0.31732	0.665
AX4925_vs_AX4901	689	0.908	275.09	39.926%	39.969	41.938%	0.12533	0.784
AX4927_vs_AX4905	973	0.953	286.684	29.464%	41.331	30.449%	0.0862	0.896
AX4928_vs_AQ5174	318	0.799	207.099	65.125%	34.98	60.581%	0.34752	0.694
AX4930_vs_AX4900	499	0.893	250.893	50.279%	36.957	45.836%	0.20212	0.824
AX4932_vs_AX4908	319	0.814	195.407	61.256%	34.278	58.691%	0.32034	0.724
AX4933_vs_AX4909	957	0.847	512.069	53.508%	69.79	53.83%	0.25874	0.617
AX4934_vs_AX4909	425	0.86	229.583	54.02%	34.428	51.248%	0.23272	0.751
AX4935_vs_AX4910	1845	0.94	734.38	39.804%	162.104	40.329%	0.12311	0.945
AX4937_vs_AX4894	271	0.84	139.067	51.316%	19.718	55.615%	0.23798	0.563
AX4938_vs_AX4896	93	0.771	73.88	79.441%	10.375	63.975%	0.54656	0.626
AX4940_vs_AX4904	129	0.674	109.989	85.263%	15.748	74.485%	0.5789	0.368
AX4942_vs_AX4898	107	0.746	80.311	75.057%	11.74	66.571%	0.53736	0.531
AX4943_vs_AX4898	69	0.742	62.283	90.265%	9.02	67.419%	0.64228	0.623
AX4944_vs_AX4897	621	0.909	234.484	37.759%	35.562	41.614%	0.11671	0.785
AX4945_vs_AX4898	27	0.608	33.967	125.804%	4.978	79.712%	1.09023	0.479
AX4946_vs_AX4895	457	0.778	265.769	58.155%	44.424	62.97%	0.27226	0.55
AX4947_vs_AX4895	370	0.77	234.264	63.315%	36.786	64.036%	0.34355	0.538
AX4951_vs_AX4903	680	0.815	385.085	56.63%	66.866	58.142%	0.23976	0.693
AX4958_vs_AQ5174	302	0.814	182.494	60.428%	25.755	58.234%	0.32099	0.593
AX4961_vs_AQ5174	252	0.791	162.595	64.522%	22.389	61.67%	0.33667	0.521
DIAF_vs_BLOOD	1065	0.936	348.666	32.739%	48.666	35.829%	0.07933	0.82
LNMETA_vs_BLOOD	1931	0.958	487.275	25.234%	71.937	29.858%	0.05585	0.885
LN_vs_BLOOD	1316	0.797	535.901	40.722%	123.285	60.493%	0.19013	0.597
OMEN_vs_BLOOD	658	0.915	242.964	36.925%	35.244	40.551%	0.10922	0.779
PADWRZ-01A_vs_PADWRZ-10A	34	0.588	40.415	118.868%	6.053	80.887%	1.05097	0.408
PADYZI-01A_vs_PADYZI-10A	215	0.856	114.197	53.115%	15.227	52.136%	0.23608	0.641
PAEHIP-01A_vs_PAEHIP-10A	110	0.843	68.539	62.308%	9.142	53.87%	0.39051	0.699
PAJLWM-01A_vs_PAJLWM-11A	70	0.711	65.561	93.659%	10.03	70.923%	0.71855	0.6
PAJNFP-01A_vs_PAJNFP-11A	236	0.679	176.809	74.919%	28.58	74.04%	0.46496	0.381
PAKHTL-01A_vs_PAKHTL-11A	66	0.613	69.486	105.282%	10.496	79.117%	0.866	0.405
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.77	125.894	71.939%	18.391	63.798%	0.46713	0.583
PAKTCT-01A_vs_PAKTCT-11A	42	0.612	48.168	114.686%	6.893	79.068%	1.02828	0.419
PARECB-01A_vs_PARECB-11A	21	0.556	29.735	141.595%	4.159	83.18%	1.38464	0.395
PAREWI-01A_vs_PAREWI-11A	183	0.794	117.803	64.373%	16.389	61.206%	0.38452	0.546
PARGRN-01A_vs_PARGRN-10A	249	0.688	176.306	70.806%	30.266	72.957%	0.44564	0.414
PARIRN-01A_vs_PARIRN-10A	63	0.681	60.245	95.627%	8.196	73.307%	0.7835	0.452
PARPFY-01A_vs_PARPFY-11A	126	0.742	98.331	78.04%	13.932	67.03%	0.49993	0.522
PARZRH-01A_vs_PARZRH-10A	31	0.622	38.789	125.126%	5.608	78.528%	1.08456	0.496
PASABD-01A_vs_PASABD-10A	121	0.805	82.229	67.958%	11.418	59.279%	0.46266	0.635
PASADZ-01A_vs_PASADZ-10A	25	0.569	33.953	135.812%	4.725	82.252%	1.23798	0.4
PASCDH-01A_vs_PASCDH-10A	335	0.862	169.523	50.604%	25.43	50.628%	0.2244	0.723
PASDLA-01A_vs_PASDLA-11A	34	0.587	39.634	116.571%	6.491	81.137%	1.06596	0.446
PASVDP-01A_vs_PASVDP-10A	54	0.545	61.254	113.433%	9.514	84.093%	1.05111	0.294
PASWZZ-01A_vs_PASWZZ-10A	64	0.693	60.234	94.116%	8.465	72.059%	0.74722	0.499
PASXNA-01A_vs_PASXNA-11A	14	0.304	23.916	170.829%	3.847	96.175%	2.1924	0.023
PATAFT-01A_vs_PATAFT-10A	136	0.728	97.653	71.804%	13.358	70.797%	0.46013	0.331
PATDVL-01A_vs_PATDVL-10A	18	0.409	27.54	153.0%	4.491	91.672%	1.84797	0.207
PATENH-01A_vs_PATENH-11A	64	0.758	55.483	86.692%	7.318	65.194%	0.64399	0.598
PATFXW-01A_vs_PATFXW-10A	102	0.786	76.853	75.346%	10.046	62.064%	0.50399	0.594
PATFZZ-01A_vs_PATFZZ-10A	123	0.796	86.336	70.192%	11.078	60.707%	0.45652	0.56
PATXEE-01A_vs_PATXEE-10A	360	0.859	193.291	53.692%	27.132	51.202%	0.24869	0.704
PAUEKW-01A_vs_PAUEKW-10A	38	0.712	39.312	103.453%	6.132	71.283%	0.91567	0.638
PAUFVP-01A_vs_PAUFVP-11A	63	0.639	63.862	101.368%	8.523	77.482%	0.89499	0.35
PAUGYZ-01A_vs_PAUGYZ-10A	97	0.773	69.29	71.433%	9.539	63.593%	0.43808	0.538
PAUHAZ-01A_vs_PAUHAZ-10A	98	0.775	68.461	69.858%	9.99	63.182%	0.48163	0.579
PAVCKS-01A_vs_PAVCKS-11A	48	0.72	47.322	98.588%	6.221	69.553%	0.80273	0.561
PAVYKD-01A_vs_PAVYKD-10A	38	0.677	40.198	105.784%	5.795	73.597%	0.98779	0.536
PAWFBL-01A_vs_PAWFBL-11A	35	0.688	37.033	105.809%	5.098	72.829%	0.86812	0.549
PAWFWK-01A_vs_PAWFWK-10A	98	0.713	90.389	92.234%	12.387	70.128%	0.64966	0.528
SJBT030128_D1_vs_SJBT030128_G1	62	0.763	51.719	83.418%	6.783	64.673%	0.59493	0.586
SJBT030255_D1_vs_SJBT030255_G1	113	0.754	82.339	72.866%	10.968	66.626%	0.55189	0.443
SJBT030581_D1_vs_SJBT030581_G1	14	0.397	22.807	162.907%	3.444	92.045%	1.85695	0.159
SJBT030997_D1_vs_SJBT030997_G1	107	0.734	91.378	85.4%	12.655	67.936%	0.61406	0.547
SJBT031235_D1_vs_SJBT031235_G1	121	0.733	91.308	75.461%	17.023	68.421%	0.54175	0.63
SJBT031605_D1_vs_SJBT031605_G1	2274	0.925	743.822	32.71%	109.274	38.847%	0.08135	0.768
SJBT031948_D2_vs_SJBT031948_G1	1439	0.964	351.089	24.398%	55.982	26.63%	0.05265	0.93
SJBT032346_D1_vs_SJBT032346_G1	30	0.66	33.586	111.953%	4.873	75.192%	0.94988	0.525
