Samples	SBS96A	SBS96B	SBS96C	SBS96D
SJBT030581_D1_vs_SJBT030581_G1	3.84E-01	2.32E-01	2.78E-01	2.10E-01
SJBT030997_D1_vs_SJBT030997_G1	1.67E+00	3.48E-01	8.79E-01	1.53E+00
SJBT031235_D1_vs_SJBT031235_G1	1.15E+00	1.74E-01	2.49E+00	3.09E+00
SJBT031605_D1_vs_SJBT031605_G1	1.69E+01	5.12E+00	6.74E+00	1.45E+01
SJBT031948_D2_vs_SJBT031948_G1	7.62E+00	6.84E+00	5.63E+00	4.66E+00
SJBT032346_D1_vs_SJBT032346_G1	5.39E-01	0.00E+00	6.45E-01	6.86E-01
SJBT032393_D1_vs_SJBT032393_G1	8.71E+00	3.40E+00	2.80E+01	3.18E+01
SJBT032417_D2_vs_SJBT032417_G1	2.09E+00	1.93E+00	1.16E+00	1.65E+00
SJBT033236_D2_vs_SJBT033236_G1	2.11E-01	1.61E-01	1.04E+00	1.10E+00
SJBT034089_D1_vs_SJBT034089_G1	3.75E-01	1.88E-01	8.38E-01	9.78E-01
SJBT034110_D2_vs_SJBT034110_G1	1.41E+00	6.14E-01	1.57E+00	2.20E+00
SJMRT014754_D1_vs_SJMRT014754_G1	2.75E+00	1.60E+00	2.19E+00	9.74E-01
SJMRT015723_D1_vs_SJMRT015723_G1	3.05E+00	2.16E+00	2.37E+00	2.43E+00
SJMRT063832_X1_vs_SJMRT063832_G1	3.69E-01	3.95E-01	1.48E-01	1.97E-01
