Samples	SBS96A	SBS96B	SBS96C	SBS96D
AX4912_vs_AX4894	74	46	234	7
AX4914_vs_AX4895	0	13	257	0
AX4915_vs_AX4895	136	43	263	41
AX4916_vs_AX4896	74	5	302	24
AX4918_vs_AX4897	55	22	215	0
AX4921_vs_AX4898	142	34	265	76
AX4923_vs_AX4906	0	29	236	31
AX4925_vs_AX4901	174	73	380	62
AX4927_vs_AX4905	185	447	288	53
AX4928_vs_AQ5174	0	10	266	42
AX4930_vs_AX4900	154	15	277	53
AX4932_vs_AX4908	0	4	242	73
AX4933_vs_AX4909	506	259	192	0
AX4934_vs_AX4909	44	53	268	60
AX4935_vs_AX4910	0	1808	0	37
AX4937_vs_AX4894	190	25	8	48
AX4938_vs_AX4896	52	15	3	23
AX4940_vs_AX4904	85	8	1	35
AX4942_vs_AX4898	61	15	26	5
AX4943_vs_AX4898	37	2	18	12
AX4944_vs_AX4897	371	62	68	120
AX4945_vs_AX4898	11	5	10	1
AX4946_vs_AX4895	401	28	20	8
AX4947_vs_AX4895	326	8	33	3
AX4951_vs_AX4903	22	101	62	495
AX4958_vs_AQ5174	233	20	44	5
AX4961_vs_AQ5174	210	22	14	6
DIAF_vs_BLOOD	571	325	66	103
LNMETA_vs_BLOOD	872	722	215	122
LN_vs_BLOOD	771	108	104	333
OMEN_vs_BLOOD	289	213	64	92
PADWRZ-01A_vs_PADWRZ-10A	33	0	1	0
PADYZI-01A_vs_PADYZI-10A	134	17	28	36
PAEHIP-01A_vs_PAEHIP-10A	48	17	17	28
PAJLWM-01A_vs_PAJLWM-11A	29	14	0	27
PAJNFP-01A_vs_PAJNFP-11A	170	17	20	29
PAKHTL-01A_vs_PAKHTL-11A	45	0	5	16
PAKLYZ-01A_vs_PAKLYZ-10A	102	11	15	47
PAKTCT-01A_vs_PAKTCT-11A	24	4	12	2
PARECB-01A_vs_PARECB-11A	4	5	2	10
PAREWI-01A_vs_PAREWI-11A	141	10	7	25
PARGRN-01A_vs_PARGRN-10A	210	15	17	7
PARIRN-01A_vs_PARIRN-10A	29	5	7	22
PARPFY-01A_vs_PARPFY-11A	88	17	21	0
PARZRH-01A_vs_PARZRH-10A	19	1	8	3
PASABD-01A_vs_PASABD-10A	60	5	12	44
PASADZ-01A_vs_PASADZ-10A	16	3	6	0
PASCDH-01A_vs_PASCDH-10A	127	30	24	154
PASDLA-01A_vs_PASDLA-11A	17	5	2	10
PASVDP-01A_vs_PASVDP-10A	27	5	11	11
PASWZZ-01A_vs_PASWZZ-10A	23	7	7	27
PASXNA-01A_vs_PASXNA-11A	12	2	0	0
PATAFT-01A_vs_PATAFT-10A	92	10	20	14
PATDVL-01A_vs_PATDVL-10A	5	0	4	9
PATENH-01A_vs_PATENH-11A	33	2	9	20
PATFXW-01A_vs_PATFXW-10A	56	0	7	39
PATFZZ-01A_vs_PATFZZ-10A	48	21	16	38
PATXEE-01A_vs_PATXEE-10A	168	40	10	142
PAUEKW-01A_vs_PAUEKW-10A	0	3	7	28
PAUFVP-01A_vs_PAUFVP-11A	28	5	17	13
PAUGYZ-01A_vs_PAUGYZ-10A	73	10	5	9
PAUHAZ-01A_vs_PAUHAZ-10A	41	14	8	35
PAVCKS-01A_vs_PAVCKS-11A	24	5	10	9
PAVYKD-01A_vs_PAVYKD-10A	26	0	6	6
PAWFBL-01A_vs_PAWFBL-11A	16	7	6	6
PAWFWK-01A_vs_PAWFWK-10A	50	19	0	29
SJBT030128_D1_vs_SJBT030128_G1	21	8	8	25
SJBT030255_D1_vs_SJBT030255_G1	46	36	18	13
SJBT030581_D1_vs_SJBT030581_G1	9	3	1	1
SJBT030997_D1_vs_SJBT030997_G1	64	1	0	42
SJBT031235_D1_vs_SJBT031235_G1	0	0	18	103
SJBT031605_D1_vs_SJBT031605_G1	1433	422	206	213
SJBT031948_D2_vs_SJBT031948_G1	497	862	75	5
SJBT032346_D1_vs_SJBT032346_G1	7	0	12	11
SJBT032393_D1_vs_SJBT032393_G1	0	100	37	1257
SJBT032417_D2_vs_SJBT032417_G1	58	130	4	56
SJBT033236_D2_vs_SJBT033236_G1	0	0	2	36
SJBT034089_D1_vs_SJBT034089_G1	0	0	0	35
SJBT034110_D2_vs_SJBT034110_G1	9	15	22	72
SJMRT014754_D1_vs_SJMRT014754_G1	80	58	82	0
SJMRT015723_D1_vs_SJMRT015723_G1	172	135	20	84
SJMRT063832_X1_vs_SJMRT063832_G1	6	3	0	4
