Samples	SBS96A	SBS96B
AX4912_vs_AX4894	2.77E+00	2.77E+00
AX4914_vs_AX4895	2.10E+00	2.10E+00
AX4915_vs_AX4895	9.53E+00	9.53E+00
AX4916_vs_AX4896	6.74E-01	6.74E-01
AX4918_vs_AX4897	1.18E+01	1.18E+01
AX4921_vs_AX4898	2.12E+00	2.12E+00
AX4922_vs_AX4899	1.70E+01	1.70E+01
AX4923_vs_AX4906	6.33E+00	6.33E+00
AX4924_vs_AX4901	9.93E-01	9.94E-01
AX4925_vs_AX4901	8.80E-01	8.80E-01
AX4926_vs_AX4904	6.27E-01	6.27E-01
AX4927_vs_AX4905	3.23E+00	3.23E+00
AX4928_vs_AQ5174	3.11E+00	3.11E+00
AX4929_vs_AQ5174	1.12E+00	1.12E+00
AX4930_vs_AX4900	1.50E+00	1.50E+00
AX4931_vs_AX4907	1.65E+00	1.65E+00
AX4932_vs_AX4908	1.39E+00	1.39E+00
AX4933_vs_AX4909	8.65E-01	8.65E-01
AX4934_vs_AX4909	6.18E-01	6.19E-01
AX4935_vs_AX4910	2.02E+00	2.02E+00
AX4936_vs_AX4911	3.19E+00	3.19E+00
AX4937_vs_AX4894	2.90E+00	2.90E+00
AX4938_vs_AX4896	9.17E-01	9.16E-01
AX4940_vs_AX4904	3.22E+00	3.22E+00
AX4942_vs_AX4898	3.84E+00	3.84E+00
AX4943_vs_AX4898	3.74E+00	3.74E+00
AX4944_vs_AX4897	1.33E+01	1.33E+01
AX4945_vs_AX4898	2.08E+00	2.08E+00
AX4946_vs_AX4895	6.60E+00	6.60E+00
AX4947_vs_AX4895	7.08E+00	7.08E+00
AX4951_vs_AX4903	5.89E-01	5.90E-01
AX4958_vs_AQ5174	6.29E+00	6.29E+00
AX4961_vs_AQ5174	6.38E+00	6.38E+00
DIAF_vs_BLOOD	4.06E+00	4.06E+00
HK_vs_BLOOD	1.65E-01	1.65E-01
LNMETA_vs_BLOOD	2.28E+00	2.28E+00
LN_vs_BLOOD	1.88E+00	1.88E+00
OMEN_vs_BLOOD	2.52E+00	2.52E+00
PABKLN-01A_vs_PABKLN-11A	5.97E+00	5.97E+00
PADWRZ-01A_vs_PADWRZ-10A	2.13E+00	2.13E+00
PADYZI-01A_vs_PADYZI-10A	5.00E+01	5.00E+01
PAEHIP-01A_vs_PAEHIP-10A	6.25E-01	6.25E-01
PAJLWM-01A_vs_PAJLWM-11A	1.26E+00	1.26E+00
PAJMBW-01A_vs_PAJMBW-10A	1.10E+01	1.10E+01
PAJMRB-01A_vs_PAJMRB-11A	1.05E+00	1.05E+00
PAJNER-01A_vs_PAJNER-11A	1.22E+00	1.22E+00
PAJNFP-01A_vs_PAJNFP-11A	5.80E+00	5.80E+00
PAJNFZ-01A_vs_PAJNFZ-10A	3.08E+00	3.08E+00
PAKHTL-01A_vs_PAKHTL-11A	1.63E+00	1.63E+00
PAKLYZ-01A_vs_PAKLYZ-10A	5.63E+00	5.63E+00
PAKTCT-01A_vs_PAKTCT-11A	2.38E+00	2.38E+00
PARECB-01A_vs_PARECB-11A	1.29E+00	1.29E+00
PAREWI-01A_vs_PAREWI-11A	1.83E+00	1.83E+00
PARGRN-01A_vs_PARGRN-10A	1.32E+00	1.32E+00
PARIRN-01A_vs_PARIRN-10A	1.88E+00	1.88E+00
PARPFY-01A_vs_PARPFY-11A	1.60E+00	1.60E+00
PARRCL-01A_vs_PARRCL-11A	2.57E+00	2.57E+00
PARTKH-01A_vs_PARTKH-10A	2.95E+00	2.95E+00
PARUGK-01A_vs_PARUGK-10A	1.32E+00	1.32E+00
PARZBI-01A_vs_PARZBI-11A	2.22E+00	2.22E+00
PARZRH-01A_vs_PARZRH-10A	2.79E+00	2.79E+00
PASABD-01A_vs_PASABD-10A	1.32E+00	1.32E+00
PASADZ-01A_vs_PASADZ-10A	2.87E+00	2.87E+00
PASCDH-01A_vs_PASCDH-10A	1.06E+00	1.06E+00
PASDLA-01A_vs_PASDLA-11A	1.53E+00	1.53E+00
PASGCL-01A_vs_PASGCL-10A	1.55E+00	1.55E+00
PASRHU-01A_vs_PASRHU-10A	7.13E-01	7.13E-01
PASVDP-01A_vs_PASVDP-10A	1.71E+00	1.71E+00
PASWZZ-01A_vs_PASWZZ-10A	1.14E+00	1.14E+00
PASXNA-01A_vs_PASXNA-11A	1.91E+00	1.91E+00
PASYNF-01A_vs_PASYNF-10A	1.44E+00	1.44E+00
PASZYE-01A_vs_PASZYE-10A	1.43E+00	1.43E+00
PATAFT-01A_vs_PATAFT-10A	1.79E+00	1.79E+00
PATBLF-01A_vs_PATBLF-10A	2.23E+00	2.23E+00
PATDVL-01A_vs_PATDVL-10A	1.57E+00	1.57E+00
PATENH-01A_vs_PATENH-11A	1.82E+00	1.82E+00
PATFXW-01A_vs_PATFXW-10A	1.82E+00	1.82E+00
PATFZZ-01A_vs_PATFZZ-10A	2.08E+00	2.08E+00
PATXEE-01A_vs_PATXEE-10A	1.75E+00	1.75E+00
PATXKA-01A_vs_PATXKA-10A	2.20E+00	2.20E+00
PAUCGJ-01A_vs_PAUCGJ-10A	4.37E+00	4.37E+00
PAUDPV-01A_vs_PAUDPV-11A	1.85E+00	1.85E+00
PAUEKW-01A_vs_PAUEKW-10A	2.29E+00	2.29E+00
PAUFVP-01A_vs_PAUFVP-11A	2.17E+00	2.17E+00
PAUGYZ-01A_vs_PAUGYZ-10A	1.49E+00	1.49E+00
PAUHAZ-01A_vs_PAUHAZ-10A	1.30E+00	1.30E+00
PAUNPA-01A_vs_PAUNPA-11A	2.50E+00	2.50E+00
PAVCKS-01A_vs_PAVCKS-11A	5.33E+00	5.33E+00
PAVITI-01A_vs_PAVITI-10A	1.95E+00	1.95E+00
PAVYDM-01A_vs_PAVYDM-11A	1.85E+00	1.85E+00
PAVYKD-01A_vs_PAVYKD-10A	1.47E+00	1.47E+00
PAWDGA-01A_vs_PAWDGA-11A	2.35E+00	2.35E+00
PAWFBL-01A_vs_PAWFBL-11A	2.08E+00	2.08E+00
PAWFWK-01A_vs_PAWFWK-10A	1.24E+00	1.24E+00
SJBT030128_D1_vs_SJBT030128_G1	5.49E-01	5.49E-01
SJBT030255_D1_vs_SJBT030255_G1	3.94E+00	3.94E+00
SJBT030581_D1_vs_SJBT030581_G1	2.35E+00	2.35E+00
SJBT030707_D2_vs_SJBT030707_G1	5.92E-01	5.92E-01
SJBT030896_D1_vs_SJBT030896_G1	8.03E+00	8.03E+00
SJBT030997_D1_vs_SJBT030997_G1	1.66E+00	1.66E+00
SJBT031235_D1_vs_SJBT031235_G1	9.75E-02	9.75E-02
SJBT031605_D1_vs_SJBT031605_G1	3.94E+00	3.94E+00
