Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.958	114.217	31.639%	15.915	28.813%	0.11846	0.922
AX4914_vs_AX4895	270	0.969	94.534	35.013%	13.086	25.054%	0.14981	0.956
AX4915_vs_AX4895	483	0.973	127.298	26.356%	17.397	23.35%	0.08412	0.951
AX4916_vs_AX4896	405	0.948	139.638	34.479%	23.199	32.113%	0.1286	0.923
AX4918_vs_AX4897	292	0.957	98.936	33.882%	14.545	28.974%	0.14568	0.933
AX4921_vs_AX4898	517	0.966	139.448	26.973%	20.628	25.979%	0.07099	0.938
AX4923_vs_AX4906	296	0.957	105.626	35.684%	14.572	28.88%	0.16017	0.933
AX4925_vs_AX4901	689	0.978	154.369	22.405%	20.116	21.107%	0.06261	0.951
AX4927_vs_AX4905	973	0.98	210.953	21.681%	27.248	20.074%	0.05398	0.956
AX4928_vs_AQ5174	318	0.982	86.945	27.341%	11.047	19.132%	0.11695	0.973
AX4930_vs_AX4900	499	0.97	150.964	30.253%	19.739	24.481%	0.10965	0.951
AX4932_vs_AX4908	319	0.967	105.905	33.199%	14.906	25.522%	0.13932	0.953
AX4933_vs_AX4909	957	0.993	104.124	10.88%	15.082	11.633%	0.01246	0.984
AX4934_vs_AX4909	425	0.955	147.382	34.678%	20.192	30.057%	0.12522	0.923
AX4935_vs_AX4910	1845	0.999	113.084	6.129%	19.903	4.952%	0.00542	0.999
AX4937_vs_AX4894	271	0.917	102.12	37.683%	14.212	40.086%	0.15179	0.778
AX4938_vs_AX4896	93	0.849	64.12	68.946%	8.698	53.634%	0.46544	0.769
AX4940_vs_AX4904	129	0.779	87.502	67.831%	13.299	62.902%	0.43824	0.603
AX4942_vs_AX4898	107	0.779	74.25	69.393%	11.066	62.75%	0.4854	0.601
AX4943_vs_AX4898	69	0.808	54.442	78.901%	7.924	59.227%	0.58547	0.724
AX4944_vs_AX4897	621	0.962	160.608	25.863%	23.311	27.278%	0.07295	0.914
AX4945_vs_AX4898	27	0.648	32.04	118.667%	4.775	76.461%	1.05186	0.536
AX4946_vs_AX4895	457	0.973	105.793	23.149%	16.344	23.167%	0.06776	0.951
AX4947_vs_AX4895	370	0.935	156.813	42.382%	20.424	35.554%	0.16782	0.882
AX4951_vs_AX4903	680	0.977	183.483	26.983%	24.523	21.324%	0.07774	0.964
AX4958_vs_AQ5174	302	0.924	127.398	42.185%	16.977	38.386%	0.18891	0.846
AX4961_vs_AQ5174	252	0.916	112.439	44.619%	14.576	40.15%	0.21169	0.823
DIAF_vs_BLOOD	1065	0.975	226.008	21.221%	30.46	22.426%	0.04011	0.929
LNMETA_vs_BLOOD	1931	0.989	276.179	14.302%	36.113	14.989%	0.022	0.966
LN_vs_BLOOD	1316	0.992	166.784	12.674%	26.216	12.864%	0.01682	0.986
OMEN_vs_BLOOD	658	0.968	159.266	24.205%	21.966	25.273%	0.05806	0.919
PADWRZ-01A_vs_PADWRZ-10A	34	0.827	28.586	84.076%	4.256	56.873%	0.65569	0.776
PADYZI-01A_vs_PADYZI-10A	215	0.898	99.764	46.402%	12.865	44.049%	0.18659	0.745
PAEHIP-01A_vs_PAEHIP-10A	110	0.878	61.999	56.363%	8.123	47.865%	0.34936	0.771
PAJLWM-01A_vs_PAJLWM-11A	70	0.778	58.3	83.286%	9.002	63.654%	0.64059	0.698
PAJNFP-01A_vs_PAJNFP-11A	236	0.948	90.277	38.253%	12.276	31.803%	0.15255	0.914
PAKHTL-01A_vs_PAKHTL-11A	66	0.79	57.181	86.638%	8.184	61.689%	0.65372	0.708
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.834	108.857	62.204%	15.905	55.174%	0.39886	0.711
PAKTCT-01A_vs_PAKTCT-11A	42	0.654	47.155	112.274%	6.623	75.971%	0.96065	0.508
PARECB-01A_vs_PARECB-11A	21	0.638	27.263	129.824%	3.856	77.12%	1.2938	0.526
PAREWI-01A_vs_PAREWI-11A	183	0.888	91.653	50.084%	12.317	45.999%	0.27694	0.767
PARGRN-01A_vs_PARGRN-10A	249	0.931	103.015	41.371%	15.114	36.433%	0.18643	0.888
PARIRN-01A_vs_PARIRN-10A	63	0.708	56.497	89.678%	7.893	70.597%	0.73814	0.505
PARPFY-01A_vs_PARPFY-11A	126	0.831	85.681	68.001%	11.583	55.729%	0.41932	0.706
PARZRH-01A_vs_PARZRH-10A	31	0.683	37.382	120.587%	5.318	74.467%	1.02596	0.623
PASABD-01A_vs_PASABD-10A	121	0.87	72.666	60.055%	9.522	49.436%	0.37903	0.771
PASADZ-01A_vs_PASADZ-10A	25	0.684	30.18	120.72%	4.221	73.478%	1.03193	0.591
PASCDH-01A_vs_PASCDH-10A	335	0.92	142.762	42.616%	19.675	39.17%	0.18081	0.845
PASDLA-01A_vs_PASDLA-11A	34	0.718	35.427	104.197%	5.637	70.462%	0.90426	0.646
PASVDP-01A_vs_PASVDP-10A	54	0.588	58.355	108.065%	9.169	81.043%	0.99467	0.385
PASWZZ-01A_vs_PASWZZ-10A	64	0.792	54.595	85.305%	7.188	61.188%	0.64559	0.68
PASXNA-01A_vs_PASXNA-11A	14	0.391	22.222	158.729%	3.701	92.525%	1.95642	0.202
PATAFT-01A_vs_PATAFT-10A	136	0.784	86.804	63.826%	11.83	62.699%	0.39659	0.445
PATDVL-01A_vs_PATDVL-10A	18	0.447	26.162	145.344%	4.405	89.917%	1.8879	0.279
PATENH-01A_vs_PATENH-11A	64	0.821	50.317	78.62%	6.438	57.354%	0.57468	0.718
PATFXW-01A_vs_PATFXW-10A	102	0.845	66.386	65.084%	8.684	53.65%	0.42556	0.717
PATFZZ-01A_vs_PATFZZ-10A	123	0.819	78.456	63.785%	10.502	57.551%	0.43682	0.618
PATXEE-01A_vs_PATXEE-10A	360	0.927	153.178	42.549%	19.919	37.59%	0.17442	0.853
PAUEKW-01A_vs_PAUEKW-10A	38	0.855	31.511	82.924%	4.559	52.997%	0.65561	0.819
PAUFVP-01A_vs_PAUFVP-11A	63	0.688	58.923	93.529%	8.018	72.891%	0.82315	0.459
PAUGYZ-01A_vs_PAUGYZ-10A	97	0.875	54.81	56.505%	7.282	48.547%	0.33175	0.765
PAUHAZ-01A_vs_PAUHAZ-10A	98	0.841	61.115	62.362%	8.579	54.258%	0.41712	0.717
PAVCKS-01A_vs_PAVCKS-11A	48	0.826	38.886	81.012%	5.073	56.718%	0.63735	0.744
PAVYKD-01A_vs_PAVYKD-10A	38	0.742	37.799	99.471%	5.303	67.348%	0.91811	0.642
PAWFBL-01A_vs_PAWFBL-11A	35	0.718	37.325	106.643%	4.932	70.457%	0.8503	0.617
PAWFWK-01A_vs_PAWFWK-10A	98	0.853	67.349	68.723%	9.291	52.6%	0.45754	0.777
SJBT030128_D1_vs_SJBT030128_G1	62	0.82	45.286	73.042%	6.013	57.332%	0.50986	0.697
SJBT030255_D1_vs_SJBT030255_G1	113	0.788	78.477	69.449%	10.192	61.912%	0.49705	0.525
SJBT030581_D1_vs_SJBT030581_G1	14	0.453	21.912	156.514%	3.337	89.185%	1.70764	0.266
SJBT030997_D1_vs_SJBT030997_G1	107	0.821	77.735	72.65%	10.64	57.119%	0.49329	0.71
SJBT031235_D1_vs_SJBT031235_G1	121	0.939	64.528	53.329%	8.622	34.655%	0.34592	0.918
SJBT031605_D1_vs_SJBT031605_G1	2274	0.996	185.756	8.169%	24.299	8.638%	0.00694	0.989
SJBT031948_D2_vs_SJBT031948_G1	1439	0.97	317.004	22.029%	50.804	24.167%	0.04793	0.941
SJBT032346_D1_vs_SJBT032346_G1	30	0.678	32.343	107.81%	4.764	73.51%	0.92334	0.553
SJBT032393_D1_vs_SJBT032393_G1	1394	0.993	195.019	13.99%	30.636	11.797%	0.02449	0.99
SJBT032417_D2_vs_SJBT032417_G1	248	0.924	106.661	43.008%	14.127	38.392%	0.20352	0.849
SJBT033236_D2_vs_SJBT033236_G1	38	0.87	33.458	88.047%	4.995	49.458%	0.74252	0.846
SJBT034089_D1_vs_SJBT034089_G1	35	0.842	34.128	97.509%	5.255	53.915%	0.89693	0.815
SJBT034110_D2_vs_SJBT034110_G1	118	0.897	66.64	56.475%	8.602	44.127%	0.32251	0.828
SJMRT014754_D1_vs_SJMRT014754_G1	220	0.871	111.551	50.705%	17.195	49.514%	0.24686	0.775
SJMRT015723_D1_vs_SJMRT015723_G1	411	0.95	131.131	31.905%	18.456	31.835%	0.11202	0.897
SJMRT063832_X1_vs_SJMRT063832_G1	13	0.517	19.401	149.238%	3.325	85.851%	1.55501	0.421
