Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PARIRN-01A_vs_PARIRN-10A	3.19E+00	3.01E+00	1.92E+00	3.14E+00	2.96E+00	7.63E-01
PARPFY-01A_vs_PARPFY-11A	3.57E+00	2.19E+00	1.88E+00	2.49E+00	2.53E+00	1.52E+00
PARRCL-01A_vs_PARRCL-11A	2.25E+00	2.40E+00	1.54E+00	1.88E+00	1.97E+00	1.51E+00
PARTKH-01A_vs_PARTKH-10A	2.66E+00	2.38E+00	1.61E+00	1.69E+00	2.35E+00	1.43E+00
PARUGK-01A_vs_PARUGK-10A	1.92E+00	2.00E+00	1.20E+00	1.42E+00	1.08E+00	1.10E+00
PARZBI-01A_vs_PARZBI-11A	2.52E+00	3.05E+00	1.33E+00	2.19E+00	2.01E+00	1.60E+00
PARZRH-01A_vs_PARZRH-10A	3.81E+00	2.30E+00	2.31E+00	2.92E+00	2.42E+00	1.70E+00
PASABD-01A_vs_PASABD-10A	2.69E+00	2.18E+00	1.21E+00	2.16E+00	1.36E+00	1.14E+00
PASADZ-01A_vs_PASADZ-10A	2.46E+00	2.78E+00	1.34E+00	2.35E+00	1.95E+00	1.78E+00
PASCDH-01A_vs_PASCDH-10A	2.83E+00	2.98E+00	1.41E+00	2.50E+00	1.42E+00	1.42E+00
PASDLA-01A_vs_PASDLA-11A	2.07E+00	1.78E+00	1.16E+00	1.79E+00	1.37E+00	9.55E-01
PASGCL-01A_vs_PASGCL-10A	2.58E+00	2.52E+00	1.41E+00	2.09E+00	1.46E+00	6.78E-01
PASRHU-01A_vs_PASRHU-10A	1.44E+00	9.79E-01	6.71E-01	1.52E+00	9.81E-01	6.02E-01
PASVDP-01A_vs_PASVDP-10A	2.11E+00	2.00E+00	1.58E+00	2.01E+00	1.23E+00	1.00E+00
PASWZZ-01A_vs_PASWZZ-10A	1.80E+00	1.81E+00	1.00E+00	1.70E+00	1.11E+00	9.98E-01
PASXNA-01A_vs_PASXNA-11A	2.07E+00	2.34E+00	1.72E+00	1.76E+00	2.26E+00	1.10E+00
PASYNF-01A_vs_PASYNF-10A	2.05E+00	1.49E+00	1.31E+00	1.82E+00	1.01E+00	8.32E-01
PASZYE-01A_vs_PASZYE-10A	2.08E+00	2.47E+00	1.28E+00	2.09E+00	1.35E+00	9.22E-01
PATAFT-01A_vs_PATAFT-10A	2.72E+00	2.50E+00	1.62E+00	1.70E+00	2.27E+00	1.25E+00
PATBLF-01A_vs_PATBLF-10A	2.83E+00	2.91E+00	1.77E+00	2.66E+00	1.46E+00	1.33E+00
PATDVL-01A_vs_PATDVL-10A	1.80E+00	1.75E+00	1.14E+00	1.35E+00	1.27E+00	9.60E-01
PATENH-01A_vs_PATENH-11A	3.28E+00	2.92E+00	1.59E+00	3.21E+00	1.95E+00	1.61E+00
PATFXW-01A_vs_PATFXW-10A	2.66E+00	2.40E+00	8.91E-01	2.08E+00	1.49E+00	1.78E+00
PATFZZ-01A_vs_PATFZZ-10A	3.04E+00	3.07E+00	2.11E+00	2.56E+00	3.09E+00	1.69E+00
PATXEE-01A_vs_PATXEE-10A	3.91E+00	3.41E+00	1.89E+00	2.71E+00	2.33E+00	1.30E+00
PATXKA-01A_vs_PATXKA-10A	2.62E+00	2.45E+00	1.66E+00	1.57E+00	1.51E+00	1.49E+00
PAUCGJ-01A_vs_PAUCGJ-10A	3.59E+00	3.67E+00	1.91E+00	2.56E+00	2.57E+00	2.20E+00
PAUDPV-01A_vs_PAUDPV-11A	1.94E+00	1.89E+00	9.26E-01	1.69E+00	1.22E+00	1.27E+00
PAUEKW-01A_vs_PAUEKW-10A	3.50E+00	4.72E+00	2.89E+00	4.32E+00	2.86E+00	1.15E+00
PAUFVP-01A_vs_PAUFVP-11A	3.51E+00	3.43E+00	1.93E+00	3.00E+00	3.01E+00	1.26E+00
PAUGYZ-01A_vs_PAUGYZ-10A	2.78E+00	1.77E+00	1.51E+00	2.21E+00	2.08E+00	6.87E-01
PAUHAZ-01A_vs_PAUHAZ-10A	2.40E+00	1.22E+00	1.06E+00	1.79E+00	1.73E+00	9.47E-01
PAUNPA-01A_vs_PAUNPA-11A	3.12E+00	2.44E+00	1.91E+00	2.34E+00	2.10E+00	6.26E-01
PAVCKS-01A_vs_PAVCKS-11A	3.88E+00	4.15E+00	2.59E+00	3.11E+00	2.30E+00	2.61E+00
PAVITI-01A_vs_PAVITI-10A	3.02E+00	2.98E+00	1.82E+00	2.23E+00	1.92E+00	1.37E+00
PAVYDM-01A_vs_PAVYDM-11A	2.83E+00	2.66E+00	1.83E+00	1.82E+00	2.87E+00	1.09E+00
PAVYKD-01A_vs_PAVYKD-10A	1.98E+00	2.04E+00	9.15E-01	1.46E+00	1.30E+00	1.10E+00
PAWDGA-01A_vs_PAWDGA-11A	3.61E+00	3.44E+00	1.61E+00	2.37E+00	2.09E+00	8.45E-01
PAWFBL-01A_vs_PAWFBL-11A	3.81E+00	2.49E+00	1.55E+00	2.30E+00	2.19E+00	7.65E-01
PAWFWK-01A_vs_PAWFWK-10A	2.04E+00	2.20E+00	1.05E+00	1.90E+00	1.50E+00	9.72E-01
SJBT030128_D1_vs_SJBT030128_G1	1.43E+00	5.31E-01	6.58E-01	1.22E+00	8.43E-01	2.91E-01
SJBT030255_D1_vs_SJBT030255_G1	5.20E+00	4.03E+00	2.97E+00	3.95E+00	6.92E+00	1.85E+00
SJBT030581_D1_vs_SJBT030581_G1	3.75E+00	3.92E+00	2.24E+00	3.48E+00	2.74E+00	5.29E-01
SJBT030707_D2_vs_SJBT030707_G1	7.43E-01	1.41E+00	4.28E-01	1.47E+00	8.98E-01	1.03E-01
SJBT030896_D1_vs_SJBT030896_G1	3.11E+00	4.25E+00	5.70E+00	3.25E+00	4.00E+00	9.25E-01
SJBT030997_D1_vs_SJBT030997_G1	2.40E+00	2.34E+00	1.24E+00	2.25E+00	1.20E+00	1.23E+00
SJBT031235_D1_vs_SJBT031235_G1	1.13E+00	9.04E-01	5.56E-02	1.25E+00	6.85E-01	1.67E-01
SJBT031605_D1_vs_SJBT031605_G1	1.29E+01	1.04E+01	6.43E+00	7.90E+00	1.51E+01	3.04E+00
SJBT031948_D2_vs_SJBT031948_G1	2.04E+01	1.11E+01	2.18E+01	7.60E+00	1.92E+01	4.24E+00
SJBT032047_D1_vs_SJBT032047_G1	0.00E+00	2.27E-01	1.35E-01	8.80E-02	9.99E-02	1.05E-01
SJBT032346_D1_vs_SJBT032346_G1	3.14E+00	2.98E+00	1.12E+00	2.76E+00	1.59E+00	8.46E-01
SJBT032393_D1_vs_SJBT032393_G1	6.94E+00	5.53E+00	3.88E+00	8.07E+00	4.81E+00	1.48E+00
SJBT032417_D2_vs_SJBT032417_G1	1.79E+00	1.64E+00	1.76E+00	1.77E+00	1.39E+00	9.01E-01
SJBT033133_D3_vs_SJBT033133_G1	6.71E-02	2.41E-01	1.66E-01	2.84E-01	1.77E-01	0.00E+00
SJBT033236_D2_vs_SJBT033236_G1	7.24E-01	8.92E-01	3.61E-01	1.09E+00	3.53E-01	9.00E-02
SJBT034089_D1_vs_SJBT034089_G1	2.30E-01	5.98E-01	5.25E-01	6.37E-01	1.56E-01	8.18E-02
SJBT034110_D2_vs_SJBT034110_G1	1.48E+00	1.50E+00	8.75E-01	1.51E+00	1.15E+00	3.42E-01
SJMRT014754_D1_vs_SJMRT014754_G1	5.55E+00	4.12E+00	3.73E+00	3.17E+00	5.35E+00	1.34E+00
SJMRT015723_D1_vs_SJMRT015723_G1	4.21E+00	3.40E+00	2.56E+00	2.83E+00	2.23E+00	1.39E+00
SJMRT063832_X1_vs_SJMRT063832_G1	1.90E+01	6.25E+01	3.32E+01	6.49E+01	1.29E+01	5.89E+00
