Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
SJBT031948_D2_vs_SJBT031948_G1	853	516	5182	30	299	266
SJBT032047_D1_vs_SJBT032047_G1	0	3	2	0	2	0
SJBT032346_D1_vs_SJBT032346_G1	173	61	15	393	31	19
SJBT032393_D1_vs_SJBT032393_G1	555	61	105	1492	113	59
SJBT032417_D2_vs_SJBT032417_G1	43	12	129	117	21	21
SJBT033133_D3_vs_SJBT033133_G1	1	3	2	1	2	0
SJBT033236_D2_vs_SJBT033236_G1	1	14	6	70	4	0
SJBT034089_D1_vs_SJBT034089_G1	0	2	2	77	0	0
SJBT034110_D2_vs_SJBT034110_G1	31	72	16	95	18	5
SJMRT014754_D1_vs_SJMRT014754_G1	556	99	408	150	131	46
SJMRT015723_D1_vs_SJMRT015723_G1	273	228	135	193	65	73
SJMRT063832_X1_vs_SJMRT063832_G1	0	12521	2489	1199	833	535
