Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
SJBT031948_D2_vs_SJBT031948_G1	9.26E+00	1.64E+01	3.91E+00	6.19E+00	7.49E+00	4.50E-01	1.08E+01	5.95E+00	2.63E+00	1.82E+01
SJBT032346_D1_vs_SJBT032346_G1	0.00E+00	1.98E-01	4.27E-01	6.64E-01	4.98E-01	4.35E-01	3.71E-02	5.90E-01	1.78E-01	5.54E-01
SJBT032393_D1_vs_SJBT032393_G1	3.19E+00	5.19E+00	2.20E+00	1.02E+01	8.59E+00	6.56E+00	5.54E+00	8.33E+00	1.60E+00	9.69E+00
SJBT032417_D2_vs_SJBT032417_G1	2.14E+00	3.02E+00	5.68E-01	1.11E+00	1.73E+00	1.08E+00	1.45E+00	2.00E+00	1.04E+00	2.29E+00
SJBT033236_D2_vs_SJBT033236_G1	1.19E-01	2.60E-01	1.46E-01	5.39E-01	2.00E-01	6.23E-01	2.18E-01	2.37E-01	0.00E+00	5.94E-01
SJBT034089_D1_vs_SJBT034089_G1	1.21E-01	4.81E-01	1.75E-01	4.13E-01	4.64E-01	5.83E-01	2.52E-01	1.81E-01	2.31E-01	4.29E-01
SJBT034110_D2_vs_SJBT034110_G1	5.44E-01	8.75E-01	6.18E-01	9.36E-01	1.64E+00	8.46E-01	1.01E+00	1.08E+00	3.44E-01	1.55E+00
SJMRT014754_D1_vs_SJMRT014754_G1	1.29E+00	2.75E+00	1.54E+00	2.00E+00	2.14E+00	2.52E-01	2.55E+00	2.54E+00	0.00E+00	3.30E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.25E+00	3.83E+00	1.17E+00	4.32E+00	3.24E+00	1.34E+00	1.12E+00	3.67E+00	1.23E+00	4.12E+00
SJMRT063832_X1_vs_SJMRT063832_G1	8.21E-02	4.46E-01	2.23E-02	2.65E-01	1.60E-01	1.28E-01	7.59E-02	1.11E-01	0.00E+00	2.86E-01
