Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
AX4912_vs_AX4894	30	75	49	0	176	15	16
AX4914_vs_AX4895	14	7	5	0	208	14	22
AX4915_vs_AX4895	36	0	147	27	204	40	29
AX4916_vs_AX4896	0	0	93	54	225	33	0
AX4918_vs_AX4897	17	24	62	0	169	3	17
AX4921_vs_AX4898	30	8	190	0	214	67	8
AX4923_vs_AX4906	15	6	0	75	166	33	1
AX4925_vs_AX4901	43	80	88	95	276	59	48
AX4927_vs_AX4905	341	295	19	12	215	45	46
AX4928_vs_AQ5174	10	0	0	29	212	51	16
AX4930_vs_AX4900	13	0	190	9	219	50	18
AX4932_vs_AX4908	2	44	0	1	197	73	2
AX4933_vs_AX4909	133	32	0	715	77	0	0
AX4934_vs_AX4909	33	22	39	88	189	54	0
AX4935_vs_AX4910	1756	0	14	24	0	51	0
AX4937_vs_AX4894	10	33	94	91	0	32	11
AX4938_vs_AX4896	10	8	37	21	1	16	0
AX4940_vs_AX4904	0	41	0	62	0	21	5
AX4942_vs_AX4898	10	28	33	8	20	5	3
AX4943_vs_AX4898	1	3	35	3	15	10	2
AX4944_vs_AX4897	49	62	248	0	55	80	127
AX4945_vs_AX4898	3	4	9	0	8	1	2
AX4946_vs_AX4895	22	0	325	79	16	4	11
AX4947_vs_AX4895	4	0	244	74	23	1	24
AX4951_vs_AX4903	67	41	22	176	29	337	8
AX4958_vs_AQ5174	9	74	158	17	36	4	4
AX4961_vs_AQ5174	13	36	141	42	10	3	7
DIAF_vs_BLOOD	188	505	59	183	33	66	31
LNMETA_vs_BLOOD	442	986	4	164	139	75	121
LN_vs_BLOOD	80	20	19	127	59	197	814
OMEN_vs_BLOOD	121	387	23	0	45	58	24
PADWRZ-01A_vs_PADWRZ-10A	0	6	24	2	1	0	1
PADYZI-01A_vs_PADYZI-10A	5	64	26	23	18	24	55
PAEHIP-01A_vs_PAEHIP-10A	14	8	33	0	13	19	23
PAJLWM-01A_vs_PAJLWM-11A	11	8	20	7	0	18	6
PAJNFP-01A_vs_PAJNFP-11A	12	23	0	0	13	12	176
PAKHTL-01A_vs_PAKHTL-11A	0	13	16	0	3	10	24
PAKLYZ-01A_vs_PAKLYZ-10A	11	3	107	4	13	34	3
PAKTCT-01A_vs_PAKTCT-11A	2	4	11	10	8	2	5
PARECB-01A_vs_PARECB-11A	3	4	7	0	1	6	0
PAREWI-01A_vs_PAREWI-11A	2	24	43	49	0	15	50
PARGRN-01A_vs_PARGRN-10A	13	0	58	13	10	0	155
PARIRN-01A_vs_PARIRN-10A	3	0	11	17	3	15	14
PARPFY-01A_vs_PARPFY-11A	12	0	44	33	14	0	23
PARZRH-01A_vs_PARZRH-10A	0	7	14	0	6	2	2
PASABD-01A_vs_PASABD-10A	0	44	26	3	9	29	10
PASADZ-01A_vs_PASADZ-10A	2	0	9	7	4	0	3
PASCDH-01A_vs_PASCDH-10A	24	0	69	52	14	106	70
PASDLA-01A_vs_PASDLA-11A	4	6	12	0	1	6	5
PASVDP-01A_vs_PASVDP-10A	3	0	24	10	8	8	1
PASWZZ-01A_vs_PASWZZ-10A	5	0	0	12	4	17	26
PASXNA-01A_vs_PASXNA-11A	1	4	6	3	0	0	0
PATAFT-01A_vs_PATAFT-10A	2	36	31	35	12	10	10
PATDVL-01A_vs_PATDVL-10A	0	0	3	3	2	6	4
PATENH-01A_vs_PATENH-11A	0	0	2	20	4	13	25
PATFXW-01A_vs_PATFXW-10A	0	20	20	7	4	26	25
PATFZZ-01A_vs_PATFZZ-10A	14	35	11	0	11	25	27
PATXEE-01A_vs_PATXEE-10A	30	0	134	85	2	99	10
PAUEKW-01A_vs_PAUEKW-10A	4	0	5	0	7	21	1
PAUFVP-01A_vs_PAUFVP-11A	1	20	21	0	12	9	0
PAUGYZ-01A_vs_PAUGYZ-10A	5	8	37	35	1	6	5
PAUHAZ-01A_vs_PAUHAZ-10A	11	0	31	22	5	25	4
PAVCKS-01A_vs_PAVCKS-11A	3	10	20	0	8	7	0
PAVYKD-01A_vs_PAVYKD-10A	0	3	20	0	5	4	6
PAWFBL-01A_vs_PAWFBL-11A	5	7	10	3	5	5	0
PAWFWK-01A_vs_PAWFWK-10A	14	26	38	0	0	20	0
SJBT030128_D1_vs_SJBT030128_G1	5	15	19	0	6	17	0
SJBT030255_D1_vs_SJBT030255_G1	29	6	12	25	12	9	20
SJBT030581_D1_vs_SJBT030581_G1	2	1	4	6	0	1	0
SJBT030997_D1_vs_SJBT030997_G1	1	0	48	11	0	29	18
SJBT031235_D1_vs_SJBT031235_G1	1	11	6	0	19	82	2
SJBT031605_D1_vs_SJBT031605_G1	263	64	406	1098	65	145	233
SJBT031948_D2_vs_SJBT031948_G1	640	560	0	71	52	0	116
SJBT032346_D1_vs_SJBT032346_G1	0	2	10	0	9	8	1
SJBT032393_D1_vs_SJBT032393_G1	86	12	184	130	29	902	51
SJBT032417_D2_vs_SJBT032417_G1	104	62	16	0	4	36	26
SJBT033236_D2_vs_SJBT033236_G1	1	1	1	0	4	31	0
SJBT034089_D1_vs_SJBT034089_G1	0	5	0	0	0	28	2
SJBT034110_D2_vs_SJBT034110_G1	10	14	5	20	14	50	5
SJMRT014754_D1_vs_SJMRT014754_G1	34	90	21	15	57	3	0
SJMRT015723_D1_vs_SJMRT015723_G1	99	126	81	0	16	54	35
SJMRT063832_X1_vs_SJMRT063832_G1	0	11	0	0	0	2	0
