Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PAUFVP-01A_vs_PAUFVP-11A	3.47E-01	1.16E+00	9.20E-01	6.65E-01	6.28E-01	5.17E-01	3.62E-01
PAUGYZ-01A_vs_PAUGYZ-10A	4.11E-01	1.27E+00	1.37E+00	1.37E+00	3.01E-01	4.31E-01	6.09E-01
PAUHAZ-01A_vs_PAUHAZ-10A	6.39E-01	1.17E+00	1.45E+00	1.76E+00	5.60E-01	7.41E-01	4.59E-01
PAVCKS-01A_vs_PAVCKS-11A	3.38E-01	8.95E-01	1.02E+00	5.67E-01	4.53E-01	5.66E-01	8.45E-02
PAVYKD-01A_vs_PAVYKD-10A	0.00E+00	7.72E-01	7.46E-01	5.11E-01	3.37E-01	3.70E-01	4.19E-01
PAWFBL-01A_vs_PAWFBL-11A	4.09E-01	6.07E-01	6.95E-01	4.81E-01	3.59E-01	3.97E-01	2.03E-01
PAWFWK-01A_vs_PAWFWK-10A	7.13E-01	1.51E+00	1.36E+00	1.33E+00	6.87E-02	7.99E-01	1.00E-02
SJBT030128_D1_vs_SJBT030128_G1	4.77E-01	7.67E-01	9.22E-01	5.18E-01	4.99E-01	5.51E-01	1.28E-01
SJBT030255_D1_vs_SJBT030255_G1	8.25E-01	1.65E+00	1.19E+00	1.64E+00	9.69E-01	7.24E-01	7.70E-01
SJBT030581_D1_vs_SJBT030581_G1	1.95E-01	3.15E-01	3.85E-01	3.81E-01	1.70E-01	1.71E-01	2.00E-02
SJBT030997_D1_vs_SJBT030997_G1	2.66E-01	1.04E+00	1.51E+00	1.12E+00	6.67E-02	9.77E-01	8.45E-01
SJBT031235_D1_vs_SJBT031235_G1	8.36E-02	8.17E-01	1.08E+00	1.05E+00	6.43E-01	1.28E+00	3.44E-01
SJBT031605_D1_vs_SJBT031605_G1	6.05E+00	2.30E+01	1.47E+01	1.64E+01	5.06E+00	3.50E+00	6.01E+00
SJBT031948_D2_vs_SJBT031948_G1	8.69E+00	1.61E+01	4.05E+00	1.18E+01	3.06E+00	9.48E-01	2.45E+00
SJBT032346_D1_vs_SJBT032346_G1	0.00E+00	3.25E-01	5.89E-01	2.61E-01	4.54E-01	4.62E-01	2.28E-01
SJBT032393_D1_vs_SJBT032393_G1	3.34E+00	6.53E+00	8.07E+00	8.10E+00	2.60E+00	6.76E+00	1.97E+00
SJBT032417_D2_vs_SJBT032417_G1	2.07E+00	2.54E+00	1.60E+00	1.92E+00	5.92E-01	1.16E+00	1.21E+00
SJBT033236_D2_vs_SJBT033236_G1	1.43E-01	3.16E-01	1.79E-01	2.50E-01	1.82E-01	4.70E-01	0.00E+00
SJBT034089_D1_vs_SJBT034089_G1	1.42E-01	4.99E-01	2.27E-01	3.46E-01	1.97E-01	5.30E-01	2.29E-01
SJBT034110_D2_vs_SJBT034110_G1	5.89E-01	1.42E+00	1.04E+00	1.40E+00	6.59E-01	8.78E-01	4.59E-01
SJMRT014754_D1_vs_SJMRT014754_G1	1.29E+00	2.97E+00	1.75E+00	2.97E+00	1.43E+00	3.76E-01	0.00E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.25E+00	3.57E+00	2.78E+00	2.48E+00	1.25E+00	1.48E+00	1.51E+00
SJMRT063832_X1_vs_SJMRT063832_G1	2.24E-01	3.99E-01	1.45E-01	2.00E-01	5.84E-02	1.29E-01	3.00E-02
