Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.893	791.99	41.422%	122.827	47.328%	0.13636	0.767
AX4914_vs_AX4895	956	0.936	321.201	33.598%	46.947	35.766%	0.1053	0.858
AX4915_vs_AX4895	3472	0.913	1243.483	35.815%	184.178	42.031%	0.097	0.754
AX4916_vs_AX4896	533	0.905	193.09	36.227%	36.131	42.537%	0.16441	0.833
AX4918_vs_AX4897	2626	0.929	874.418	33.298%	130.609	37.984%	0.0987	0.821
AX4921_vs_AX4898	1234	0.961	335.182	27.162%	48.709	28.052%	0.08165	0.919
AX4922_vs_AX4899	4398	0.968	1228.089	27.924%	193.127	25.924%	0.07966	0.952
AX4923_vs_AX4906	2859	0.941	849.253	29.705%	120.515	34.03%	0.07504	0.813
AX4924_vs_AX4901	209	0.846	152.445	72.94%	28.248	53.682%	0.59849	0.814
AX4925_vs_AX4901	863	0.927	335.526	38.879%	45.629	39.564%	0.14734	0.837
AX4926_vs_AX4904	181	0.893	128.073	70.759%	25.232	46.67%	0.54464	0.88
AX4927_vs_AX4905	1745	0.96	455.065	26.078%	67.639	29.22%	0.05905	0.908
AX4928_vs_AQ5174	1675	0.921	571.784	34.136%	85.3	40.768%	0.10392	0.781
AX4929_vs_AQ5174	258	0.905	161.514	62.602%	26.799	42.968%	0.41459	0.885
AX4930_vs_AX4900	1106	0.963	310.132	28.041%	45.422	26.953%	0.09072	0.932
AX4931_vs_AX4907	268	0.84	162.829	60.757%	24.881	54.766%	0.39164	0.738
AX4932_vs_AX4908	851	0.959	268.698	31.574%	39.626	28.765%	0.09923	0.931
AX4933_vs_AX4909	1146	0.825	576.313	50.289%	87.802	59.516%	0.23208	0.539
AX4934_vs_AX4909	531	0.88	263.502	49.624%	37.667	47.657%	0.23102	0.759
AX4935_vs_AX4910	2613	0.981	638.089	24.42%	95.549	20.24%	0.07113	0.973
AX4936_vs_AX4911	685	0.926	277.417	40.499%	37.117	39.149%	0.15592	0.846
AX4937_vs_AX4894	1783	0.919	626.312	35.127%	98.111	40.782%	0.10554	0.816
AX4938_vs_AX4896	251	0.902	119.521	47.618%	16.507	43.697%	0.23884	0.813
AX4940_vs_AX4904	1000	0.911	365.119	36.512%	51.909	42.369%	0.11291	0.712
AX4942_vs_AX4898	2118	0.941	668.038	31.541%	95.786	34.272%	0.08748	0.85
AX4943_vs_AX4898	2216	0.927	771.506	34.815%	111.221	37.919%	0.10334	0.817
AX4944_vs_AX4897	2774	0.967	703.106	25.346%	96.225	26.363%	0.05637	0.924
AX4945_vs_AX4898	831	0.947	272.287	32.766%	38.454	32.536%	0.09673	0.891
AX4946_vs_AX4895	4856	0.942	1463.056	30.129%	231.468	34.051%	0.08107	0.876
AX4947_vs_AX4895	4663	0.942	1379.924	29.593%	219.641	33.933%	0.07667	0.873
AX4951_vs_AX4903	832	0.957	293.365	35.26%	42.33	29.651%	0.11685	0.933
AX4958_vs_AQ5174	3245	0.952	919.397	28.333%	131.922	32.407%	0.06448	0.876
AX4961_vs_AQ5174	3235	0.943	1007.503	31.144%	142.578	35.536%	0.07952	0.854
DIAF_vs_BLOOD	2309	0.938	712.08	30.839%	101.09	35.454%	0.07594	0.811
HK_vs_BLOOD	18	0.704	20.299	112.772%	4.141	71.018%	1.46573	0.663
LNMETA_vs_BLOOD	2798	0.934	865.247	30.924%	125.783	37.036%	0.07945	0.79
LN_vs_BLOOD	1878	0.959	520.363	27.708%	75.241	28.409%	0.07531	0.914
OMEN_vs_BLOOD	1525	0.95	417.496	27.377%	61.481	32.054%	0.08053	0.86
PABKLN-01A_vs_PABKLN-11A	810	0.881	348.767	43.058%	54.973	49.304%	0.16932	0.74
PADWRZ-01A_vs_PADWRZ-10A	655	0.93	240.847	36.771%	33.601	38.309%	0.12736	0.842
PADYZI-01A_vs_PADYZI-10A	1367	0.991	380.744	27.853%	62.715	16.643%	0.09274	0.991
PAEHIP-01A_vs_PAEHIP-10A	290	0.908	154.638	53.323%	20.733	43.082%	0.271	0.852
PAJLWM-01A_vs_PAJLWM-11A	328	0.895	163.254	49.773%	22.895	45.145%	0.24099	0.81
PAJMBW-01A_vs_PAJMBW-10A	589	0.953	217.677	36.957%	30.617	30.857%	0.13971	0.926
PAJMRB-01A_vs_PAJMRB-11A	312	0.947	132.414	42.44%	18.386	32.451%	0.20403	0.922
PAJNER-01A_vs_PAJNER-11A	241	0.839	144.884	60.118%	19.736	56.76%	0.32191	0.68
PAJNFP-01A_vs_PAJNFP-11A	918	0.934	331.589	36.121%	45.078	35.999%	0.11598	0.847
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.946	201.395	34.077%	28.25	32.833%	0.13349	0.894
PAKHTL-01A_vs_PAKHTL-11A	916	0.931	347.952	37.986%	51.621	38.737%	0.13511	0.874
PAKLYZ-01A_vs_PAKLYZ-10A	1306	0.955	383.342	29.352%	55.244	29.641%	0.08494	0.907
