Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.9	647.107	41.722%	100.018	45.673%	0.13591	0.798
AX4914_vs_AX4895	686	0.911	288.379	42.038%	41.202	42.228%	0.15782	0.817
AX4915_vs_AX4895	2989	0.919	1020.751	34.15%	154.506	40.495%	0.08641	0.782
AX4916_vs_AX4896	128	0.832	91.893	71.791%	13.16	57.163%	0.50279	0.749
AX4918_vs_AX4897	2334	0.965	619.423	26.539%	81.635	26.316%	0.05624	0.914
AX4921_vs_AX4898	717	0.945	244.642	34.12%	34.567	33.153%	0.10664	0.891
AX4922_vs_AX4899	4398	0.968	1228.089	27.924%	193.127	25.924%	0.07966	0.952
AX4923_vs_AX4906	2563	0.946	758.685	29.601%	104.152	32.857%	0.07249	0.826
AX4924_vs_AX4901	209	0.846	152.445	72.94%	28.248	53.682%	0.59849	0.814
AX4925_vs_AX4901	174	0.83	107.084	61.543%	14.336	57.575%	0.3541	0.646
AX4926_vs_AX4904	181	0.893	128.073	70.759%	25.232	46.67%	0.54464	0.88
AX4927_vs_AX4905	772	0.946	237.87	30.812%	35.037	33.98%	0.09296	0.879
AX4928_vs_AQ5174	1357	0.901	538.15	39.657%	77.782	46.254%	0.12808	0.73
AX4929_vs_AQ5174	258	0.905	161.514	62.602%	26.799	42.968%	0.41459	0.885
AX4930_vs_AX4900	607	0.954	229.992	37.89%	32.127	31.069%	0.1435	0.929
AX4931_vs_AX4907	268	0.84	162.829	60.757%	24.881	54.766%	0.39164	0.738
AX4932_vs_AX4908	532	0.965	179.546	33.749%	24.765	26.692%	0.11519	0.947
AX4933_vs_AX4909	189	0.84	118.445	62.669%	17.409	58.454%	0.41175	0.735
AX4934_vs_AX4909	106	0.764	86.379	81.49%	12.231	67.95%	0.67545	0.625
AX4935_vs_AX4910	768	0.963	252.572	32.887%	39.351	28.433%	0.11889	0.948
AX4936_vs_AX4911	685	0.926	277.417	40.499%	37.117	39.149%	0.15592	0.846
AX4937_vs_AX4894	1512	0.92	515.531	34.096%	84.565	40.264%	0.10537	0.831
AX4938_vs_AX4896	158	0.855	100.18	63.405%	13.6	53.759%	0.3861	0.756
AX4940_vs_AX4904	871	0.904	334.778	38.436%	46.881	43.898%	0.12541	0.693
AX4942_vs_AX4898	2011	0.943	625.126	31.085%	89.183	33.632%	0.084	0.856
AX4943_vs_AX4898	2147	0.928	746.083	34.75%	106.683	37.712%	0.10157	0.819
AX4944_vs_AX4897	2153	0.925	757.265	35.173%	114.724	40.014%	0.10948	0.831
AX4945_vs_AX4898	804	0.945	273.635	34.034%	38.267	33.332%	0.10131	0.888
AX4946_vs_AX4895	4399	0.94	1333.902	30.323%	212.712	34.703%	0.08334	0.869
AX4947_vs_AX4895	4293	0.942	1264.549	29.456%	202.174	33.988%	0.07761	0.873
AX4951_vs_AX4903	152	0.94	75.895	49.931%	10.445	34.068%	0.32782	0.919
AX4958_vs_AQ5174	2943	0.949	861.266	29.265%	122.039	33.174%	0.06979	0.868
AX4961_vs_AQ5174	2983	0.943	939.669	31.501%	131.381	35.582%	0.08189	0.852
DIAF_vs_BLOOD	1244	0.947	394.463	31.709%	53.733	34.16%	0.08352	0.868
HK_vs_BLOOD	18	0.704	20.299	112.772%	4.141	71.018%	1.46573	0.663
LNMETA_vs_BLOOD	867	0.933	305.365	35.221%	42.939	37.475%	0.11458	0.844
LN_vs_BLOOD	562	0.929	217.136	38.636%	29.007	37.7%	0.13816	0.841
OMEN_vs_BLOOD	867	0.929	319.992	36.908%	44.804	38.523%	0.11926	0.842
PABKLN-01A_vs_PABKLN-11A	810	0.881	348.767	43.058%	54.973	49.304%	0.16932	0.74
PADWRZ-01A_vs_PADWRZ-10A	621	0.922	242.23	39.006%	33.771	40.425%	0.13935	0.826
PADYZI-01A_vs_PADYZI-10A	1152	0.994	279.69	24.279%	48.852	13.466%	0.08778	0.994
PAEHIP-01A_vs_PAEHIP-10A	180	0.895	112.194	62.33%	16.506	46.064%	0.39458	0.859
PAJLWM-01A_vs_PAJLWM-11A	258	0.894	132.202	51.241%	18.301	45.983%	0.27097	0.811
PAJMBW-01A_vs_PAJMBW-10A	589	0.953	217.677	36.957%	30.617	30.857%	0.13971	0.926
PAJMRB-01A_vs_PAJMRB-11A	312	0.947	132.414	42.44%	18.386	32.451%	0.20403	0.922
PAJNER-01A_vs_PAJNER-11A	241	0.839	144.884	60.118%	19.736	56.76%	0.32191	0.68
PAJNFP-01A_vs_PAJNFP-11A	682	0.922	270.939	39.727%	35.526	38.934%	0.13144	0.806
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.946	201.395	34.077%	28.25	32.833%	0.13349	0.894
PAKHTL-01A_vs_PAKHTL-11A	850	0.933	311.737	36.675%	47.62	38.134%	0.1305	0.879
PAKLYZ-01A_vs_PAKLYZ-10A	1131	0.957	337.705	29.859%	47.26	28.934%	0.08322	0.913
PAKTCT-01A_vs_PAKTCT-11A	888	0.935	302.84	34.104%	41.228	35.693%	0.10524	0.826
PARECB-01A_vs_PARECB-11A	276	0.837	155.27	56.257%	21.93	56.927%	0.29509	0.646
PAREWI-01A_vs_PAREWI-11A	347	0.87	189.744	54.681%	26.109	50.96%	0.26772	0.751
PARGRN-01A_vs_PARGRN-10A	304	0.878	147.28	48.447%	20.854	48.38%	0.23876	0.735
PARIRN-01A_vs_PARIRN-10A	642	0.94	231.639	36.081%	33.648	34.175%	0.11545	0.89
PARPFY-01A_vs_PARPFY-11A	498	0.889	234.231	47.034%	32.686	47.933%	0.20909	0.759
PARRCL-01A_vs_PARRCL-11A	509	0.874	230.362	45.258%	35.216	50.761%	0.21395	0.723
PARTKH-01A_vs_PARTKH-10A	538	0.871	268.565	49.919%	35.704	49.888%	0.21991	0.664
PARUGK-01A_vs_PARUGK-10A	355	0.874	187.196	52.731%	26.731	52.055%	0.24053	0.765
PARZBI-01A_vs_PARZBI-11A	587	0.897	259.034	44.128%	37.991	46.584%	0.17765	0.789
PARZRH-01A_vs_PARZRH-10A	930	0.948	287.739	30.94%	43.134	32.719%	0.11477	0.896
PASABD-01A_vs_PASABD-10A	318	0.909	144.284	45.372%	19.417	42.092%	0.21045	0.813
PASADZ-01A_vs_PASADZ-10A	592	0.914	233.968	39.522%	33.404	41.174%	0.1424	0.801
PASCDH-01A_vs_PASCDH-10A	241	0.88	134.475	55.799%	18.328	50.813%	0.27693	0.789
PASDLA-01A_vs_PASDLA-11A	282	0.87	147.714	52.381%	20.548	49.719%	0.2526	0.732
PASGCL-01A_vs_PASGCL-10A	513	0.896	236.165	46.036%	35.521	46.288%	0.18402	0.81
PASRHU-01A_vs_PASRHU-10A	228	0.941	109.294	47.936%	14.562	34.632%	0.26996	0.916
PASVDP-01A_vs_PASVDP-10A	365	0.904	156.475	42.87%	22.782	43.594%	0.20102	0.805
PASWZZ-01A_vs_PASWZZ-10A	224	0.867	129.692	57.898%	17.807	51.276%	0.32418	0.764
PASXNA-01A_vs_PASXNA-11A	496	0.925	189.94	38.294%	25.633	39.172%	0.13934	0.819
PASYNF-01A_vs_PASYNF-10A	336	0.909	165.975	49.397%	22.987	42.583%	0.2322	0.847
PASZYE-01A_vs_PASZYE-10A	491	0.921	209.5	42.668%	28.539	40.841%	0.17795	0.845
PATAFT-01A_vs_PATAFT-10A	382	0.883	166.414	43.564%	22.919	48.189%	0.18295	0.64
PATBLF-01A_vs_PATBLF-10A	725	0.944	233.391	32.192%	34.313	33.38%	0.10603	0.884
PATDVL-01A_vs_PATDVL-10A	355	0.879	183.358	51.65%	24.664	49.437%	0.25251	0.746
PATENH-01A_vs_PATENH-11A	661	0.952	234.031	35.406%	32.89	32.163%	0.13541	0.921
PATFXW-01A_vs_PATFXW-10A	482	0.905	227.598	47.22%	31.722	43.192%	0.23222	0.824
PATFZZ-01A_vs_PATFZZ-10A	554	0.898	246.291	44.457%	33.267	44.439%	0.18068	0.754
PATXEE-01A_vs_PATXEE-10A	483	0.903	214.075	44.322%	31.676	44.299%	0.22306	0.816
PATXKA-01A_vs_PATXKA-10A	442	0.853	242.536	54.872%	32.069	54.052%	0.25284	0.646
PAUCGJ-01A_vs_PAUCGJ-10A	826	0.946	261.79	31.694%	35.515	32.418%	0.08237	0.862
PAUDPV-01A_vs_PAUDPV-11A	286	0.907	135.285	47.302%	17.213	42.248%	0.197	0.8
PAUEKW-01A_vs_PAUEKW-10A	1267	0.958	385.932	30.46%	58.631	30.574%	0.08321	0.928
PAUFVP-01A_vs_PAUFVP-11A	704	0.955	228.283	32.427%	30.371	29.865%	0.10433	0.907
PAUGYZ-01A_vs_PAUGYZ-10A	435	0.929	186.16	42.795%	25.336	37.773%	0.18964	0.874
PAUHAZ-01A_vs_PAUHAZ-10A	259	0.914	121.991	47.101%	16.573	41.394%	0.23274	0.847
PAUNPA-01A_vs_PAUNPA-11A	761	0.967	217.053	28.522%	30.245	26.471%	0.0889	0.942
PAVCKS-01A_vs_PAVCKS-11A	1098	0.927	379.791	34.589%	56.863	38.152%	0.11305	0.833
PAVITI-01A_vs_PAVITI-10A	717	0.941	243.675	33.985%	34.698	34.439%	0.11799	0.877
PAVYDM-01A_vs_PAVYDM-11A	480	0.905	193.384	40.288%	27.051	43.779%	0.16669	0.748
PAVYKD-01A_vs_PAVYKD-10A	295	0.885	146.755	49.747%	19.977	47.39%	0.245	0.759
PAWDGA-01A_vs_PAWDGA-11A	792	0.947	256.981	32.447%	38.328	33.157%	0.11729	0.9
PAWFBL-01A_vs_PAWFBL-11A	610	0.911	254.925	41.791%	36.567	42.145%	0.15625	0.815
PAWFWK-01A_vs_PAWFWK-10A	310	0.888	160.835	51.882%	22.286	46.962%	0.26149	0.797
SJBT030128_D1_vs_SJBT030128_G1	158	0.948	68.337	43.251%	10.457	32.583%	0.25716	0.93
SJBT030255_D1_vs_SJBT030255_G1	1136	0.936	376.532	33.145%	51.656	36.143%	0.11792	0.822
SJBT030581_D1_vs_SJBT030581_G1	1075	0.967	334.481	31.115%	48.255	25.725%	0.09618	0.949
SJBT030707_D2_vs_SJBT030707_G1	162	0.892	101.485	62.645%	13.915	46.027%	0.40626	0.845
SJBT030896_D1_vs_SJBT030896_G1	1820	0.971	604.697	33.225%	87.517	24.117%	0.09869	0.96
SJBT030997_D1_vs_SJBT030997_G1	400	0.866	213.317	53.329%	30.899	51.831%	0.26741	0.747
SJBT031235_D1_vs_SJBT031235_G1	37	0.884	30.857	83.397%	5.424	47.032%	0.80269	0.869
SJBT031605_D1_vs_SJBT031605_G1	1368	0.938	408.923	29.892%	59.703	35.374%	0.07535	0.803
SJBT031948_D2_vs_SJBT031948_G1	5707	0.987	1125.112	19.715%	162.37	16.309%	0.0404	0.981
SJBT032047_D1_vs_SJBT032047_G1	7	0.372	11.266	160.943%	2.491	94.151%	2.833	0.283
SJBT032346_D1_vs_SJBT032346_G1	662	0.952	269.547	40.717%	40.593	33.551%	0.16057	0.934
SJBT032393_D1_vs_SJBT032393_G1	991	0.976	284.696	28.728%	39.453	21.889%	0.08828	0.966
SJBT032417_D2_vs_SJBT032417_G1	95	0.883	71.529	75.294%	11.304	47.223%	0.58765	0.858
SJBT033133_D3_vs_SJBT033133_G1	9	0.413	15.24	169.333%	3.294	91.359%	2.09928	0.345
SJBT033236_D2_vs_SJBT033236_G1	57	0.837	49.969	87.665%	7.207	54.794%	0.77865	0.792
SJBT034089_D1_vs_SJBT034089_G1	46	0.895	37.996	82.6%	5.918	44.864%	0.77321	0.879
SJBT034110_D2_vs_SJBT034110_G1	119	0.825	86.404	72.608%	11.481	59.13%	0.50724	0.713
SJMRT014754_D1_vs_SJMRT014754_G1	1170	0.957	319.837	27.336%	46.554	29.243%	0.07793	0.9
SJMRT015723_D1_vs_SJMRT015723_G1	556	0.89	249.819	44.931%	36.7	48.264%	0.17037	0.767
SJMRT063832_X1_vs_SJMRT063832_G1	17564	0.957	4921.893	28.023%	683.159	31.449%	0.06807	0.893
