Samples	SBS96A	SBS96B
AX4912_vs_AX4894	284	77
AX4914_vs_AX4895	246	24
AX4915_vs_AX4895	409	74
AX4916_vs_AX4896	386	19
AX4918_vs_AX4897	250	42
AX4921_vs_AX4898	457	60
AX4923_vs_AX4906	255	41
AX4925_vs_AX4901	565	124
AX4927_vs_AX4905	378	595
AX4928_vs_AQ5174	302	16
AX4930_vs_AX4900	460	39
AX4932_vs_AX4908	312	7
AX4933_vs_AX4909	465	492
AX4934_vs_AX4909	352	73
AX4935_vs_AX4910	0	1845
AX4937_vs_AX4894	205	66
AX4938_vs_AX4896	66	27
AX4940_vs_AX4904	99	30
AX4942_vs_AX4898	76	31
AX4943_vs_AX4898	63	6
AX4944_vs_AX4897	494	127
AX4945_vs_AX4898	19	8
AX4946_vs_AX4895	348	109
AX4947_vs_AX4895	303	67
AX4951_vs_AX4903	595	85
AX4958_vs_AQ5174	231	71
AX4961_vs_AQ5174	182	70
DIAF_vs_BLOOD	500	565
LNMETA_vs_BLOOD	778	1153
LN_vs_BLOOD	1107	209
OMEN_vs_BLOOD	315	343
PADWRZ-01A_vs_PADWRZ-10A	28	6
PADYZI-01A_vs_PADYZI-10A	170	45
PAEHIP-01A_vs_PAEHIP-10A	85	25
PAJLWM-01A_vs_PAJLWM-11A	50	20
PAJNFP-01A_vs_PAJNFP-11A	192	44
PAKHTL-01A_vs_PAKHTL-11A	63	3
PAKLYZ-01A_vs_PAKLYZ-10A	151	24
PAKTCT-01A_vs_PAKTCT-11A	32	10
PARECB-01A_vs_PARECB-11A	15	6
PAREWI-01A_vs_PAREWI-11A	146	37
PARGRN-01A_vs_PARGRN-10A	199	50
PARIRN-01A_vs_PARIRN-10A	54	9
PARPFY-01A_vs_PARPFY-11A	88	38
PARZRH-01A_vs_PARZRH-10A	27	4
PASABD-01A_vs_PASABD-10A	107	14
PASADZ-01A_vs_PASADZ-10A	17	8
PASCDH-01A_vs_PASCDH-10A	294	41
PASDLA-01A_vs_PASDLA-11A	26	8
PASVDP-01A_vs_PASVDP-10A	44	10
PASWZZ-01A_vs_PASWZZ-10A	56	8
PASXNA-01A_vs_PASXNA-11A	8	6
PATAFT-01A_vs_PATAFT-10A	105	31
PATDVL-01A_vs_PATDVL-10A	18	0
PATENH-01A_vs_PATENH-11A	59	5
PATFXW-01A_vs_PATFXW-10A	97	5
PATFZZ-01A_vs_PATFZZ-10A	92	31
PATXEE-01A_vs_PATXEE-10A	297	63
PAUEKW-01A_vs_PAUEKW-10A	37	1
PAUFVP-01A_vs_PAUFVP-11A	52	11
PAUGYZ-01A_vs_PAUGYZ-10A	70	27
PAUHAZ-01A_vs_PAUHAZ-10A	77	21
PAVCKS-01A_vs_PAVCKS-11A	39	9
PAVYKD-01A_vs_PAVYKD-10A	38	0
PAWFBL-01A_vs_PAWFBL-11A	24	11
PAWFWK-01A_vs_PAWFWK-10A	65	33
SJBT030128_D1_vs_SJBT030128_G1	51	11
SJBT030255_D1_vs_SJBT030255_G1	60	53
SJBT030581_D1_vs_SJBT030581_G1	8	6
SJBT030997_D1_vs_SJBT030997_G1	101	6
SJBT031235_D1_vs_SJBT031235_G1	121	0
SJBT031605_D1_vs_SJBT031605_G1	1443	831
SJBT031948_D2_vs_SJBT031948_G1	216	1223
SJBT032346_D1_vs_SJBT032346_G1	30	0
SJBT032393_D1_vs_SJBT032393_G1	1394	0
SJBT032417_D2_vs_SJBT032417_G1	79	169
SJBT033236_D2_vs_SJBT033236_G1	38	0
SJBT034089_D1_vs_SJBT034089_G1	35	0
SJBT034110_D2_vs_SJBT034110_G1	104	14
SJMRT014754_D1_vs_SJMRT014754_G1	125	95
SJMRT015723_D1_vs_SJMRT015723_G1	213	198
SJMRT063832_X1_vs_SJMRT063832_G1	7	6
