Samples	SBS96A	SBS96B
AX4912_vs_AX4894	2.11E+00	2.11E+00
AX4914_vs_AX4895	9.25E-01	9.26E-01
AX4915_vs_AX4895	1.69E+00	1.69E+00
AX4916_vs_AX4896	1.13E+00	1.13E+00
AX4918_vs_AX4897	1.23E+00	1.23E+00
AX4921_vs_AX4898	1.49E+00	1.49E+00
AX4923_vs_AX4906	1.31E+00	1.31E+00
AX4925_vs_AX4901	2.72E+00	2.72E+00
AX4927_vs_AX4905	3.96E+00	3.96E+00
AX4928_vs_AQ5174	1.06E+00	1.06E+00
AX4930_vs_AX4900	1.21E+00	1.21E+00
AX4932_vs_AX4908	1.21E+00	1.21E+00
AX4933_vs_AX4909	1.19E+01	1.19E+01
AX4934_vs_AX4909	1.51E+00	1.51E+00
AX4935_vs_AX4910	1.92E+00	1.92E+00
AX4937_vs_AX4894	2.32E+00	2.32E+00
AX4938_vs_AX4896	1.10E+00	1.10E+00
AX4940_vs_AX4904	1.69E+00	1.70E+00
AX4942_vs_AX4898	9.73E-01	9.73E-01
AX4943_vs_AX4898	5.14E-01	5.13E-01
AX4944_vs_AX4897	2.66E+00	2.66E+00
AX4945_vs_AX4898	5.86E-01	5.86E-01
AX4946_vs_AX4895	2.47E+00	2.47E+00
AX4947_vs_AX4895	2.03E+00	2.03E+00
AX4951_vs_AX4903	2.14E+00	2.14E+00
AX4958_vs_AQ5174	2.55E+00	2.55E+00
AX4961_vs_AQ5174	2.30E+00	2.30E+00
DIAF_vs_BLOOD	7.39E+00	7.39E+00
LNMETA_vs_BLOOD	1.06E+01	1.06E+01
LN_vs_BLOOD	7.12E+00	7.12E+00
OMEN_vs_BLOOD	4.05E+00	4.05E+00
PADWRZ-01A_vs_PADWRZ-10A	4.93E-01	4.93E-01
PADYZI-01A_vs_PADYZI-10A	1.75E+00	1.75E+00
PAEHIP-01A_vs_PAEHIP-10A	8.28E-01	8.27E-01
PAJLWM-01A_vs_PAJLWM-11A	6.89E-01	6.89E-01
PAJNFP-01A_vs_PAJNFP-11A	2.17E+00	2.17E+00
PAKHTL-01A_vs_PAKHTL-11A	2.27E-01	2.27E-01
PAKLYZ-01A_vs_PAKLYZ-10A	1.09E+00	1.09E+00
PAKTCT-01A_vs_PAKTCT-11A	7.09E-01	7.10E-01
PARECB-01A_vs_PARECB-11A	4.53E-01	4.52E-01
PAREWI-01A_vs_PAREWI-11A	1.46E+00	1.46E+00
PARGRN-01A_vs_PARGRN-10A	2.31E+00	2.31E+00
PARIRN-01A_vs_PARIRN-10A	6.19E-01	6.19E-01
PARPFY-01A_vs_PARPFY-11A	1.22E+00	1.22E+00
PARZRH-01A_vs_PARZRH-10A	4.54E-01	4.54E-01
PASABD-01A_vs_PASABD-10A	8.74E-01	8.74E-01
PASADZ-01A_vs_PASADZ-10A	5.69E-01	5.68E-01
PASCDH-01A_vs_PASCDH-10A	1.55E+00	1.55E+00
PASDLA-01A_vs_PASDLA-11A	4.66E-01	4.66E-01
PASVDP-01A_vs_PASVDP-10A	6.00E-01	6.00E-01
PASWZZ-01A_vs_PASWZZ-10A	5.51E-01	5.53E-01
PASXNA-01A_vs_PASXNA-11A	5.11E-01	5.11E-01
PATAFT-01A_vs_PATAFT-10A	1.61E+00	1.61E+00
PATDVL-01A_vs_PATDVL-10A	1.89E-01	1.88E-01
PATENH-01A_vs_PATENH-11A	4.43E-01	4.42E-01
PATFXW-01A_vs_PATFXW-10A	7.02E-01	7.02E-01
PATFZZ-01A_vs_PATFZZ-10A	1.04E+00	1.04E+00
PATXEE-01A_vs_PATXEE-10A	1.72E+00	1.72E+00
PAUEKW-01A_vs_PAUEKW-10A	2.66E-01	2.66E-01
PAUFVP-01A_vs_PAUFVP-11A	6.73E-01	6.73E-01
PAUGYZ-01A_vs_PAUGYZ-10A	1.16E+00	1.16E+00
PAUHAZ-01A_vs_PAUHAZ-10A	1.11E+00	1.11E+00
PAVCKS-01A_vs_PAVCKS-11A	5.71E-01	5.71E-01
PAVYKD-01A_vs_PAVYKD-10A	4.76E-01	4.76E-01
PAWFBL-01A_vs_PAWFBL-11A	6.29E-01	6.29E-01
PAWFWK-01A_vs_PAWFWK-10A	9.44E-01	9.44E-01
SJBT030128_D1_vs_SJBT030128_G1	6.23E-01	6.23E-01
SJBT030255_D1_vs_SJBT030255_G1	1.04E+00	1.05E+00
SJBT030581_D1_vs_SJBT030581_G1	3.74E-01	3.74E-01
SJBT030997_D1_vs_SJBT030997_G1	7.75E-01	7.74E-01
SJBT031235_D1_vs_SJBT031235_G1	3.13E-01	3.13E-01
SJBT031605_D1_vs_SJBT031605_G1	1.39E+01	1.39E+01
SJBT031948_D2_vs_SJBT031948_G1	7.26E+00	7.26E+00
SJBT032346_D1_vs_SJBT032346_G1	0.00E+00	0.00E+00
SJBT032393_D1_vs_SJBT032393_G1	2.93E+00	2.93E+00
SJBT032417_D2_vs_SJBT032417_G1	1.83E+00	1.83E+00
SJBT033236_D2_vs_SJBT033236_G1	2.07E-01	2.09E-01
SJBT034089_D1_vs_SJBT034089_G1	2.05E-01	2.04E-01
SJBT034110_D2_vs_SJBT034110_G1	6.79E-01	6.80E-01
SJMRT014754_D1_vs_SJMRT014754_G1	2.12E+00	2.12E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.20E+00	2.20E+00
SJMRT063832_X1_vs_SJMRT063832_G1	3.40E-01	3.40E-01
