Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.984	307.891	16.103%	46.069	17.751%	0.02428	0.963
AX4914_vs_AX4895	956	0.973	221.243	23.143%	30.572	23.291%	0.05077	0.938
AX4915_vs_AX4895	3472	0.974	634.075	18.263%	99.424	22.69%	0.02882	0.924
AX4916_vs_AX4896	533	0.962	155.551	29.184%	23.215	27.331%	0.09213	0.935
AX4918_vs_AX4897	2626	0.99	356.597	13.579%	48.953	14.237%	0.01655	0.974
AX4921_vs_AX4898	1234	0.984	225.798	18.298%	30.889	17.789%	0.03497	0.967
AX4922_vs_AX4899	4398	0.988	601.953	13.687%	114.809	15.411%	0.01909	0.981
AX4923_vs_AX4906	2859	0.982	505.138	17.668%	67.013	18.923%	0.02735	0.947
AX4924_vs_AX4901	209	0.961	87.603	41.915%	14.809	28.143%	0.21002	0.953
AX4925_vs_AX4901	863	0.977	184.401	21.367%	24.522	21.262%	0.05622	0.946
AX4926_vs_AX4904	181	0.966	81.649	45.11%	15.18	28.077%	0.25243	0.963
AX4927_vs_AX4905	1745	0.989	261.574	14.99%	33.759	14.584%	0.02179	0.974
AX4928_vs_AQ5174	1675	0.973	333.027	19.882%	48.597	23.226%	0.04069	0.915
AX4929_vs_AQ5174	258	0.98	83.599	32.403%	12.354	19.808%	0.13771	0.976
AX4930_vs_AX4900	1106	0.988	188.471	17.041%	25.654	15.223%	0.03879	0.979
AX4931_vs_AX4907	268	0.935	114.741	42.814%	16.164	35.579%	0.19912	0.895
AX4932_vs_AX4908	851	0.982	192.77	22.652%	26.108	18.952%	0.04237	0.97
AX4933_vs_AX4909	1146	0.939	386.702	33.744%	50.712	34.375%	0.11082	0.826
AX4934_vs_AX4909	531	0.957	178.717	33.657%	23.079	29.2%	0.10552	0.916
AX4935_vs_AX4910	2613	0.988	471.775	18.055%	74.961	15.879%	0.03145	0.982
AX4936_vs_AX4911	685	0.971	178.716	26.09%	22.601	23.838%	0.06624	0.936
AX4937_vs_AX4894	1783	0.982	305.532	17.136%	45.989	19.116%	0.0268	0.957
AX4938_vs_AX4896	251	0.934	101.876	40.588%	13.567	35.915%	0.17566	0.874
AX4940_vs_AX4904	1000	0.953	278.495	27.85%	37.335	30.474%	0.06536	0.836
AX4942_vs_AX4898	2118	0.979	395.333	18.665%	56.738	20.301%	0.03261	0.949
AX4943_vs_AX4898	2216	0.983	369.413	16.67%	53.339	18.185%	0.02775	0.959
AX4944_vs_AX4897	2774	0.992	329.439	11.876%	46.823	12.828%	0.01323	0.979
AX4945_vs_AX4898	831	0.98	180.066	21.669%	23.575	19.947%	0.0483	0.959
AX4946_vs_AX4895	4856	0.997	350.235	7.212%	51.867	7.63%	0.00484	0.994
AX4947_vs_AX4895	4663	0.996	349.934	7.504%	55.492	8.573%	0.00446	0.992
AX4951_vs_AX4903	832	0.979	213.02	25.603%	29.064	20.359%	0.07742	0.968
AX4958_vs_AQ5174	3245	0.991	375.081	11.559%	53.702	13.192%	0.01162	0.974
AX4961_vs_AQ5174	3235	0.991	395.429	12.223%	53.739	13.394%	0.01506	0.974
DIAF_vs_BLOOD	2309	0.985	366.2	15.86%	49.156	17.24%	0.0225	0.952
HK_vs_BLOOD	18	0.707	20.333	112.961%	4.133	70.88%	1.38059	0.667
LNMETA_vs_BLOOD	2798	0.987	418.87	14.97%	55.437	16.323%	0.0197	0.954
LN_vs_BLOOD	1878	0.983	311.781	16.602%	49.267	18.602%	0.02667	0.965
OMEN_vs_BLOOD	1525	0.984	265.005	17.377%	33.653	17.545%	0.03001	0.954
PABKLN-01A_vs_PABKLN-11A	810	0.966	200.978	24.812%	28.762	25.796%	0.05794	0.924
PADWRZ-01A_vs_PADWRZ-10A	655	0.968	172.231	26.295%	21.923	24.995%	0.06398	0.923
PADYZI-01A_vs_PADYZI-10A	1367	0.993	185.872	13.597%	47.363	12.569%	0.01621	0.991
PAEHIP-01A_vs_PAEHIP-10A	290	0.955	104.542	36.049%	14.321	29.758%	0.15152	0.927
PAJLWM-01A_vs_PAJLWM-11A	328	0.937	133.001	40.549%	17.736	34.972%	0.16936	0.888
PAJMBW-01A_vs_PAJMBW-10A	589	0.972	172.323	29.257%	23.432	23.616%	0.10089	0.956
PAJMRB-01A_vs_PAJMRB-11A	312	0.94	135.429	43.407%	19.398	34.238%	0.18964	0.912
PAJNER-01A_vs_PAJNER-11A	241	0.926	98.274	40.778%	13.118	37.727%	0.18468	0.846
PAJNFP-01A_vs_PAJNFP-11A	918	0.972	226.334	24.655%	29.257	23.365%	0.06163	0.936
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.964	176.238	29.82%	22.926	26.646%	0.09491	0.929
PAKHTL-01A_vs_PAKHTL-11A	916	0.978	195.436	21.336%	27.941	20.967%	0.0569	0.956
PAKLYZ-01A_vs_PAKLYZ-10A	1306	0.979	279.367	21.391%	38.07	20.426%	0.04382	0.956
PAKTCT-01A_vs_PAKTCT-11A	930	0.981	186.631	20.068%	23.587	19.588%	0.04652	0.948
PARECB-01A_vs_PARECB-11A	297	0.93	116.766	39.315%	15.069	36.841%	0.16797	0.836
PAREWI-01A_vs_PAREWI-11A	530	0.96	150.478	28.392%	20.569	28.085%	0.08447	0.909
PARGRN-01A_vs_PARGRN-10A	553	0.966	146.951	26.573%	19.736	25.877%	0.07663	0.924
PARIRN-01A_vs_PARIRN-10A	705	0.975	178.623	25.337%	23.67	22.335%	0.06202	0.953
PARPFY-01A_vs_PARPFY-11A	624	0.949	184.652	29.592%	26.25	31.606%	0.09096	0.871
PARRCL-01A_vs_PARRCL-11A	509	0.958	150.671	29.601%	19.888	28.667%	0.07638	0.902
PARTKH-01A_vs_PARTKH-10A	538	0.942	175.2	32.565%	24.103	33.678%	0.10766	0.852
PARUGK-01A_vs_PARUGK-10A	355	0.944	127.064	35.793%	17.056	33.214%	0.14291	0.888
PARZBI-01A_vs_PARZBI-11A	587	0.965	163.699	27.887%	21.328	26.152%	0.07279	0.924
PARZRH-01A_vs_PARZRH-10A	961	0.978	212.308	22.092%	28.628	20.953%	0.04989	0.955
PASABD-01A_vs_PASABD-10A	439	0.951	139.518	31.781%	19.255	30.837%	0.10922	0.897
PASADZ-01A_vs_PASADZ-10A	617	0.954	179.78	29.138%	25.312	30.012%	0.08204	0.895
PASCDH-01A_vs_PASCDH-10A	576	0.953	183.482	31.855%	25.175	30.29%	0.08906	0.904
PASDLA-01A_vs_PASDLA-11A	316	0.935	121.398	38.417%	16.232	35.455%	0.14848	0.866
PASGCL-01A_vs_PASGCL-10A	513	0.968	147.097	28.674%	19.356	25.223%	0.09178	0.939
PASRHU-01A_vs_PASRHU-10A	228	0.96	87.653	38.444%	11.737	27.914%	0.20546	0.942
PASVDP-01A_vs_PASVDP-10A	419	0.948	132.555	31.636%	18.633	31.885%	0.10955	0.884
PASWZZ-01A_vs_PASWZZ-10A	288	0.942	112.097	38.923%	14.501	33.66%	0.16891	0.888
PASXNA-01A_vs_PASXNA-11A	510	0.943	170.205	33.374%	22.287	33.47%	0.09976	0.851
PASYNF-01A_vs_PASYNF-10A	336	0.955	123.686	36.811%	15.962	29.569%	0.14608	0.924
PASZYE-01A_vs_PASZYE-10A	491	0.961	150.353	30.622%	19.268	27.574%	0.10377	0.918
PATAFT-01A_vs_PATAFT-10A	518	0.945	157.106	30.329%	20.459	33.076%	0.07915	0.797
PATBLF-01A_vs_PATBLF-10A	725	0.975	167.706	23.132%	22.743	22.124%	0.05641	0.949
