Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
SJBT032346_D1_vs_SJBT032346_G1	2.82E+00	3.02E+00	3.17E+00	1.20E+00	1.04E+00
SJBT032393_D1_vs_SJBT032393_G1	3.49E+00	3.38E+00	3.57E+00	2.19E+00	1.71E+00
SJBT032417_D2_vs_SJBT032417_G1	1.99E-01	6.45E-01	8.12E-01	4.64E-01	3.77E-01
SJBT033133_D3_vs_SJBT033133_G1	1.24E-01	2.77E-01	3.01E-01	1.42E-01	3.71E-02
SJBT033236_D2_vs_SJBT033236_G1	5.43E-01	7.79E-01	7.40E-01	4.56E-01	1.60E-01
SJBT034089_D1_vs_SJBT034089_G1	9.87E-02	2.20E-01	4.35E-01	3.70E-01	0.00E+00
SJBT034110_D2_vs_SJBT034110_G1	1.18E+00	1.28E+00	1.04E+00	5.92E-01	3.04E-01
SJMRT014754_D1_vs_SJMRT014754_G1	4.94E+00	3.33E+00	3.09E+00	3.62E+00	1.93E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.50E+00	3.47E+00	2.49E+00	1.15E+00	1.58E+00
SJMRT063832_X1_vs_SJMRT063832_G1	2.87E+01	1.52E+02	8.58E+01	3.56E+01	9.52E+01
