Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
AX4912_vs_AX4894	469	463	496	83	40
AX4914_vs_AX4895	255	133	231	67	0
AX4915_vs_AX4895	932	658	247	1016	136
AX4916_vs_AX4896	28	12	68	5	15
AX4918_vs_AX4897	779	572	367	103	513
AX4921_vs_AX4898	311	117	207	72	10
AX4922_vs_AX4899	590	127	108	3424	149
AX4923_vs_AX4906	864	1042	104	375	178
AX4924_vs_AX4901	40	92	23	0	54
AX4925_vs_AX4901	57	66	40	3	8
AX4926_vs_AX4904	38	76	10	0	57
AX4927_vs_AX4905	223	157	83	274	35
AX4928_vs_AQ5174	424	746	125	35	27
AX4929_vs_AQ5174	28	153	10	0	67
AX4930_vs_AX4900	239	37	324	0	7
AX4931_vs_AX4907	30	149	36	23	30
AX4932_vs_AX4908	79	83	352	18	0
AX4933_vs_AX4909	55	26	87	13	8
AX4934_vs_AX4909	35	10	49	11	1
AX4935_vs_AX4910	483	141	109	15	20
AX4936_vs_AX4911	164	200	149	49	123
AX4937_vs_AX4894	482	464	470	63	33
AX4938_vs_AX4896	45	22	66	11	14
AX4940_vs_AX4904	305	276	138	91	61
AX4942_vs_AX4898	1064	593	202	80	72
AX4943_vs_AX4898	1178	603	191	89	86
AX4944_vs_AX4897	604	595	349	107	498
AX4945_vs_AX4898	352	121	220	101	10
AX4946_vs_AX4895	3382	570	66	223	158
AX4947_vs_AX4895	3219	677	50	180	167
AX4951_vs_AX4903	0	43	101	4	4
AX4958_vs_AQ5174	1699	840	183	152	69
AX4961_vs_AQ5174	1755	830	170	156	72
DIAF_vs_BLOOD	334	353	246	248	63
HK_vs_BLOOD	0	0	17	0	1
LNMETA_vs_BLOOD	258	228	225	109	47
LN_vs_BLOOD	134	139	188	66	35
OMEN_vs_BLOOD	272	196	246	104	49
PABKLN-01A_vs_PABKLN-11A	241	187	135	53	194
PADWRZ-01A_vs_PADWRZ-10A	214	135	166	60	46
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	1152
PAEHIP-01A_vs_PAEHIP-10A	32	2	129	7	10
PAJLWM-01A_vs_PAJLWM-11A	90	14	103	27	24
PAJMBW-01A_vs_PAJMBW-10A	138	56	37	52	306
PAJMRB-01A_vs_PAJMRB-11A	94	33	171	14	0
PAJNER-01A_vs_PAJNER-11A	75	76	74	7	9
PAJNFP-01A_vs_PAJNFP-11A	198	121	94	83	186
PAJNFZ-01A_vs_PAJNFZ-10A	137	131	185	13	125
PAKHTL-01A_vs_PAKHTL-11A	252	247	300	9	42
PAKLYZ-01A_vs_PAKLYZ-10A	910	0	43	154	24
PAKTCT-01A_vs_PAKTCT-11A	356	212	217	78	25
PARECB-01A_vs_PARECB-11A	82	90	69	12	23
PAREWI-01A_vs_PAREWI-11A	80	68	112	18	69
PARGRN-01A_vs_PARGRN-10A	102	54	100	6	42
PARIRN-01A_vs_PARIRN-10A	208	104	288	29	13
PARPFY-01A_vs_PARPFY-11A	229	93	136	18	22
PARRCL-01A_vs_PARRCL-11A	145	77	139	65	83
PARTKH-01A_vs_PARTKH-10A	171	145	109	38	75
PARUGK-01A_vs_PARUGK-10A	103	76	135	28	13
PARZBI-01A_vs_PARZBI-11A	150	155	184	27	71
PARZRH-01A_vs_PARZRH-10A	585	0	167	93	85
PASABD-01A_vs_PASABD-10A	103	58	105	24	28
PASADZ-01A_vs_PASADZ-10A	202	130	122	23	115
PASCDH-01A_vs_PASCDH-10A	60	55	98	18	10
PASDLA-01A_vs_PASDLA-11A	109	35	92	26	20
PASGCL-01A_vs_PASGCL-10A	137	125	194	40	17
PASRHU-01A_vs_PASRHU-10A	65	0	145	4	14
PASVDP-01A_vs_PASVDP-10A	118	49	102	64	32
PASWZZ-01A_vs_PASWZZ-10A	64	55	83	5	17
PASXNA-01A_vs_PASXNA-11A	116	150	153	33	44
PASYNF-01A_vs_PASYNF-10A	102	24	158	33	19
PASZYE-01A_vs_PASZYE-10A	177	113	165	14	22
PATAFT-01A_vs_PATAFT-10A	123	122	61	42	34
PATBLF-01A_vs_PATBLF-10A	350	95	192	46	42
PATDVL-01A_vs_PATDVL-10A	128	57	100	42	28
PATENH-01A_vs_PATENH-11A	267	29	291	34	40
PATFXW-01A_vs_PATFXW-10A	137	54	210	16	65
PATFZZ-01A_vs_PATFZZ-10A	177	91	162	53	71
PATXEE-01A_vs_PATXEE-10A	213	47	171	28	24
PATXKA-01A_vs_PATXKA-10A	173	82	79	46	62
PAUCGJ-01A_vs_PAUCGJ-10A	420	133	85	38	150
PAUDPV-01A_vs_PAUDPV-11A	117	45	72	6	46
PAUEKW-01A_vs_PAUEKW-10A	240	346	561	95	25
PAUFVP-01A_vs_PAUFVP-11A	239	104	268	51	42
PAUGYZ-01A_vs_PAUGYZ-10A	231	0	157	37	10
PAUHAZ-01A_vs_PAUHAZ-10A	76	14	127	25	17
PAUNPA-01A_vs_PAUNPA-11A	483	0	216	54	8
PAVCKS-01A_vs_PAVCKS-11A	346	151	324	76	201
PAVITI-01A_vs_PAVITI-10A	277	91	212	89	48
PAVYDM-01A_vs_PAVYDM-11A	134	134	129	51	32
PAVYKD-01A_vs_PAVYKD-10A	84	63	104	13	31
PAWDGA-01A_vs_PAWDGA-11A	456	200	97	21	18
PAWFBL-01A_vs_PAWFBL-11A	385	28	140	34	23
PAWFWK-01A_vs_PAWFWK-10A	94	53	125	13	25
SJBT030128_D1_vs_SJBT030128_G1	64	0	94	0	0
SJBT030255_D1_vs_SJBT030255_G1	366	250	279	137	104
SJBT030581_D1_vs_SJBT030581_G1	309	60	620	86	0
SJBT030707_D2_vs_SJBT030707_G1	12	50	99	0	1
SJBT030896_D1_vs_SJBT030896_G1	0	14	175	1631	0
SJBT030997_D1_vs_SJBT030997_G1	84	109	130	36	41
SJBT031235_D1_vs_SJBT031235_G1	1	0	36	0	0
SJBT031605_D1_vs_SJBT031605_G1	362	476	257	193	80
SJBT031948_D2_vs_SJBT031948_G1	825	176	40	4499	167
SJBT032047_D1_vs_SJBT032047_G1	0	5	0	2	0
SJBT032346_D1_vs_SJBT032346_G1	155	67	419	12	9
SJBT032393_D1_vs_SJBT032393_G1	206	44	669	48	24
SJBT032417_D2_vs_SJBT032417_G1	0	0	89	4	2
SJBT033133_D3_vs_SJBT033133_G1	1	4	3	1	0
SJBT033236_D2_vs_SJBT033236_G1	1	8	41	7	0
SJBT034089_D1_vs_SJBT034089_G1	0	0	45	1	0
SJBT034110_D2_vs_SJBT034110_G1	20	34	55	8	2
SJMRT014754_D1_vs_SJMRT014754_G1	534	50	166	369	51
SJMRT015723_D1_vs_SJMRT015723_G1	144	202	159	7	44
SJMRT063832_X1_vs_SJMRT063832_G1	0	13614	1084	2490	376
