Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.955	494.121	25.843%	77.529	29.874%	0.05533	0.895
AX4914_vs_AX4895	956	0.936	295.604	30.921%	46.291	35.266%	0.09142	0.852
AX4915_vs_AX4895	3472	0.962	745.73	21.478%	122.07	27.858%	0.03699	0.892
AX4916_vs_AX4896	533	0.837	263.317	49.403%	46.51	54.756%	0.22011	0.705
AX4918_vs_AX4897	2626	0.959	555.839	21.167%	97.408	28.328%	0.03858	0.892
AX4921_vs_AX4898	1234	0.955	342.963	27.793%	52.704	30.353%	0.07498	0.913
AX4922_vs_AX4899	4398	0.988	723.804	16.458%	115.32	15.48%	0.02038	0.981
AX4923_vs_AX4906	2859	0.929	860.268	30.09%	133.631	37.734%	0.07133	0.78
AX4924_vs_AX4901	209	0.532	225.851	108.063%	44.576	84.711%	0.88257	0.376
AX4925_vs_AX4901	863	0.887	343.084	39.755%	53.459	46.353%	0.12953	0.708
AX4926_vs_AX4904	181	0.49	210.087	116.07%	47.17	87.247%	1.07201	0.375
AX4927_vs_AX4905	1745	0.975	356.062	20.405%	51.665	22.319%	0.0392	0.939
AX4928_vs_AQ5174	1675	0.92	588.383	35.127%	83.568	39.94%	0.09314	0.762
AX4929_vs_AQ5174	258	0.547	256.774	99.525%	52.23	83.742%	0.76832	0.385
AX4930_vs_AX4900	1106	0.938	420.701	38.038%	60.853	36.11%	0.11621	0.9
AX4931_vs_AX4907	268	0.708	195.732	73.034%	32.188	70.85%	0.44346	0.473
AX4932_vs_AX4908	851	0.9	359.194	42.208%	60.86	44.179%	0.13856	0.833
AX4933_vs_AX4909	1146	0.865	569.436	49.689%	75.835	51.404%	0.20259	0.618
AX4934_vs_AX4909	531	0.853	265.036	49.913%	41.271	52.217%	0.21854	0.697
AX4935_vs_AX4910	2613	0.965	716.836	27.433%	127.1	26.924%	0.06902	0.951
AX4936_vs_AX4911	685	0.934	239.997	35.036%	33.952	35.81%	0.09962	0.848
AX4937_vs_AX4894	1783	0.951	488.822	27.416%	74.182	30.835%	0.05914	0.883
AX4938_vs_AX4896	251	0.901	116.783	46.527%	16.591	43.92%	0.20458	0.819
AX4940_vs_AX4904	1000	0.932	330.104	33.01%	45.52	37.155%	0.09242	0.786
