NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	412.797	51.738	66.141	47.258	0.295	0.756	150000.0
2	411.591	49.618	62.777	44.639	0.28	0.775	50000.0
3	419.423	50.486	65.159	45.619	0.287	0.77	80000.0
4	415.427	51.801	66.669	47.234	0.296	0.76	310000.0
5	410.222	51.184	65.056	46.467	0.295	0.763	20000.0
6	411.644	51.454	65.941	47.194	0.299	0.756	70000.0
7	412.457	50.582	63.857	45.456	0.288	0.77	160000.0
8	411.584	51.428	65.59	46.818	0.301	0.762	20000.0
9	410.185	51.787	63.895	46.784	0.291	0.764	130000.0
10	415.637	51.951	65.047	46.912	0.299	0.763	70000.0
11	412.957	51.243	64.3	46.193	0.28	0.774	40000.0
12	414.952	51.478	64.213	46.596	0.29	0.762	100000.0
13	412.737	49.77	63.068	44.911	0.279	0.773	190000.0
14	409.578	51.72	64.229	46.98	0.307	0.76	70000.0
15	408.842	50.916	65.269	46.55	0.285	0.765	90000.0
16	417.219	51.425	64.579	46.665	0.289	0.763	130000.0
17	413.524	51.181	63.626	46.377	0.296	0.762	40000.0
18	413.819	50.082	63.745	45.213	0.279	0.774	70000.0
19	418.105	52.046	65.976	46.96	0.296	0.765	60000.0
20	417.948	51.887	65.773	46.935	0.289	0.769	20000.0
21	412.689	51.721	65.891	46.993	0.293	0.76	50000.0
22	405.12	51.108	63.671	46.573	0.287	0.769	80000.0
23	411.192	51.586	64.209	46.642	0.29	0.765	60000.0
24	414.702	51.592	66.526	47.122	0.287	0.762	100000.0
25	415.697	51.029	63.965	46.293	0.289	0.764	80000.0
26	404.756	51.502	63.422	46.585	0.295	0.764	30000.0
27	414.669	51.006	64.158	46.26	0.287	0.767	70000.0
28	411.194	52.037	64.457	46.994	0.288	0.767	20000.0
29	407.503	50.899	65.284	46.631	0.29	0.762	70000.0
30	413.606	51.624	65.917	46.903	0.291	0.763	190000.0
31	409.615	51.845	63.95	46.981	0.296	0.762	60000.0
32	412.704	51.741	64.445	46.394	0.293	0.768	40000.0
33	409.595	51.202	64.027	46.508	0.283	0.768	110000.0
34	412.275	51.473	66.343	47.124	0.292	0.762	50000.0
35	414.547	50.902	63.852	46.193	0.286	0.765	110000.0
36	415.46	51.695	66.727	47.333	0.296	0.756	20000.0
37	414.289	51.17	64.033	46.15	0.298	0.766	50000.0
38	415.934	50.348	63.568	44.953	0.292	0.767	50000.0
39	415.129	51.509	64.994	46.39	0.284	0.772	130000.0
40	413.828	51.474	64.829	46.5	0.283	0.771	80000.0
41	412.562	51.089	64.553	46.526	0.289	0.767	30000.0
42	412.543	52.409	66.38	48.019	0.301	0.752	30000.0
43	413.424	51.039	63.841	45.974	0.297	0.766	100000.0
44	412.532	51.858	64.669	46.998	0.298	0.765	110000.0
45	408.539	50.876	63.239	46.189	0.288	0.765	70000.0
46	414.614	50.87	63.678	45.691	0.288	0.772	100000.0
