Samples	SBS96A	SBS96B
SJBT030707_D2_vs_SJBT030707_G1	6.09E-01	6.08E-01
SJBT030896_D1_vs_SJBT030896_G1	7.58E+00	7.58E+00
SJBT030997_D1_vs_SJBT030997_G1	1.40E+00	1.40E+00
SJBT031235_D1_vs_SJBT031235_G1	1.94E-01	1.94E-01
SJBT031605_D1_vs_SJBT031605_G1	8.09E+00	8.09E+00
SJBT031948_D2_vs_SJBT031948_G1	2.62E+01	2.62E+01
SJBT032047_D1_vs_SJBT032047_G1	2.08E-01	2.07E-01
SJBT032346_D1_vs_SJBT032346_G1	1.30E+00	1.30E+00
SJBT032393_D1_vs_SJBT032393_G1	3.04E+00	3.04E+00
SJBT032417_D2_vs_SJBT032417_G1	1.92E+00	1.92E+00
SJBT033133_D3_vs_SJBT033133_G1	2.56E-01	2.56E-01
SJBT033236_D2_vs_SJBT033236_G1	4.50E-01	4.50E-01
SJBT034089_D1_vs_SJBT034089_G1	4.92E-01	4.93E-01
SJBT034110_D2_vs_SJBT034110_G1	9.14E-01	9.14E-01
SJMRT014754_D1_vs_SJMRT014754_G1	4.45E+00	4.45E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.89E+00	2.89E+00
SJMRT063832_X1_vs_SJMRT063832_G1	2.83E+01	2.83E+01
