Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
AX4912_vs_AX4894	74	40	200	22	25
AX4914_vs_AX4895	0	11	227	15	17
AX4915_vs_AX4895	127	36	224	52	44
AX4916_vs_AX4896	105	1	256	43	0
AX4918_vs_AX4897	56	18	187	7	24
AX4921_vs_AX4898	157	27	227	83	23
AX4923_vs_AX4906	25	25	203	43	0
AX4925_vs_AX4901	161	61	323	78	66
AX4927_vs_AX4905	192	411	249	63	58
AX4928_vs_AQ5174	0	10	239	60	9
AX4930_vs_AX4900	156	9	236	64	34
AX4932_vs_AX4908	0	6	223	90	0
AX4933_vs_AX4909	577	215	165	0	0
AX4934_vs_AX4909	88	43	224	70	0
AX4935_vs_AX4910	0	1791	0	54	0
AX4937_vs_AX4894	183	20	6	41	21
AX4938_vs_AX4896	56	13	3	20	1
AX4940_vs_AX4904	86	5	1	30	7
AX4942_vs_AX4898	60	13	22	7	5
AX4943_vs_AX4898	36	1	15	12	5
AX4944_vs_AX4897	241	52	54	99	175
AX4945_vs_AX4898	10	4	9	1	3
AX4946_vs_AX4895	375	20	17	12	33
AX4947_vs_AX4895	289	3	27	7	44
AX4951_vs_AX4903	123	90	50	417	0
AX4958_vs_AQ5174	227	14	37	9	15
AX4961_vs_AQ5174	197	17	12	8	18
DIAF_vs_BLOOD	599	280	57	92	37
LNMETA_vs_BLOOD	838	638	183	112	160
LN_vs_BLOOD	0	75	60	212	969
OMEN_vs_BLOOD	308	185	53	81	31
PADWRZ-01A_vs_PADWRZ-10A	31	0	1	0	2
PADYZI-01A_vs_PADYZI-10A	76	12	23	30	74
PAEHIP-01A_vs_PAEHIP-10A	27	15	14	23	31
PAJLWM-01A_vs_PAJLWM-11A	28	12	0	22	8
PAJNFP-01A_vs_PAJNFP-11A	0	10	10	9	207
PAKHTL-01A_vs_PAKHTL-11A	19	0	3	12	32
PAKLYZ-01A_vs_PAKLYZ-10A	102	9	12	41	11
PAKTCT-01A_vs_PAKTCT-11A	19	3	10	3	7
PARECB-01A_vs_PARECB-11A	7	4	2	8	0
PAREWI-01A_vs_PAREWI-11A	89	6	4	19	65
PARGRN-01A_vs_PARGRN-10A	22	12	11	0	204
PARIRN-01A_vs_PARIRN-10A	17	4	6	18	18
PARPFY-01A_vs_PARPFY-11A	61	14	18	1	32
PARZRH-01A_vs_PARZRH-10A	16	1	7	3	4
PASABD-01A_vs_PASABD-10A	56	3	10	37	15
PASADZ-01A_vs_PASADZ-10A	13	2	6	0	4
PASCDH-01A_vs_PASCDH-10A	71	27	18	128	91
PASDLA-01A_vs_PASDLA-11A	14	4	2	8	6
PASVDP-01A_vs_PASVDP-10A	28	4	9	10	3
PASWZZ-01A_vs_PASWZZ-10A	0	6	5	20	33
PASXNA-01A_vs_PASXNA-11A	13	1	0	0	0
PATAFT-01A_vs_PATAFT-10A	84	7	17	13	15
PATDVL-01A_vs_PATDVL-10A	2	0	3	7	6
PATENH-01A_vs_PATENH-11A	10	1	7	16	30
PATFXW-01A_vs_PATFXW-10A	32	0	5	32	33
PATFZZ-01A_vs_PATFZZ-10A	24	18	13	32	36
PATXEE-01A_vs_PATXEE-10A	177	35	7	120	21
PAUEKW-01A_vs_PAUEKW-10A	0	4	7	26	1
PAUFVP-01A_vs_PAUFVP-11A	34	3	14	12	0
PAUGYZ-01A_vs_PAUGYZ-10A	69	8	4	8	8
PAUHAZ-01A_vs_PAUHAZ-10A	43	12	7	30	6
PAVCKS-01A_vs_PAVCKS-11A	27	4	8	9	0
PAVYKD-01A_vs_PAVYKD-10A	19	0	5	5	9
PAWFBL-01A_vs_PAWFBL-11A	17	6	5	6	1
PAWFWK-01A_vs_PAWFWK-10A	56	17	0	25	0
SJBT030128_D1_vs_SJBT030128_G1	25	7	7	22	1
SJBT030255_D1_vs_SJBT030255_G1	27	32	16	12	26
SJBT030581_D1_vs_SJBT030581_G1	10	2	1	1	0
SJBT030997_D1_vs_SJBT030997_G1	48	0	0	35	24
SJBT031235_D1_vs_SJBT031235_G1	0	1	20	100	0
SJBT031605_D1_vs_SJBT031605_G1	1235	364	176	191	308
SJBT031948_D2_vs_SJBT031948_G1	415	796	68	4	156
SJBT032346_D1_vs_SJBT032346_G1	9	0	9	11	1
SJBT032393_D1_vs_SJBT032393_G1	93	105	38	1095	63
SJBT032417_D2_vs_SJBT032417_G1	42	122	4	45	35
SJBT033236_D2_vs_SJBT033236_G1	0	0	3	35	0
SJBT034089_D1_vs_SJBT034089_G1	0	1	0	34	0
SJBT034110_D2_vs_SJBT034110_G1	19	13	18	63	5
SJMRT014754_D1_vs_SJMRT014754_G1	100	48	67	5	0
SJMRT015723_D1_vs_SJMRT015723_G1	151	122	17	70	51
SJMRT063832_X1_vs_SJMRT063832_G1	8	2	0	3	0
