Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
AX4912_vs_AX4894	2.84E+00	1.51E+00	2.63E+00	1.58E+00	2.34E+00
AX4914_vs_AX4895	1.14E+00	8.34E-01	2.66E+00	2.15E+00	1.47E+00
AX4915_vs_AX4895	4.35E+00	1.32E+00	3.86E+00	2.87E+00	3.13E+00
AX4916_vs_AX4896	3.51E+00	7.57E-01	3.66E+00	2.24E+00	1.82E+00
AX4918_vs_AX4897	2.54E+00	9.31E-01	2.71E+00	1.50E+00	1.33E+00
AX4921_vs_AX4898	5.92E+00	1.25E+00	3.59E+00	2.82E+00	5.38E+00
AX4923_vs_AX4906	2.23E+00	1.23E+00	2.37E+00	2.08E+00	9.18E-01
AX4925_vs_AX4901	4.43E+00	2.11E+00	3.71E+00	2.76E+00	3.28E+00
AX4927_vs_AX4905	5.70E+00	3.64E+00	3.15E+00	2.83E+00	3.95E+00
AX4928_vs_AQ5174	7.61E-01	9.59E-01	2.89E+00	2.32E+00	9.96E-01
AX4930_vs_AX4900	5.77E+00	7.50E-01	4.21E+00	3.13E+00	4.41E+00
AX4932_vs_AX4908	1.77E+00	9.08E-01	2.44E+00	2.03E+00	1.06E+00
AX4933_vs_AX4909	1.56E+01	4.29E+00	6.85E+00	4.12E-01	1.27E+01
AX4934_vs_AX4909	2.73E+00	1.19E+00	3.22E+00	2.22E+00	5.03E-01
AX4935_vs_AX4910	0.00E+00	5.83E+00	5.31E+00	3.95E+00	1.15E+00
AX4937_vs_AX4894	3.42E+00	1.25E+00	7.16E-01	1.49E+00	3.28E+00
AX4938_vs_AX4896	1.44E+00	6.96E-01	3.19E-01	8.42E-01	1.10E+00
AX4940_vs_AX4904	2.26E+00	5.91E-01	8.58E-01	1.07E+00	2.01E+00
AX4942_vs_AX4898	1.80E+00	7.66E-01	8.71E-01	5.37E-01	1.54E+00
AX4943_vs_AX4898	1.29E+00	3.80E-01	7.85E-01	8.20E-01	1.24E+00
AX4944_vs_AX4897	7.13E+00	1.61E+00	2.14E+00	2.88E+00	7.25E+00
AX4945_vs_AX4898	6.19E-01	4.29E-01	4.09E-01	3.04E-01	4.63E-01
AX4946_vs_AX4895	1.10E+01	1.23E+00	1.34E+00	1.04E+00	1.10E+01
AX4947_vs_AX4895	8.26E+00	1.08E+00	1.52E+00	4.95E-01	7.97E+00
AX4951_vs_AX4903	5.69E+00	2.06E+00	2.01E+00	5.66E+00	2.58E+00
AX4958_vs_AQ5174	6.13E+00	9.02E-01	1.34E+00	7.68E-01	6.16E+00
AX4961_vs_AQ5174	4.37E+00	1.06E+00	1.21E+00	6.32E-01	4.60E+00
DIAF_vs_BLOOD	1.13E+01	5.20E+00	5.74E+00	1.93E+00	9.69E+00
LNMETA_vs_BLOOD	1.91E+01	8.54E+00	8.81E+00	2.79E+00	1.57E+01
LN_vs_BLOOD	6.54E+00	3.29E+00	3.34E+00	7.03E+00	1.06E+01
OMEN_vs_BLOOD	6.21E+00	3.70E+00	2.99E+00	1.89E+00	4.72E+00
PADWRZ-01A_vs_PADWRZ-10A	1.05E+00	9.70E-02	1.95E-01	2.00E-01	1.05E+00
PADYZI-01A_vs_PADYZI-10A	2.25E+00	1.01E+00	1.11E+00	1.04E+00	2.12E+00
PAEHIP-01A_vs_PAEHIP-10A	1.47E+00	7.19E-01	8.30E-01	1.00E+00	1.20E+00
PAJLWM-01A_vs_PAJLWM-11A	1.27E+00	5.43E-01	3.68E-01	1.06E+00	8.10E-01
PAJNFP-01A_vs_PAJNFP-11A	9.28E-01	8.73E-01	8.18E-01	1.75E+00	2.65E+00
PAKHTL-01A_vs_PAKHTL-11A	1.15E+00	0.00E+00	4.07E-01	1.10E+00	1.28E+00
PAKLYZ-01A_vs_PAKLYZ-10A	3.45E+00	7.26E-01	1.14E+00	1.82E+00	3.01E+00
PAKTCT-01A_vs_PAKTCT-11A	1.04E+00	4.74E-01	8.07E-01	3.32E-01	8.43E-01
PARECB-01A_vs_PARECB-11A	4.40E-01	3.98E-01	3.37E-01	4.20E-01	1.72E-01
PAREWI-01A_vs_PAREWI-11A	2.20E+00	4.24E-01	6.07E-01	1.03E+00	2.13E+00
PARGRN-01A_vs_PARGRN-10A	2.76E+00	1.17E+00	8.71E-01	8.43E-01	2.94E+00
PARIRN-01A_vs_PARIRN-10A	1.08E+00	4.45E-01	4.86E-01	7.45E-01	1.01E+00
PARPFY-01A_vs_PARPFY-11A	2.00E+00	9.15E-01	8.85E-01	3.72E-01	1.80E+00
PARZRH-01A_vs_PARZRH-10A	8.72E-01	2.43E-01	4.80E-01	4.34E-01	7.34E-01
PASABD-01A_vs_PASABD-10A	1.55E+00	5.65E-01	5.65E-01	1.15E+00	1.41E+00
PASADZ-01A_vs_PASADZ-10A	5.57E-01	3.04E-01	4.50E-01	0.00E+00	4.28E-01
PASCDH-01A_vs_PASCDH-10A	3.53E+00	1.12E+00	1.31E+00	2.16E+00	3.22E+00
