Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
AX4912_vs_AX4894	6.45E+00	6.98E+00	7.74E+00	1.17E+01	3.22E+00	1.36E+01	8.15E+00	4.77E+00	1.38E+00	3.36E+00
AX4914_vs_AX4895	3.33E+00	3.53E+00	5.53E+00	4.79E+00	1.71E+00	5.34E+00	5.31E+00	2.58E+00	1.11E+00	2.58E+00
AX4915_vs_AX4895	9.66E+00	1.37E+01	2.91E+01	1.47E+01	1.70E+01	2.29E+01	2.50E+01	4.16E+00	3.10E+00	5.21E+00
AX4916_vs_AX4896	2.05E+00	2.61E+00	3.84E+00	2.46E+00	8.27E-01	3.00E+00	4.18E+00	1.74E+00	8.41E-01	2.21E+00
AX4918_vs_AX4897	8.16E+00	1.11E+01	1.36E+01	1.85E+01	3.98E+00	1.96E+01	1.20E+01	4.17E+00	3.78E+00	4.04E+00
AX4921_vs_AX4898	4.22E+00	5.96E+00	8.55E+00	8.13E+00	2.19E+00	8.63E+00	3.32E+00	2.90E+00	9.69E-01	2.81E+00
AX4922_vs_AX4899	2.63E+00	1.83E+01	5.74E+01	1.87E+01	3.66E+01	3.02E+01	2.60E+01	4.54E+00	3.03E+00	5.86E+00
AX4923_vs_AX4906	1.16E+01	1.04E+01	2.34E+01	1.55E+01	5.66E+00	2.86E+01	2.19E+01	3.35E+00	2.69E+00	5.40E+00
AX4924_vs_AX4901	3.28E-01	2.94E-01	5.57E-01	2.53E-01	1.26E-01	6.31E-02	4.38E-01	4.97E-01	2.73E-01	1.11E+00
AX4925_vs_AX4901	3.37E+00	2.84E+00	4.15E+00	3.36E+00	1.91E+00	4.50E+00	5.26E+00	1.82E+00	1.05E+00	2.59E+00
AX4926_vs_AX4904	0.00E+00	4.39E-01	3.26E-01	7.51E-01	2.52E-01	5.18E-01	1.00E-01	1.79E-01	0.00E+00	9.62E-01
AX4927_vs_AX4905	5.51E+00	5.42E+00	8.07E+00	6.25E+00	6.78E+00	9.37E+00	7.35E+00	2.21E+00	1.52E+00	3.22E+00
AX4928_vs_AQ5174	1.06E+01	8.11E+00	2.21E+01	5.71E+00	1.38E+00	2.05E+01	1.32E+01	2.94E+00	1.45E+00	3.46E+00
AX4929_vs_AQ5174	1.01E+00	3.00E-02	9.78E-01	5.60E-01	3.54E-01	1.14E+00	5.50E-01	2.09E-01	0.00E+00	1.54E+00
AX4930_vs_AX4900	1.22E+00	5.26E+00	5.33E+00	6.09E+00	1.80E+00	7.67E+00	5.84E+00	3.20E+00	8.42E-01	2.82E+00
AX4931_vs_AX4907	2.05E+00	8.62E-01	1.68E+00	7.38E-01	9.96E-01	1.82E+00	1.79E+00	9.83E-01	0.00E+00	1.66E+00
AX4932_vs_AX4908	3.25E+00	2.68E+00	5.11E+00	2.51E+00	1.18E+00	5.68E+00	5.81E+00	2.34E+00	5.65E-01	2.19E+00
AX4933_vs_AX4909	8.96E+00	1.38E+00	1.69E+01	9.14E+00	3.22E+00	2.00E+01	1.46E+01	1.17E+00	2.62E-01	3.10E+00
AX4934_vs_AX4909	2.46E+00	2.50E+00	3.92E+00	2.64E+00	1.30E+00	3.40E+00	4.05E+00	1.70E+00	0.00E+00	2.12E+00
AX4935_vs_AX4910	4.19E+00	7.60E+00	2.81E+01	1.83E+01	1.90E+01	1.53E+01	1.40E+01	3.65E+00	1.55E+00	5.45E+00
AX4936_vs_AX4911	2.97E+00	3.01E+00	4.08E+00	3.11E+00	1.56E+00	4.07E+00	3.31E+00	1.76E+00	1.62E+00	2.21E+00
AX4937_vs_AX4894	5.76E+00	6.01E+00	7.63E+00	1.07E+01	2.69E+00	1.34E+01	9.47E+00	4.16E+00	1.29E+00	2.38E+00
AX4938_vs_AX4896	8.90E-01	2.09E+00	2.04E+00	1.68E+00	8.01E-01	1.94E+00	2.60E+00	1.26E+00	7.54E-01	5.80E-01
AX4940_vs_AX4904	4.63E+00	4.54E+00	8.11E+00	4.55E+00	2.19E+00	9.57E+00	7.82E+00	2.18E+00	1.35E+00	1.87E+00
AX4942_vs_AX4898	1.03E+01	1.31E+01	2.05E+01	1.47E+01	4.13E+00	1.89E+01	1.14E+01	3.82E+00	1.86E+00	3.62E+00
AX4943_vs_AX4898	9.81E+00	1.44E+01	2.01E+01	1.64E+01	3.85E+00	2.22E+01	9.42E+00	4.21E+00	2.20E+00	4.16E+00
AX4944_vs_AX4897	7.36E+00	1.17E+01	1.31E+01	1.89E+01	3.98E+00	1.91E+01	1.12E+01	4.48E+00	4.53E+00	3.45E+00
AX4945_vs_AX4898	2.82E+00	4.58E+00	5.62E+00	5.58E+00	2.11E+00	5.88E+00	2.81E+00	2.63E+00	1.00E+00	1.53E+00
AX4946_vs_AX4895	1.50E+01	2.66E+01	2.37E+01	3.73E+01	6.69E+00	4.58E+01	1.64E+01	2.40E+00	3.06E+00	7.18E+00
AX4947_vs_AX4895	1.63E+01	2.78E+01	2.39E+01	3.76E+01	5.47E+00	4.58E+01	1.14E+01	2.87E+00	3.30E+00	7.34E+00
AX4951_vs_AX4903	4.38E+00	9.45E-01	7.30E+00	4.72E+00	1.92E+00	5.92E+00	2.81E+00	3.44E+00	6.97E-01	1.47E+00
AX4958_vs_AQ5174	1.24E+01	1.56E+01	2.59E+01	1.38E+01	3.82E+00	2.47E+01	2.01E+01	4.06E+00	2.56E+00	4.50E+00
AX4961_vs_AQ5174	1.20E+01	1.38E+01	2.48E+01	1.54E+01	3.98E+00	2.54E+01	2.03E+01	4.06E+00	2.43E+00	4.47E+00
DIAF_vs_BLOOD	8.70E+00	8.71E+00	1.24E+01	1.21E+01	6.59E+00	1.87E+01	1.53E+01	3.63E+00	2.07E+00	3.56E+00
HK_vs_BLOOD	9.22E-02	1.21E-01	1.81E-01	1.98E-01	9.57E-02	1.18E-01	7.06E-02	3.63E-01	0.00E+00	2.75E-01
LNMETA_vs_BLOOD	9.80E+00	9.61E+00	1.59E+01	1.44E+01	1.15E+01	2.36E+01	1.88E+01	4.09E+00	2.61E+00	5.12E+00
LN_vs_BLOOD	5.41E+00	5.80E+00	7.12E+00	6.43E+00	2.64E+00	7.91E+00	9.01E+00	3.18E+00	4.59E+00	2.32E+00
OMEN_vs_BLOOD	5.13E+00	5.56E+00	8.24E+00	7.38E+00	4.68E+00	1.03E+01	9.19E+00	2.52E+00	1.40E+00	2.88E+00
PABKLN-01A_vs_PABKLN-11A	3.60E+00	3.42E+00	3.83E+00	5.66E+00	1.62E+00	5.98E+00	5.23E+00	1.72E+00	2.49E+00	1.75E+00
PADWRZ-01A_vs_PADWRZ-10A	3.44E+00	3.07E+00	3.91E+00	2.75E+00	1.55E+00	4.02E+00	4.30E+00	1.94E+00	9.27E-01	1.59E+00
