Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
AX4912_vs_AX4894	230	117	126	503	49	322	37	298	43	187
AX4914_vs_AX4895	80	88	82	134	46	75	118	145	10	178
AX4915_vs_AX4895	0	384	1529	116	631	104	175	168	133	232
AX4916_vs_AX4896	26	87	27	32	4	0	85	66	13	193
AX4918_vs_AX4897	97	230	119	414	17	835	14	196	505	199
AX4921_vs_AX4898	84	237	162	349	53	0	0	162	20	167
AX4922_vs_AX4899	0	242	455	238	2578	0	652	64	82	87
AX4923_vs_AX4906	218	64	1093	155	154	158	619	6	128	264
AX4924_vs_AX4901	0	0	0	0	0	0	29	4	0	176
AX4925_vs_AX4901	121	48	52	122	28	63	125	47	26	231
AX4926_vs_AX4904	0	1	0	4	0	0	0	0	1	175
AX4927_vs_AX4905	198	176	426	78	484	55	0	79	58	191
AX4928_vs_AQ5174	286	110	420	0	0	421	67	117	32	222
AX4929_vs_AQ5174	10	0	0	0	0	19	0	1	4	224
AX4930_vs_AX4900	0	176	10	365	0	0	129	215	19	192
AX4931_vs_AX4907	61	7	0	0	18	0	37	20	0	125
AX4932_vs_AX4908	38	23	176	0	2	45	115	279	1	172
AX4933_vs_AX4909	139	0	307	12	92	446	51	3	0	96
AX4934_vs_AX4909	53	35	23	42	31	68	55	61	0	163
AX4935_vs_AX4910	0	21	0	850	1544	0	92	18	15	73
AX4936_vs_AX4911	29	57	76	21	24	148	0	93	80	157
AX4937_vs_AX4894	220	130	63	436	0	441	144	274	35	40
AX4938_vs_AX4896	5	57	39	17	15	0	49	50	15	4
AX4940_vs_AX4904	153	93	299	15	17	95	178	80	52	18
AX4942_vs_AX4898	242	587	503	337	5	145	0	121	57	121
AX4943_vs_AX4898	199	609	458	420	0	236	0	112	75	107
AX4944_vs_AX4897	153	272	91	510	36	827	0	219	570	96
AX4945_vs_AX4898	31	183	158	209	66	10	0	136	16	22
AX4946_vs_AX4895	335	2325	8	903	44	917	22	0	137	165
AX4947_vs_AX4895	467	2131	0	800	0	958	0	0	153	154
AX4951_vs_AX4903	117	0	143	151	39	49	0	302	10	21
AX4958_vs_AQ5174	296	938	642	92	0	754	308	86	65	64
AX4961_vs_AQ5174	257	917	432	130	0	953	346	68	60	72
DIAF_vs_BLOOD	254	184	853	146	301	20	267	154	66	64
HK_vs_BLOOD	0	0	0	2	0	0	0	10	0	6
LNMETA_vs_BLOOD	222	91	1124	159	425	14	422	119	111	111
LN_vs_BLOOD	233	113	20	177	89	118	362	187	539	40
OMEN_vs_BLOOD	103	160	507	88	155	66	142	175	61	68
PABKLN-01A_vs_PABKLN-11A	73	41	0	184	22	110	120	61	180	19
PADWRZ-01A_vs_PADWRZ-10A	109	149	25	65	32	0	104	100	34	37
PADYZI-01A_vs_PADYZI-10A	0	0	0	4	0	0	0	0	1363	0
PAEHIP-01A_vs_PAEHIP-10A	0	39	2	43	16	0	54	91	22	23
PAJLWM-01A_vs_PAJLWM-11A	23	58	21	61	24	0	37	73	23	8
PAJMBW-01A_vs_PAJMBW-10A	32	62	47	35	28	0	74	16	283	12
PAJMRB-01A_vs_PAJMRB-11A	26	49	13	77	8	0	21	110	0	8
PAJNER-01A_vs_PAJNER-11A	23	6	0	42	0	57	52	39	5	17
PAJNFP-01A_vs_PAJNFP-11A	29	69	0	34	54	182	185	43	262	60
PAJNFZ-01A_vs_PAJNFZ-10A	83	59	16	46	0	46	87	113	113	28
PAKHTL-01A_vs_PAKHTL-11A	119	82	106	302	0	12	0	189	55	51
PAKLYZ-01A_vs_PAKLYZ-10A	0	600	0	11	76	117	447	31	14	10
PAKTCT-01A_vs_PAKTCT-11A	85	100	37	131	28	132	269	105	19	24
PARECB-01A_vs_PARECB-11A	54	31	25	48	5	0	68	42	21	3
PAREWI-01A_vs_PAREWI-11A	14	12	61	126	1	72	63	59	93	29
PARGRN-01A_vs_PARGRN-10A	14	52	0	137	5	27	129	31	145	13
PARIRN-01A_vs_PARIRN-10A	6	0	76	161	5	11	252	155	12	27
PARPFY-01A_vs_PARPFY-11A	27	133	29	51	4	147	116	71	40	6
PARRCL-01A_vs_PARRCL-11A	51	57	0	60	42	18	108	80	74	19
PARTKH-01A_vs_PARTKH-10A	60	40	0	12	8	113	160	53	58	34
PARUGK-01A_vs_PARUGK-10A	32	18	0	87	15	65	41	80	14	3
PARZBI-01A_vs_PARZBI-11A	60	19	40	86	6	71	115	101	63	26
PARZRH-01A_vs_PARZRH-10A	0	320	0	213	54	49	141	90	78	16
PASABD-01A_vs_PASABD-10A	5	22	88	103	3	34	69	72	32	11
PASADZ-01A_vs_PASADZ-10A	40	85	47	44	3	96	89	66	99	48
PASCDH-01A_vs_PASCDH-10A	24	65	41	99	20	77	53	128	58	11
PASDLA-01A_vs_PASDLA-11A	16	44	37	72	15	0	46	55	20	11
PASGCL-01A_vs_PASGCL-10A	33	36	94	130	24	21	6	121	12	36
PASRHU-01A_vs_PASRHU-10A	0	34	0	47	3	0	31	92	15	6
PASVDP-01A_vs_PASVDP-10A	63	107	0	11	47	39	32	76	30	14
PASWZZ-01A_vs_PASWZZ-10A	30	28	0	31	5	29	47	61	32	25
PASXNA-01A_vs_PASXNA-11A	65	25	38	0	8	121	105	89	36	23
PASYNF-01A_vs_PASYNF-10A	0	44	27	48	21	39	26	98	18	15
PASZYE-01A_vs_PASZYE-10A	60	82	28	64	0	70	46	101	18	22
PATAFT-01A_vs_PATAFT-10A	74	29	0	53	15	129	138	25	32	23
PATBLF-01A_vs_PATBLF-10A	60	205	104	138	20	0	27	121	44	6
PATDVL-01A_vs_PATDVL-10A	34	77	0	46	27	68	10	68	29	14
PATENH-01A_vs_PATENH-11A	0	94	42	227	18	13	84	180	59	8
PATFXW-01A_vs_PATFXW-10A	45	60	0	42	0	45	170	135	69	18
PATFZZ-01A_vs_PATFZZ-10A	0	27	73	37	28	109	209	95	78	21
PATXEE-01A_vs_PATXEE-10A	52	189	0	153	23	159	71	159	29	8
PATXKA-01A_vs_PATXKA-10A	7	69	48	33	21	92	40	44	50	38
PAUCGJ-01A_vs_PAUCGJ-10A	26	150	11	132	1	157	174	29	140	6
PAUDPV-01A_vs_PAUDPV-11A	0	6	19	85	0	10	97	28	41	0
PAUEKW-01A_vs_PAUEKW-10A	154	75	230	192	54	101	24	381	26	68
PAUFVP-01A_vs_PAUFVP-11A	0	49	0	100	15	261	120	156	37	29
PAUGYZ-01A_vs_PAUGYZ-10A	8	163	0	26	24	0	196	91	8	16
PAUHAZ-01A_vs_PAUHAZ-10A	0	48	0	29	22	34	101	89	14	20
PAUNPA-01A_vs_PAUNPA-11A	22	330	31	138	32	0	32	144	6	26
PAVCKS-01A_vs_PAVCKS-11A	49	105	80	233	36	52	193	184	186	28
PAVITI-01A_vs_PAVITI-10A	43	158	94	64	53	40	65	133	43	24
PAVYDM-01A_vs_PAVYDM-11A	56	9	3	13	15	109	181	62	26	6
PAVYKD-01A_vs_PAVYKD-10A	30	28	14	45	0	23	90	58	29	16
PAWDGA-01A_vs_PAWDGA-11A	0	73	0	265	0	393	0	26	10	25
PAWFBL-01A_vs_PAWFBL-11A	3	193	8	146	17	0	169	74	16	19
PAWFWK-01A_vs_PAWFWK-10A	65	107	0	0	17	0	96	88	14	21
SJBT030128_D1_vs_SJBT030128_G1	9	100	6	0	2	0	0	87	2	14
SJBT030255_D1_vs_SJBT030255_G1	137	88	15	29	80	163	472	141	94	30
SJBT030581_D1_vs_SJBT030581_G1	48	209	131	94	58	80	34	418	2	15
SJBT030707_D2_vs_SJBT030707_G1	15	0	14	37	0	11	0	63	0	22
SJBT030896_D1_vs_SJBT030896_G1	0	0	0	0	1243	429	0	148	0	0
SJBT030997_D1_vs_SJBT030997_G1	76	87	0	24	14	139	0	105	52	10
SJBT031235_D1_vs_SJBT031235_G1	15	30	0	0	0	8	0	91	0	14
SJBT031605_D1_vs_SJBT031605_G1	770	60	30	543	270	45	1727	25	147	25
SJBT031948_D2_vs_SJBT031948_G1	37	480	819	107	3967	716	774	6	209	31
SJBT032047_D1_vs_SJBT032047_G1	2	0	0	0	2	0	0	1	0	2
SJBT032346_D1_vs_SJBT032346_G1	49	94	0	106	6	109	0	284	16	28
SJBT032393_D1_vs_SJBT032393_G1	45	300	0	137	55	480	162	1073	46	87
SJBT032417_D2_vs_SJBT032417_G1	19	25	17	0	91	0	93	79	15	4
SJBT033133_D3_vs_SJBT033133_G1	0	0	0	5	1	0	1	1	0	1
SJBT033236_D2_vs_SJBT033236_G1	19	4	0	3	5	0	12	50	0	2
SJBT034089_D1_vs_SJBT034089_G1	7	2	8	3	2	1	0	58	0	0
SJBT034110_D2_vs_SJBT034110_G1	48	5	46	27	6	0	28	66	3	8
SJMRT014754_D1_vs_SJMRT014754_G1	0	275	429	19	250	0	238	86	32	61
SJMRT015723_D1_vs_SJMRT015723_G1	17	27	206	210	67	173	54	113	68	32
SJMRT063832_X1_vs_SJMRT063832_G1	10176	0	2112	1562	1419	718	0	866	377	347
