Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PAUNPA-01A_vs_PAUNPA-11A	13	326	0	140	30	62	154	4	32
PAVCKS-01A_vs_PAVCKS-11A	85	105	33	213	40	219	199	164	40
PAVITI-01A_vs_PAVITI-10A	70	173	60	73	62	61	149	37	32
PAVYDM-01A_vs_PAVYDM-11A	72	19	69	22	19	172	70	22	15
PAVYKD-01A_vs_PAVYKD-10A	18	11	59	27	1	79	62	21	17
PAWDGA-01A_vs_PAWDGA-11A	0	94	245	361	18	0	26	9	39
PAWFBL-01A_vs_PAWFBL-11A	9	186	0	124	7	165	81	13	25
PAWFWK-01A_vs_PAWFWK-10A	38	60	35	0	3	44	86	14	30
SJBT030128_D1_vs_SJBT030128_G1	0	73	0	0	0	0	78	1	6
SJBT030255_D1_vs_SJBT030255_G1	104	67	205	14	52	441	148	70	35
SJBT030581_D1_vs_SJBT030581_G1	51	209	131	125	63	27	452	1	16
SJBT030707_D2_vs_SJBT030707_G1	17	0	17	37	0	0	69	0	22
SJBT030896_D1_vs_SJBT030896_G1	0	0	246	0	1401	0	158	0	15
SJBT030997_D1_vs_SJBT030997_G1	69	39	82	35	26	14	90	34	11
SJBT031235_D1_vs_SJBT031235_G1	1	8	0	0	0	0	28	0	0
SJBT031605_D1_vs_SJBT031605_G1	310	0	8	117	84	642	104	44	59
SJBT031948_D2_vs_SJBT031948_G1	154	497	77	192	3671	882	9	126	99
SJBT032047_D1_vs_SJBT032047_G1	3	0	0	0	2	0	0	0	2
SJBT032346_D1_vs_SJBT032346_G1	39	81	68	127	11	0	303	12	21
SJBT032393_D1_vs_SJBT032393_G1	58	136	32	76	26	100	482	15	66
SJBT032417_D2_vs_SJBT032417_G1	10	0	0	0	0	21	62	2	0
SJBT033133_D3_vs_SJBT033133_G1	0	0	0	6	1	0	1	0	1
SJBT033236_D2_vs_SJBT033236_G1	13	4	0	0	3	9	28	0	0
SJBT034089_D1_vs_SJBT034089_G1	3	2	0	2	2	0	37	0	0
SJBT034110_D2_vs_SJBT034110_G1	19	0	18	12	2	32	33	2	1
SJMRT014754_D1_vs_SJMRT014754_G1	45	248	19	34	239	438	89	31	27
SJMRT015723_D1_vs_SJMRT015723_G1	55	0	179	147	4	11	95	36	29
SJMRT063832_X1_vs_SJMRT063832_G1	11288	0	932	1594	1952	421	528	343	506
