Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
AX4912_vs_AX4894	545	640	144	535	48
AX4914_vs_AX4895	261	322	85	262	26
AX4915_vs_AX4895	1047	886	1050	324	165
AX4916_vs_AX4896	157	209	5	123	39
AX4918_vs_AX4897	872	639	138	382	595
AX4921_vs_AX4898	506	321	97	282	28
AX4922_vs_AX4899	495	118	3478	164	143
AX4923_vs_AX4906	793	1328	396	164	178
AX4924_vs_AX4901	8	149	0	29	23
AX4925_vs_AX4901	202	426	56	120	59
AX4926_vs_AX4904	8	128	0	18	27
AX4927_vs_AX4905	302	545	680	132	86
AX4928_vs_AQ5174	417	933	58	219	48
AX4929_vs_AQ5174	0	205	0	21	32
AX4930_vs_AX4900	475	199	15	384	33
AX4931_vs_AX4907	11	183	21	44	9
AX4932_vs_AX4908	113	253	27	451	7
AX4933_vs_AX4909	201	672	220	53	0
AX4934_vs_AX4909	107	255	48	118	3
AX4935_vs_AX4910	322	141	1972	140	38
AX4936_vs_AX4911	142	233	49	155	106
AX4937_vs_AX4894	626	528	102	506	21
AX4938_vs_AX4896	114	11	28	82	16
AX4940_vs_AX4904	317	379	93	153	58
AX4942_vs_AX4898	1115	621	109	215	58
AX4943_vs_AX4898	1226	593	109	212	76
AX4944_vs_AX4897	957	571	174	414	658
AX4945_vs_AX4898	377	110	115	222	7
AX4946_vs_AX4895	3843	593	245	24	151
AX4947_vs_AX4895	3542	766	176	11	168
AX4951_vs_AX4903	62	206	84	480	0
AX4958_vs_AQ5174	1929	916	171	171	58
AX4961_vs_AQ5174	1953	888	179	160	55
DIAF_vs_BLOOD	607	803	535	296	68
HK_vs_BLOOD	0	1	0	17	0
LNMETA_vs_BLOOD	638	1005	742	281	132
LN_vs_BLOOD	400	309	170	342	657
OMEN_vs_BLOOD	442	426	290	302	65
PABKLN-01A_vs_PABKLN-11A	238	164	59	134	215
PADWRZ-01A_vs_PADWRZ-10A	258	129	61	165	42
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	1367
PAEHIP-01A_vs_PAEHIP-10A	88	0	26	150	26
PAJLWM-01A_vs_PAJLWM-11A	115	27	42	119	25
PAJMBW-01A_vs_PAJMBW-10A	130	37	47	30	345
PAJMRB-01A_vs_PAJMRB-11A	98	20	20	174	0
PAJNER-01A_vs_PAJNER-11A	75	74	10	76	6
PAJNFP-01A_vs_PAJNFP-11A	251	142	99	96	330
PAJNFZ-01A_vs_PAJNFZ-10A	141	113	15	187	135
PAKHTL-01A_vs_PAKHTL-11A	277	247	20	319	53
PAKLYZ-01A_vs_PAKLYZ-10A	1064	0	154	68	20
PAKTCT-01A_vs_PAKTCT-11A	379	229	86	216	20
PARECB-01A_vs_PARECB-11A	97	79	20	77	24
PAREWI-01A_vs_PAREWI-11A	154	124	25	119	108
PARGRN-01A_vs_PARGRN-10A	217	57	23	80	176
PARIRN-01A_vs_PARIRN-10A	221	134	40	300	10
PARPFY-01A_vs_PARPFY-11A	319	91	40	130	44
