Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
AX4912_vs_AX4894	7.13E+00	8.38E+00	3.31E+00	8.58E+00	6.21E+00
AX4914_vs_AX4895	3.68E+00	7.43E+00	1.90E+00	5.98E+00	6.92E+00
AX4915_vs_AX4895	9.24E+00	1.13E+01	8.08E+00	7.73E+00	7.17E+00
AX4916_vs_AX4896	2.65E+00	8.14E+00	1.21E+00	6.96E+00	7.37E+00
AX4918_vs_AX4897	9.19E+00	9.13E+00	3.37E+00	1.11E+01	7.78E+00
AX4921_vs_AX4898	5.04E+00	7.46E+00	2.22E+00	5.59E+00	6.19E+00
AX4922_vs_AX4899	1.45E+01	8.78E+00	1.63E+01	9.31E+00	4.59E+00
AX4923_vs_AX4906	9.40E+00	1.58E+01	6.79E+00	1.03E+01	1.18E+01
AX4924_vs_AX4901	6.05E-01	8.82E+00	5.84E-01	8.26E+00	6.71E+00
AX4925_vs_AX4901	3.45E+00	1.00E+01	2.56E+00	7.20E+00	9.10E+00
AX4926_vs_AX4904	7.85E-01	8.28E+00	2.25E-01	7.51E+00	5.89E+00
AX4927_vs_AX4905	5.54E+00	8.27E+00	5.30E+00	5.60E+00	6.07E+00
AX4928_vs_AQ5174	5.89E+00	1.03E+01	3.36E+00	6.95E+00	8.23E+00
AX4929_vs_AQ5174	3.61E-01	9.95E+00	4.24E-01	8.61E+00	8.23E+00
AX4930_vs_AX4900	5.60E+00	8.35E+00	2.21E+00	7.57E+00	7.23E+00
AX4931_vs_AX4907	1.28E+00	5.64E+00	1.35E+00	4.38E+00	4.92E+00
AX4932_vs_AX4908	4.33E+00	6.88E+00	1.95E+00	5.96E+00	6.70E+00
AX4933_vs_AX4909	4.87E+00	7.38E+00	3.24E+00	5.91E+00	5.04E+00
AX4934_vs_AX4909	2.85E+00	7.12E+00	1.51E+00	6.31E+00	7.07E+00
AX4935_vs_AX4910	1.09E+01	6.45E+00	9.58E+00	5.42E+00	4.20E+00
AX4936_vs_AX4911	2.97E+00	5.78E+00	1.88E+00	4.35E+00	3.35E+00
AX4937_vs_AX4894	6.95E+00	7.22E+00	2.90E+00	7.04E+00	2.32E+00
AX4938_vs_AX4896	1.72E+00	1.29E+00	9.83E-01	1.68E+00	8.24E-01
AX4940_vs_AX4904	3.99E+00	4.98E+00	2.93E+00	3.72E+00	1.98E+00
AX4942_vs_AX4898	7.07E+00	8.10E+00	4.54E+00	4.79E+00	3.43E+00
AX4943_vs_AX4898	7.14E+00	7.54E+00	4.29E+00	5.47E+00	2.60E+00
AX4944_vs_AX4897	1.02E+01	9.35E+00	3.88E+00	1.30E+01	1.39E+01
AX4945_vs_AX4898	3.71E+00	3.12E+00	2.22E+00	3.03E+00	1.20E+00
AX4946_vs_AX4895	1.39E+01	1.45E+01	9.48E+00	9.18E+00	3.66E+00
AX4947_vs_AX4895	1.37E+01	1.40E+01	8.93E+00	9.09E+00	3.32E+00
AX4951_vs_AX4903	3.13E+00	4.69E+00	2.10E+00	4.75E+00	1.11E+00
AX4958_vs_AQ5174	1.06E+01	1.16E+01	6.04E+00	5.53E+00	3.40E+00
AX4961_vs_AQ5174	9.16E+00	1.11E+01	6.47E+00	6.52E+00	3.50E+00
DIAF_vs_BLOOD	6.23E+00	8.10E+00	5.03E+00	5.95E+00	3.52E+00
HK_vs_BLOOD	2.23E-02	1.78E-01	1.31E-01	3.04E-01	2.34E-01
LNMETA_vs_BLOOD	7.19E+00	1.06E+01	6.31E+00	6.97E+00	5.27E+00
LN_vs_BLOOD	9.48E+00	5.96E+00	2.95E+00	1.29E+01	1.54E+01
OMEN_vs_BLOOD	4.59E+00	5.70E+00	3.98E+00	4.08E+00	2.88E+00
PABKLN-01A_vs_PABKLN-11A	4.60E+00	3.83E+00	1.95E+00	4.91E+00	5.26E+00
PADWRZ-01A_vs_PADWRZ-10A	2.84E+00	3.22E+00	1.70E+00	2.53E+00	1.54E+00
PADYZI-01A_vs_PADYZI-10A	2.15E+01	2.82E+00	1.48E+00	3.03E+01	3.88E+01
PAEHIP-01A_vs_PAEHIP-10A	1.81E+00	1.25E+00	9.76E-01	1.73E+00	9.38E-01
PAJLWM-01A_vs_PAJLWM-11A	2.17E+00	1.74E+00	1.35E+00	1.77E+00	8.38E-01
PAJMBW-01A_vs_PAJMBW-10A	5.64E+00	3.02E+00	1.42E+00	7.09E+00	9.19E+00
PAJMRB-01A_vs_PAJMRB-11A	2.46E+00	1.65E+00	1.02E+00	2.35E+00	7.29E-01
PAJNER-01A_vs_PAJNER-11A	1.71E+00	1.96E+00	9.87E-01	1.96E+00	9.43E-01
PAJNFP-01A_vs_PAJNFP-11A	6.10E+00	4.32E+00	2.12E+00	6.89E+00	7.72E+00
PAJNFZ-01A_vs_PAJNFZ-10A	2.79E+00	3.22E+00	1.31E+00	3.18E+00	3.22E+00
PAKHTL-01A_vs_PAKHTL-11A	3.72E+00	4.19E+00	1.36E+00	3.91E+00	2.01E+00
PAKLYZ-01A_vs_PAKLYZ-10A	5.88E+00	4.87E+00	3.57E+00	3.32E+00	1.39E+00
PAKTCT-01A_vs_PAKTCT-11A	4.14E+00	3.94E+00	2.38E+00	3.32E+00	2.09E+00
PARECB-01A_vs_PARECB-11A	1.98E+00	2.13E+00	1.26E+00	1.78E+00	1.01E+00
PAREWI-01A_vs_PAREWI-11A	3.24E+00	3.22E+00	1.18E+00	2.61E+00	2.36E+00
PARGRN-01A_vs_PARGRN-10A	3.92E+00	2.81E+00	1.68E+00	4.11E+00	4.72E+00
PARIRN-01A_vs_PARIRN-10A	3.80E+00	3.34E+00	2.00E+00	3.48E+00	2.39E+00
PARPFY-01A_vs_PARPFY-11A	3.57E+00	2.36E+00	1.95E+00	2.76E+00	1.63E+00
PARRCL-01A_vs_PARRCL-11A	2.28E+00	2.54E+00	1.57E+00	2.60E+00	2.14E+00
PARTKH-01A_vs_PARTKH-10A	2.66E+00	2.69E+00	1.66E+00	2.33E+00	1.78E+00
PARUGK-01A_vs_PARUGK-10A	2.17E+00	2.14E+00	1.18E+00	1.52E+00	1.06E+00
PARZBI-01A_vs_PARZBI-11A	2.76E+00	2.92E+00	1.36E+00	2.46E+00	1.76E+00
PARZRH-01A_vs_PARZRH-10A	3.53E+00	2.32E+00	2.41E+00	3.70E+00	2.47E+00
PASABD-01A_vs_PASABD-10A	2.61E+00	2.43E+00	1.26E+00	2.29E+00	1.19E+00
PASADZ-01A_vs_PASADZ-10A	2.62E+00	3.19E+00	1.45E+00	3.13E+00	2.12E+00
PASCDH-01A_vs_PASCDH-10A	2.66E+00	2.98E+00	1.46E+00	2.89E+00	1.73E+00
PASDLA-01A_vs_PASDLA-11A	2.04E+00	1.93E+00	1.16E+00	1.76E+00	9.34E-01
PASGCL-01A_vs_PASGCL-10A	2.89E+00	2.57E+00	1.47E+00	2.36E+00	1.18E+00
