Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.938	487.794	31.45%	76.617	34.987%	0.0752	0.871
AX4914_vs_AX4895	686	0.925	242.269	35.316%	37.324	38.253%	0.11874	0.841
AX4915_vs_AX4895	2989	0.95	692.527	23.169%	122.118	32.006%	0.04503	0.867
AX4916_vs_AX4896	128	0.787	91.077	71.154%	14.322	62.211%	0.45541	0.675
AX4918_vs_AX4897	2334	0.956	557.233	23.875%	90.98	29.328%	0.04661	0.89
AX4921_vs_AX4898	717	0.95	230.113	32.094%	33.444	32.076%	0.08541	0.91
AX4922_vs_AX4899	4398	0.987	716.667	16.295%	119.865	16.09%	0.02159	0.979
AX4923_vs_AX4906	2563	0.92	811.592	31.666%	126.867	40.022%	0.08056	0.753
AX4924_vs_AX4901	209	0.516	228.883	109.513%	45.089	85.686%	0.93542	0.349
AX4925_vs_AX4901	174	0.878	95.359	54.804%	11.896	47.775%	0.28795	0.732
AX4926_vs_AX4904	181	0.479	214.172	118.327%	47.494	87.846%	1.12474	0.359
AX4927_vs_AX4905	772	0.975	166.936	21.624%	22.895	22.204%	0.05147	0.939
AX4928_vs_AQ5174	1357	0.907	503.081	37.073%	72.881	43.339%	0.1111	0.716
AX4929_vs_AQ5174	258	0.543	262.711	101.826%	52.371	83.968%	0.80163	0.378
AX4930_vs_AX4900	607	0.89	282.191	46.489%	48.999	47.385%	0.17823	0.847
AX4931_vs_AX4907	268	0.696	198.544	74.084%	32.669	71.909%	0.46116	0.445
AX4932_vs_AX4908	532	0.822	271.392	51.014%	53.475	57.637%	0.21478	0.728
AX4933_vs_AX4909	189	0.848	111.538	59.015%	15.845	53.202%	0.33051	0.724
AX4934_vs_AX4909	106	0.774	83.636	78.902%	11.412	63.4%	0.56043	0.613
AX4935_vs_AX4910	768	0.781	369.51	48.113%	86.475	62.483%	0.2095	0.655
AX4936_vs_AX4911	685	0.926	250.234	36.531%	35.788	37.747%	0.11019	0.831
AX4937_vs_AX4894	1512	0.947	435.007	28.77%	68.16	32.453%	0.06486	0.884
AX4938_vs_AX4896	158	0.851	90.213	57.097%	13.405	52.988%	0.30727	0.742
AX4940_vs_AX4904	871	0.929	293.811	33.733%	40.459	37.885%	0.10026	0.777
AX4942_vs_AX4898	2011	0.967	440.333	21.896%	67.469	25.443%	0.04087	0.917
AX4943_vs_AX4898	2147	0.968	460.365	21.442%	71.648	25.327%	0.04147	0.918
AX4944_vs_AX4897	2153	0.958	500.383	23.241%	82.097	28.634%	0.04752	0.896
AX4945_vs_AX4898	804	0.958	235.58	29.301%	33.735	29.385%	0.07152	0.921
AX4946_vs_AX4895	4399	0.96	927.09	21.075%	172.232	28.099%	0.03997	0.911
AX4947_vs_AX4895	4293	0.957	947.765	22.077%	172.252	28.958%	0.04241	0.904
AX4951_vs_AX4903	152	0.78	118.513	77.969%	19.638	64.052%	0.49292	0.716
AX4958_vs_AQ5174	2943	0.965	651.369	22.133%	101.566	27.609%	0.04153	0.912
AX4961_vs_AQ5174	2983	0.967	661.923	22.19%	101.284	27.431%	0.04437	0.919
DIAF_vs_BLOOD	1244	0.974	267.72	21.521%	35.659	22.67%	0.04273	0.923
HK_vs_BLOOD	18	0.522	28.015	155.639%	5.021	86.109%	1.8036	0.465
LNMETA_vs_BLOOD	867	0.965	231.501	26.701%	30.247	26.398%	0.06349	0.913
LN_vs_BLOOD	562	0.937	198.029	35.236%	26.988	35.076%	0.10686	0.855
OMEN_vs_BLOOD	867	0.961	244.14	28.159%	32.376	27.837%	0.0668	0.909
