Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
AX4912_vs_AX4894	24	48	155	77	39	0	7	0	11
AX4914_vs_AX4895	12	11	196	9	0	1	13	8	20
AX4915_vs_AX4895	30	0	183	166	0	9	25	47	23
AX4916_vs_AX4896	0	0	204	0	63	17	27	94	0
AX4918_vs_AX4897	14	12	155	46	0	4	1	45	15
AX4921_vs_AX4898	23	0	185	190	0	0	46	70	3
AX4923_vs_AX4906	11	9	151	0	49	48	27	0	1
AX4925_vs_AX4901	36	49	244	102	167	18	38	0	35
AX4927_vs_AX4905	297	275	198	19	17	31	40	56	40
AX4928_vs_AQ5174	8	0	196	0	33	22	44	0	15
AX4930_vs_AX4900	7	0	190	210	0	0	30	52	10
AX4932_vs_AX4908	0	32	177	0	48	0	62	0	0
AX4933_vs_AX4909	77	58	54	0	0	763	0	5	0
AX4934_vs_AX4909	28	6	169	1	104	50	42	25	0
AX4935_vs_AX4910	1636	0	10	111	0	25	47	16	0
AX4937_vs_AX4894	6	11	0	102	63	46	18	19	6
AX4938_vs_AX4896	8	6	0	0	17	10	13	39	0
AX4940_vs_AX4904	0	30	0	0	37	42	17	0	3
AX4942_vs_AX4898	7	16	16	32	0	12	3	19	2
AX4943_vs_AX4898	0	0	10	54	0	0	5	0	0
AX4944_vs_AX4897	39	32	42	191	0	0	59	149	109
AX4945_vs_AX4898	2	6	8	1	0	0	1	7	2
AX4946_vs_AX4895	14	0	11	0	20	51	4	346	11
AX4947_vs_AX4895	0	0	12	81	0	65	0	193	19
AX4951_vs_AX4903	51	0	17	173	0	155	284	0	0
AX4958_vs_AQ5174	6	33	26	14	83	0	0	138	2
AX4961_vs_AQ5174	10	14	3	35	60	16	0	110	4
DIAF_vs_BLOOD	145	419	15	135	65	185	50	27	24
LNMETA_vs_BLOOD	351	874	108	151	135	163	55	0	94
LN_vs_BLOOD	59	44	55	0	48	143	174	76	717
OMEN_vs_BLOOD	89	354	37	19	0	29	52	58	20
PADWRZ-01A_vs_PADWRZ-10A	0	3	1	0	0	0	0	30	0
PADYZI-01A_vs_PADYZI-10A	2	45	13	30	43	11	17	7	47
PAEHIP-01A_vs_PAEHIP-10A	12	4	12	0	4	0	17	40	21
PAJLWM-01A_vs_PAJLWM-11A	9	2	0	39	1	2	13	0	4
PAJNFP-01A_vs_PAJNFP-11A	10	12	10	0	46	0	9	0	149
PAKHTL-01A_vs_PAKHTL-11A	0	0	0	48	0	0	3	0	15
PAKLYZ-01A_vs_PAKLYZ-10A	8	0	7	11	40	0	27	81	1
PAKTCT-01A_vs_PAKTCT-11A	2	1	6	12	18	0	0	0	3
PARECB-01A_vs_PARECB-11A	2	4	1	0	0	0	5	9	0
PAREWI-01A_vs_PAREWI-11A	0	8	0	82	9	35	7	0	42
PARGRN-01A_vs_PARGRN-10A	9	0	6	69	0	12	0	18	135
PARIRN-01A_vs_PARIRN-10A	2	0	2	6	14	9	12	6	12
PARPFY-01A_vs_PARPFY-11A	9	0	13	0	0	27	0	56	21
PARZRH-01A_vs_PARZRH-10A	0	0	3	5	20	0	0	2	1
PASABD-01A_vs_PASABD-10A	0	28	5	59	0	0	22	0	7
PASADZ-01A_vs_PASADZ-10A	1	0	4	0	0	6	0	12	2
PASCDH-01A_vs_PASCDH-10A	19	0	8	125	8	32	85	0	58
PASDLA-01A_vs_PASDLA-11A	3	0	0	26	0	0	3	0	2
PASVDP-01A_vs_PASVDP-10A	3	0	7	0	3	6	7	27	1
PASWZZ-01A_vs_PASWZZ-10A	5	0	3	0	22	0	13	0	21
PASXNA-01A_vs_PASXNA-11A	0	2	0	4	0	2	0	6	0
PATAFT-01A_vs_PATAFT-10A	2	18	7	29	71	0	3	0	6
PATDVL-01A_vs_PATDVL-10A	0	0	2	0	0	2	5	5	4
PATENH-01A_vs_PATENH-11A	0	0	3	0	5	19	11	5	21
PATFXW-01A_vs_PATFXW-10A	0	12	3	6	18	1	22	19	21
PATFZZ-01A_vs_PATFZZ-10A	12	24	10	18	0	3	22	10	24
PATXEE-01A_vs_PATXEE-10A	21	0	0	67	0	78	82	103	9
PAUEKW-01A_vs_PAUEKW-10A	3	0	5	12	0	0	17	0	1
PAUFVP-01A_vs_PAUFVP-11A	0	15	10	27	0	0	6	5	0
PAUGYZ-01A_vs_PAUGYZ-10A	2	6	1	0	0	32	6	45	5
PAUHAZ-01A_vs_PAUHAZ-10A	8	0	3	0	43	0	19	23	2
PAVCKS-01A_vs_PAVCKS-11A	2	0	5	38	0	0	3	0	0
PAVYKD-01A_vs_PAVYKD-10A	0	0	3	17	0	0	2	11	5
PAWFBL-01A_vs_PAWFBL-11A	4	1	2	9	17	0	2	0	0
PAWFWK-01A_vs_PAWFWK-10A	11	18	0	0	0	0	18	51	0
SJBT030128_D1_vs_SJBT030128_G1	4	11	5	8	0	0	15	19	0
SJBT030255_D1_vs_SJBT030255_G1	26	0	9	0	52	0	6	5	15
