Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
AX4943_vs_AX4898	3.43E-01	4.96E-01	7.14E-01	1.70E+00	8.64E-01	5.20E-01	5.17E-01	1.36E+00	1.72E-01
AX4944_vs_AX4897	1.59E+00	3.14E+00	1.89E+00	8.03E+00	4.38E+00	2.87E+00	2.01E+00	6.68E+00	1.91E+00
AX4945_vs_AX4898	3.18E-01	4.66E-01	3.73E-01	5.65E-01	4.60E-01	2.85E-01	1.52E-01	5.71E-01	2.04E-01
AX4946_vs_AX4895	1.10E+00	1.90E+00	1.19E+00	7.35E+00	5.80E+00	2.99E+00	7.10E-01	8.17E+00	8.76E-01
AX4947_vs_AX4895	7.71E-01	1.22E+00	1.03E+00	8.99E+00	3.63E+00	3.80E+00	1.04E-01	7.47E+00	8.99E-01
AX4951_vs_AX4903	2.16E+00	2.93E+00	1.72E+00	7.79E+00	6.11E+00	7.09E+00	5.09E+00	2.34E+00	8.60E-01
AX4958_vs_AQ5174	7.31E-01	2.49E+00	1.26E+00	3.92E+00	4.24E+00	2.37E+00	4.44E-01	4.32E+00	2.30E-01
AX4961_vs_AQ5174	8.02E-01	2.41E+00	6.40E-01	4.14E+00	3.15E+00	2.91E+00	3.46E-01	3.99E+00	4.05E-01
DIAF_vs_BLOOD	4.51E+00	7.98E+00	2.28E+00	8.23E+00	8.63E+00	9.97E+00	2.01E+00	6.03E+00	1.48E+00
LNMETA_vs_BLOOD	8.73E+00	1.46E+01	4.76E+00	1.36E+01	1.68E+01	1.85E+01	2.53E+00	8.31E+00	3.00E+00
LN_vs_BLOOD	3.19E+00	4.23E+00	2.77E+00	5.51E+00	6.94E+00	6.01E+00	3.34E+00	5.33E+00	5.72E+00
OMEN_vs_BLOOD	3.48E+00	6.01E+00	1.95E+00	5.38E+00	4.75E+00	5.86E+00	1.80E+00	4.99E+00	1.34E+00
PADWRZ-01A_vs_PADWRZ-10A	0.00E+00	3.24E-01	1.55E-01	6.42E-01	7.92E-01	4.36E-01	9.33E-02	9.65E-01	1.83E-01
PADYZI-01A_vs_PADYZI-10A	6.67E-01	2.23E+00	9.21E-01	2.52E+00	2.70E+00	1.84E+00	8.47E-01	1.81E+00	1.46E+00
PAEHIP-01A_vs_PAEHIP-10A	6.37E-01	1.00E+00	7.64E-01	1.30E+00	1.24E+00	4.65E-01	7.28E-01	1.29E+00	7.83E-01
PAJLWM-01A_vs_PAJLWM-11A	5.39E-01	6.09E-01	2.28E-01	1.58E+00	1.13E+00	7.15E-01	8.13E-01	1.08E+00	3.99E-01
PAJNFP-01A_vs_PAJNFP-11A	7.41E-01	1.42E+00	6.98E-01	1.43E+00	2.13E+00	5.39E-01	6.27E-01	9.85E-01	2.30E+00
PAKHTL-01A_vs_PAKHTL-11A	0.00E+00	4.68E-01	6.72E-02	1.88E+00	9.73E-01	7.18E-01	7.06E-01	6.71E-01	1.13E+00
PAKLYZ-01A_vs_PAKLYZ-10A	7.26E-01	8.80E-01	7.23E-01	3.90E+00	3.67E+00	1.58E+00	1.15E+00	3.58E+00	1.11E-01
PAKTCT-01A_vs_PAKTCT-11A	3.82E-01	6.17E-01	6.55E-01	6.32E-01	9.09E-01	5.51E-01	2.09E-01	7.90E-01	3.57E-01
PARECB-01A_vs_PARECB-11A	2.83E-01	4.35E-01	2.77E-01	3.97E-01	4.16E-01	1.00E-02	2.53E-01	3.92E-01	0.00E+00
PAREWI-01A_vs_PAREWI-11A	1.59E-01	1.76E+00	2.69E-01	2.58E+00	2.56E+00	2.14E+00	6.85E-01	1.92E+00	1.36E+00
PARGRN-01A_vs_PARGRN-10A	9.93E-01	6.80E-01	6.10E-01	3.23E+00	1.77E+00	2.22E+00	9.73E-02	2.75E+00	2.35E+00
PARIRN-01A_vs_PARIRN-10A	3.53E-01	5.83E-01	2.69E-01	1.14E+00	9.74E-01	1.04E+00	6.19E-01	1.07E+00	6.23E-01
PARPFY-01A_vs_PARPFY-11A	9.24E-01	1.03E+00	7.36E-01	1.62E+00	1.74E+00	1.84E+00	1.68E-01	1.90E+00	1.12E+00
PARZRH-01A_vs_PARZRH-10A	1.38E-01	3.91E-01	3.71E-01	7.72E-01	7.85E-01	1.45E-01	2.05E-01	9.01E-01	1.82E-01
PASABD-01A_vs_PASABD-10A	1.86E-01	1.50E+00	3.66E-01	1.92E+00	1.80E+00	1.07E+00	9.35E-01	1.41E+00	8.06E-01
PASADZ-01A_vs_PASADZ-10A	2.53E-01	2.77E-01	3.81E-01	5.09E-01	2.61E-01	5.85E-01	0.00E+00	6.13E-01	2.62E-01
PASCDH-01A_vs_PASCDH-10A	1.04E+00	1.29E+00	1.04E+00	4.33E+00	3.40E+00	3.11E+00	1.73E+00	2.92E+00	1.79E+00
PASDLA-01A_vs_PASDLA-11A	2.77E-01	3.01E-01	1.44E-01	8.51E-01	4.49E-01	1.54E-01	3.34E-01	7.97E-01	3.58E-01
PASVDP-01A_vs_PASVDP-10A	2.22E-01	5.91E-01	5.86E-01	1.05E+00	1.08E+00	8.89E-01	5.47E-01	1.28E+00	6.47E-02
PASWZZ-01A_vs_PASWZZ-10A	3.73E-01	1.24E-01	4.21E-01	8.80E-01	1.23E+00	7.99E-01	5.88E-01	4.99E-01	6.78E-01
PASXNA-01A_vs_PASXNA-11A	1.40E-01	4.38E-01	0.00E+00	4.47E-01	3.98E-01	3.23E-01	0.00E+00	3.82E-01	6.07E-02
PATAFT-01A_vs_PATAFT-10A	4.52E-01	1.96E+00	7.16E-01	2.02E+00	2.81E+00	1.64E+00	5.06E-01	1.72E+00	6.89E-01
PATDVL-01A_vs_PATDVL-10A	3.30E-02	2.41E-01	4.54E-01	1.52E-01	3.28E-01	3.22E-01	2.70E-01	2.95E-01	3.21E-01
PATENH-01A_vs_PATENH-11A	2.12E-01	2.36E-01	4.69E-01	9.58E-01	1.11E+00	9.80E-01	6.50E-01	7.20E-01	8.27E-01
PATFXW-01A_vs_PATFXW-10A	6.00E-02	1.07E+00	4.33E-01	1.34E+00	1.49E+00	6.48E-01	8.43E-01	1.60E+00	1.06E+00
PATFZZ-01A_vs_PATFZZ-10A	6.94E-01	1.58E+00	7.85E-01	1.72E+00	2.14E+00	1.00E+00	8.55E-01	9.43E-01	1.25E+00
PATXEE-01A_vs_PATXEE-10A	1.19E+00	1.75E+00	1.39E-01	5.22E+00	3.76E+00	3.79E+00	1.90E+00	5.43E+00	8.03E-01
PAUEKW-01A_vs_PAUEKW-10A	2.24E-01	1.25E-01	3.48E-01	7.14E-01	4.14E-01	1.04E-01	6.18E-01	5.20E-01	1.56E-01
PAUFVP-01A_vs_PAUFVP-11A	2.68E-01	1.17E+00	5.53E-01	1.55E+00	1.02E+00	5.79E-01	5.42E-01	1.18E+00	2.64E-01
PAUGYZ-01A_vs_PAUGYZ-10A	3.59E-01	1.03E+00	2.16E-01	1.14E+00	1.61E+00	1.26E+00	4.06E-01	1.47E+00	5.80E-01
PAUHAZ-01A_vs_PAUHAZ-10A	5.19E-01	8.20E-01	4.49E-01	1.23E+00	2.23E+00	1.43E+00	7.30E-01	1.81E+00	3.80E-01
PAVCKS-01A_vs_PAVCKS-11A	3.11E-01	5.49E-01	4.12E-01	1.33E+00	7.88E-01	3.63E-01	4.08E-01	1.10E+00	9.20E-02
PAVYKD-01A_vs_PAVYKD-10A	0.00E+00	5.68E-01	3.19E-01	1.05E+00	5.25E-01	5.00E-01	3.34E-01	9.16E-01	3.81E-01
PAWFBL-01A_vs_PAWFBL-11A	3.60E-01	5.52E-01	3.38E-01	6.96E-01	8.03E-01	3.10E-01	3.39E-01	7.40E-01	1.55E-01
PAWFWK-01A_vs_PAWFWK-10A	6.50E-01	1.32E+00	6.82E-02	1.00E+00	1.45E+00	6.62E-01	7.35E-01	1.72E+00	0.00E+00
SJBT030128_D1_vs_SJBT030128_G1	3.94E-01	6.09E-01	4.44E-01	1.11E+00	9.27E-01	2.67E-01	5.31E-01	1.16E+00	1.03E-01
SJBT030255_D1_vs_SJBT030255_G1	7.96E-01	1.16E+00	8.03E-01	1.53E+00	2.35E+00	1.24E+00	6.65E-01	1.60E+00	6.71E-01
