NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	162.483	85.864	24.473	63.448	0.719	0.596	30000.0
2	160.736	86.165	24.241	63.712	0.727	0.592	20000.0
3	159.889	86.347	23.909	63.372	0.727	0.597	30000.0
4	160.142	85.953	24.1	63.031	0.714	0.606	20000.0
5	160.491	86.542	24.456	63.718	0.731	0.595	30000.0
6	166.721	88.254	26.025	65.714	0.741	0.576	30000.0
7	160.72	85.274	24.257	62.661	0.707	0.612	30000.0
8	160.879	86.047	24.374	63.21	0.724	0.594	20000.0
9	162.073	86.458	24.773	63.448	0.715	0.608	20000.0
10	161.704	86.375	24.899	63.46	0.724	0.604	40000.0
11	166.068	87.331	26.02	64.913	0.728	0.588	20000.0
12	162.763	85.903	24.314	62.902	0.723	0.602	20000.0
13	159.418	85.299	24.854	63.21	0.714	0.608	20000.0
14	160.614	85.373	24.439	62.98	0.709	0.606	30000.0
15	158.686	85.532	24.111	62.635	0.716	0.613	30000.0
16	160.737	86.207	24.937	63.878	0.738	0.59	30000.0
17	162.953	86.566	24.708	63.568	0.721	0.597	40000.0
18	160.868	86.391	24.518	63.444	0.723	0.601	30000.0
19	162.165	86.761	24.666	63.58	0.734	0.6	20000.0
20	162.972	86.591	25.136	64.19	0.725	0.596	20000.0
21	164.02	86.183	25.084	63.789	0.728	0.599	30000.0
22	160.624	85.55	24.254	63.498	0.72	0.597	20000.0
23	163.812	86.927	25.05	64.693	0.711	0.592	20000.0
24	160.277	85.633	24.412	62.928	0.727	0.61	40000.0
25	166.758	87.735	25.738	65.283	0.733	0.587	30000.0
26	166.199	88.628	25.855	65.531	0.746	0.581	40000.0
27	159.603	85.438	24.85	63.253	0.711	0.61	50000.0
28	159.676	85.868	24.268	63.397	0.717	0.595	30000.0
29	168.115	86.677	26.727	65.478	0.706	0.59	30000.0
30	158.614	84.389	23.808	61.932	0.71	0.612	30000.0
31	161.086	85.554	24.588	63.189	0.727	0.606	40000.0
32	160.324	86.797	24.927	64.002	0.739	0.598	20000.0
33	159.203	85.559	24.306	63.331	0.724	0.6	50000.0
34	162.236	86.494	24.84	63.953	0.724	0.594	20000.0
35	157.833	84.696	23.923	62.725	0.713	0.612	30000.0
36	158.005	86.365	24.19	63.479	0.729	0.598	50000.0
37	160.691	85.844	24.334	63.025	0.717	0.609	20000.0
38	168.684	88.157	26.23	65.807	0.736	0.577	20000.0
39	161.272	86.039	24.507	63.405	0.713	0.608	30000.0
40	164.797	86.374	25.766	64.003	0.72	0.597	20000.0
41	164.376	87.667	25.231	64.553	0.735	0.593	20000.0
42	159.237	85.628	24.092	63.142	0.713	0.601	30000.0
43	163.23	87.961	25.077	64.844	0.75	0.578	20000.0
44	163.247	86.135	24.95	63.799	0.721	0.598	40000.0
45	160.009	84.954	24.528	63.328	0.705	0.604	20000.0
46	167.541	87.657	26.185	65.218	0.732	0.59	30000.0
47	168.63	88.093	26.264	65.953	0.74	0.573	30000.0
48	161.844	85.09	24.662	62.557	0.709	0.621	20000.0
49	165.549	86.545	25.4	63.676	0.72	0.609	40000.0
50	162.097	85.154	24.375	62.768	0.702	0.608	30000.0
51	161.111	86.642	24.555	63.709	0.724	0.6	20000.0
52	162.351	86.301	24.595	63.542	0.734	0.598	50000.0
53	160.444	85.939	24.293	63.66	0.723	0.595	30000.0
54	158.895	85.164	24.041	62.69	0.709	0.605	20000.0
55	160.274	85.909	24.57	63.282	0.717	0.603	50000.0
56	161.39	86.776	24.682	63.443	0.733	0.605	30000.0
57	161.254	86.834	24.59	63.802	0.743	0.59	30000.0
58	162.208	87.602	24.763	64.312	0.741	0.591	20000.0
59	160.663	86.643	24.489	63.863	0.737	0.589	50000.0
60	158.67	86.292	24.133	63.444	0.73	0.598	20000.0
61	159.256	86.08	24.128	63.096	0.713	0.602	20000.0
