Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.957	114.681	31.768%	16.01	28.985%	0.11829	0.921
AX4914_vs_AX4895	270	0.969	94.886	35.143%	13.081	25.045%	0.14928	0.956
AX4915_vs_AX4895	483	0.97	133.264	27.591%	18.131	24.335%	0.08926	0.947
AX4916_vs_AX4896	405	0.945	145.535	35.935%	23.853	33.018%	0.13519	0.919
AX4918_vs_AX4897	292	0.955	100.744	34.501%	14.821	29.524%	0.15141	0.93
AX4921_vs_AX4898	517	0.966	137.075	26.514%	20.596	25.938%	0.06977	0.938
AX4923_vs_AX4906	296	0.958	104.35	35.253%	14.451	28.64%	0.15479	0.934
AX4925_vs_AX4901	689	0.976	164.572	23.886%	21.035	22.071%	0.06655	0.947
AX4927_vs_AX4905	973	0.978	224.678	23.091%	28.553	21.035%	0.06305	0.951
AX4928_vs_AQ5174	318	0.981	87.643	27.561%	11.103	19.229%	0.11817	0.973
AX4930_vs_AX4900	499	0.966	163.49	32.764%	21.159	26.242%	0.12174	0.945
AX4932_vs_AX4908	319	0.966	107.722	33.769%	15.278	26.159%	0.14707	0.95
AX4933_vs_AX4909	957	0.987	144.864	15.137%	21.326	16.449%	0.02446	0.969
AX4934_vs_AX4909	425	0.953	152.362	35.85%	20.506	30.524%	0.13135	0.918
AX4935_vs_AX4910	1845	0.998	125.105	6.781%	23.413	5.825%	0.00574	0.998
AX4937_vs_AX4894	271	0.915	103.72	38.273%	14.407	40.636%	0.1573	0.771
AX4938_vs_AX4896	93	0.841	65.359	70.278%	8.876	54.732%	0.4789	0.757
AX4940_vs_AX4904	129	0.779	87.937	68.168%	13.298	62.897%	0.43744	0.604
AX4942_vs_AX4898	107	0.779	74.588	69.708%	11.065	62.744%	0.48764	0.601
AX4943_vs_AX4898	69	0.811	55.566	80.53%	7.897	59.025%	0.59139	0.732
AX4944_vs_AX4897	621	0.961	165.657	26.676%	23.745	27.786%	0.07483	0.91
AX4945_vs_AX4898	27	0.648	32.612	120.785%	4.774	76.445%	1.06956	0.537
AX4946_vs_AX4895	457	0.971	112.543	24.626%	16.922	23.987%	0.07154	0.948
AX4947_vs_AX4895	370	0.926	163.446	44.175%	21.755	37.871%	0.17407	0.865
AX4951_vs_AX4903	680	0.978	182.328	26.813%	24.473	21.28%	0.07891	0.965
AX4958_vs_AQ5174	302	0.929	126.632	41.931%	16.408	37.1%	0.18473	0.856
AX4961_vs_AQ5174	252	0.918	111.637	44.3%	14.377	39.601%	0.20686	0.829
DIAF_vs_BLOOD	1065	0.976	220.432	20.698%	29.614	21.803%	0.03837	0.933
LNMETA_vs_BLOOD	1931	0.988	279.909	14.496%	36.558	15.174%	0.02194	0.965
LN_vs_BLOOD	1316	0.992	163.899	12.454%	25.901	12.709%	0.0162	0.986
OMEN_vs_BLOOD	658	0.965	164.198	24.954%	22.799	26.232%	0.06147	0.912
PADWRZ-01A_vs_PADWRZ-10A	34	0.81	29.392	86.447%	4.432	59.225%	0.68508	0.753
PADYZI-01A_vs_PADYZI-10A	215	0.899	98.762	45.936%	12.782	43.765%	0.1828	0.749
PAEHIP-01A_vs_PAEHIP-10A	110	0.875	62.543	56.857%	8.223	48.454%	0.35882	0.764
PAJLWM-01A_vs_PAJLWM-11A	70	0.781	58.279	83.256%	8.96	63.357%	0.63774	0.703
PAJNFP-01A_vs_PAJNFP-11A	236	0.949	88.68	37.576%	12.154	31.487%	0.14821	0.916
PAKHTL-01A_vs_PAKHTL-11A	66	0.775	58.723	88.974%	8.444	63.649%	0.66352	0.687
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.841	107.952	61.687%	15.597	54.105%	0.38573	0.725
PAKTCT-01A_vs_PAKTCT-11A	42	0.646	46.83	111.5%	6.668	76.487%	0.97696	0.486
PARECB-01A_vs_PARECB-11A	21	0.632	27.594	131.4%	3.883	77.66%	1.28704	0.517
PAREWI-01A_vs_PAREWI-11A	183	0.888	91.717	50.119%	12.313	45.984%	0.27582	0.768
PARGRN-01A_vs_PARGRN-10A	249	0.927	106.096	42.609%	15.535	37.447%	0.19336	0.881
PARIRN-01A_vs_PARIRN-10A	63	0.707	56.903	90.322%	7.912	70.767%	0.75059	0.503
PARPFY-01A_vs_PARPFY-11A	126	0.826	86.277	68.474%	11.728	56.426%	0.41911	0.698
PARZRH-01A_vs_PARZRH-10A	31	0.69	36.881	118.971%	5.266	73.739%	1.00955	0.629
PASABD-01A_vs_PASABD-10A	121	0.87	73.133	60.44%	9.522	49.436%	0.3747	0.768
PASADZ-01A_vs_PASADZ-10A	25	0.667	30.951	123.804%	4.308	74.993%	1.06627	0.566
PASCDH-01A_vs_PASCDH-10A	335	0.921	141.633	42.279%	19.517	38.856%	0.17897	0.848
PASDLA-01A_vs_PASDLA-11A	34	0.706	36.129	106.262%	5.74	71.75%	0.91445	0.634
PASVDP-01A_vs_PASVDP-10A	54	0.584	58.36	108.074%	9.211	81.415%	1.00443	0.378
PASWZZ-01A_vs_PASWZZ-10A	64	0.787	55.082	86.066%	7.262	61.818%	0.65018	0.674
PASXNA-01A_vs_PASXNA-11A	14	0.388	22.27	159.071%	3.707	92.675%	1.97857	0.197
PATAFT-01A_vs_PATAFT-10A	136	0.784	86.582	63.663%	11.842	62.762%	0.39377	0.45
PATDVL-01A_vs_PATDVL-10A	18	0.443	26.539	147.439%	4.408	89.978%	1.86221	0.269
PATENH-01A_vs_PATENH-11A	64	0.82	50.518	78.934%	6.466	57.604%	0.57712	0.718
PATFXW-01A_vs_PATFXW-10A	102	0.829	68.841	67.491%	9.059	55.967%	0.44765	0.683
PATFZZ-01A_vs_PATFZZ-10A	123	0.82	78.925	64.167%	10.487	57.468%	0.4354	0.619
PATXEE-01A_vs_PATXEE-10A	360	0.928	150.467	41.796%	19.712	37.199%	0.1667	0.856
PAUEKW-01A_vs_PAUEKW-10A	38	0.854	31.479	82.839%	4.563	53.044%	0.65981	0.817
PAUFVP-01A_vs_PAUFVP-11A	63	0.687	59.057	93.741%	8.025	72.955%	0.81305	0.454
PAUGYZ-01A_vs_PAUGYZ-10A	97	0.869	55.991	57.723%	7.447	49.647%	0.33119	0.754
PAUHAZ-01A_vs_PAUHAZ-10A	98	0.843	60.377	61.609%	8.505	53.79%	0.41079	0.722
