Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.966	388.144	25.025%	57.005	26.031%	0.04792	0.927
AX4914_vs_AX4895	686	0.955	201.799	29.417%	28.909	29.629%	0.08881	0.906
AX4915_vs_AX4895	2989	0.949	700.837	23.447%	122.207	32.029%	0.04753	0.859
AX4916_vs_AX4896	128	0.858	86.232	67.369%	11.84	51.43%	0.39269	0.783
AX4918_vs_AX4897	2334	0.981	428.379	18.354%	60.657	19.553%	0.02871	0.953
AX4921_vs_AX4898	717	0.971	188.424	26.279%	25.37	24.332%	0.06345	0.943
AX4922_vs_AX4899	4398	0.987	632.696	14.386%	117.924	15.829%	0.01898	0.98
AX4923_vs_AX4906	2563	0.949	735.6	28.701%	100.053	31.563%	0.06283	0.832
AX4924_vs_AX4901	209	0.946	115.962	55.484%	20.463	38.887%	0.31783	0.948
AX4925_vs_AX4901	174	0.888	92.349	53.074%	11.438	45.936%	0.27603	0.755
AX4926_vs_AX4904	181	0.919	127.882	70.653%	26.896	49.748%	0.41253	0.932
AX4927_vs_AX4905	772	0.977	160.69	20.815%	22.224	21.553%	0.04928	0.943
AX4928_vs_AQ5174	1357	0.941	419.581	30.92%	57.358	34.108%	0.08099	0.805
AX4929_vs_AQ5174	258	0.949	131.292	50.888%	22.999	36.875%	0.23844	0.948
AX4930_vs_AX4900	607	0.977	162.578	26.784%	22.386	21.648%	0.0817	0.963
AX4931_vs_AX4907	268	0.918	122.828	45.831%	18.106	39.854%	0.20759	0.868
AX4932_vs_AX4908	532	0.967	169.931	31.942%	24.01	25.879%	0.09838	0.951
AX4933_vs_AX4909	189	0.91	94.62	50.063%	12.432	41.743%	0.27303	0.84
AX4934_vs_AX4909	106	0.834	73.9	69.717%	9.998	55.544%	0.4867	0.728
AX4935_vs_AX4910	768	0.789	360.003	46.875%	85.183	61.549%	0.20296	0.671
AX4936_vs_AX4911	685	0.967	181.761	26.534%	24.387	25.722%	0.0728	0.926
AX4937_vs_AX4894	1512	0.972	332.445	21.987%	49.574	23.603%	0.03934	0.938
AX4938_vs_AX4896	158	0.891	86.935	55.022%	11.497	45.446%	0.27879	0.808
AX4940_vs_AX4904	871	0.929	287.533	33.012%	40.205	37.647%	0.09841	0.77
AX4942_vs_AX4898	2011	0.979	391.286	19.457%	54.969	20.729%	0.03262	0.947
AX4943_vs_AX4898	2147	0.98	386.094	17.983%	55.882	19.754%	0.03097	0.951
AX4944_vs_AX4897	2153	0.982	378.786	17.593%	54.258	18.924%	0.0296	0.957
AX4945_vs_AX4898	804	0.975	194.279	24.164%	25.509	22.22%	0.0534	0.95
AX4946_vs_AX4895	4399	0.995	446.202	10.143%	63.555	10.369%	0.00954	0.988
AX4947_vs_AX4895	4293	0.993	490.28	11.42%	70.663	11.879%	0.00943	0.985
AX4951_vs_AX4903	152	0.926	83.733	55.088%	11.633	37.943%	0.3544	0.9
AX4958_vs_AQ5174	2943	0.977	535.295	18.189%	79.028	21.482%	0.02871	0.935
AX4961_vs_AQ5174	2983	0.981	509.328	17.074%	73.985	20.037%	0.02802	0.946
DIAF_vs_BLOOD	1244	0.979	243.086	19.541%	32.27	20.515%	0.03656	0.939
HK_vs_BLOOD	18	0.705	21.209	117.828%	4.193	71.909%	1.39934	0.67
LNMETA_vs_BLOOD	867	0.975	203.21	23.438%	25.567	22.313%	0.05442	0.936
LN_vs_BLOOD	562	0.962	164.202	29.217%	21.036	27.34%	0.08764	0.914
OMEN_vs_BLOOD	867	0.974	203.461	23.467%	26.14	22.475%	0.05528	0.938
PABKLN-01A_vs_PABKLN-11A	810	0.956	217.882	26.899%	32.615	29.251%	0.06793	0.901
PADWRZ-01A_vs_PADWRZ-10A	621	0.956	184.78	29.755%	24.395	29.201%	0.07805	0.894
PADYZI-01A_vs_PADYZI-10A	1152	0.994	196.632	17.069%	50.172	13.829%	0.02373	0.994
PAEHIP-01A_vs_PAEHIP-10A	180	0.94	89.398	49.666%	12.263	34.223%	0.27294	0.917
PAJLWM-01A_vs_PAJLWM-11A	258	0.931	112.722	43.691%	14.479	36.38%	0.19634	0.874
PAJMBW-01A_vs_PAJMBW-10A	589	0.968	184.182	31.27%	24.756	24.95%	0.11194	0.95
PAJMRB-01A_vs_PAJMRB-11A	312	0.938	136.721	43.821%	19.784	34.919%	0.1882	0.908
PAJNER-01A_vs_PAJNER-11A	241	0.922	101.035	41.923%	13.463	38.719%	0.19447	0.837
PAJNFP-01A_vs_PAJNFP-11A	682	0.967	182.329	26.734%	23.367	25.609%	0.07798	0.918
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.961	183.973	31.129%	23.867	27.739%	0.09801	0.922
PAKHTL-01A_vs_PAKHTL-11A	850	0.967	213.372	25.103%	32.152	25.747%	0.06783	0.936
PAKLYZ-01A_vs_PAKLYZ-10A	1131	0.931	400.458	35.407%	59.883	36.662%	0.10092	0.86
PAKTCT-01A_vs_PAKTCT-11A	888	0.97	216.547	24.386%	28.377	24.567%	0.06431	0.921
PARECB-01A_vs_PARECB-11A	276	0.912	120.123	43.523%	15.813	41.049%	0.19181	0.799
PAREWI-01A_vs_PAREWI-11A	347	0.942	130.366	37.569%	17.154	33.481%	0.15699	0.887
PARGRN-01A_vs_PARGRN-10A	304	0.936	109.65	36.069%	15.206	35.277%	0.14079	0.863
PARIRN-01A_vs_PARIRN-10A	642	0.964	195.42	30.439%	26.215	26.626%	0.08591	0.934
PARPFY-01A_vs_PARPFY-11A	498	0.935	173.35	34.809%	24.321	35.666%	0.1171	0.852
PARRCL-01A_vs_PARRCL-11A	509	0.953	155.598	30.569%	20.965	30.219%	0.08402	0.891
PARTKH-01A_vs_PARTKH-10A	538	0.93	192.325	35.748%	26.293	36.738%	0.11633	0.821
PARUGK-01A_vs_PARUGK-10A	355	0.94	133.853	37.705%	17.643	34.357%	0.14589	0.877
PARZBI-01A_vs_PARZBI-11A	587	0.964	168.241	28.661%	21.774	26.699%	0.0732	0.919
PARZRH-01A_vs_PARZRH-10A	930	0.978	203.956	21.931%	27.387	20.774%	0.04745	0.955
PASABD-01A_vs_PASABD-10A	318	0.928	131.198	41.257%	17.243	37.379%	0.15933	0.851
PASADZ-01A_vs_PASADZ-10A	592	0.953	175.726	29.683%	24.631	30.36%	0.08505	0.891
PASCDH-01A_vs_PASCDH-10A	241	0.94	94.47	39.199%	12.32	34.156%	0.18159	0.885
PASDLA-01A_vs_PASDLA-11A	282	0.921	117.458	41.652%	16.137	39.046%	0.17994	0.839
PASGCL-01A_vs_PASGCL-10A	513	0.96	156.228	30.454%	21.642	28.202%	0.10064	0.924
PASRHU-01A_vs_PASRHU-10A	228	0.96	87.203	38.247%	11.829	28.132%	0.21075	0.941
PASVDP-01A_vs_PASVDP-10A	365	0.929	137.726	37.733%	19.394	37.111%	0.15058	0.849
